term_id	description	p_adjust	fold_enrichment	term_size	query_size	intersection_size
GO:0045944	positive regulation of transcription by RNA polymerase II	1.7973145527692927e-10	14.8208	1237	12	11
GO:0045893	positive regulation of DNA-templated transcription	1.6555877264621532e-09	10.9649	1672	12	11
GO:1902680	positive regulation of RNA biosynthetic process	1.6555877264621532e-09	10.9518	1674	12	11
GO:0006357	regulation of transcription by RNA polymerase II	2.2529775237222407e-09	7.4405	2688	12	12
GO:0051254	positive regulation of RNA metabolic process	2.2529775237222407e-09	10.1626	1804	12	11
GO:0006366	transcription by RNA polymerase II	3.2275030249424514e-09	7.0746	2827	12	12
GO:0006355	regulation of DNA-templated transcription	2.202268788642863e-08	5.9084	3385	12	12
GO:2001141	regulation of RNA biosynthetic process	2.202268788642863e-08	5.8875	3397	12	12
GO:0006351	DNA-templated transcription	3.032671764561175e-08	5.677	3523	12	12
GO:0051252	regulation of RNA metabolic process	4.2328319634357e-08	5.4735	3654	12	12
GO:0010557	positive regulation of macromolecule biosynthetic process	4.26172833116961e-08	7.2235	2538	12	11
GO:0009891	positive regulation of biosynthetic process	6.125801021259159e-08	6.9313	2645	12	11
GO:0019219	regulation of nucleobase-containing compound metabolic process	8.40429944385484e-08	5.0582	3954	12	12
GO:0010604	positive regulation of macromolecule metabolic process	3.535221131959532e-07	5.8164	3152	12	11
GO:0009893	positive regulation of metabolic process	7.747471649710758e-07	5.3763	3410	12	11
GO:0080090	regulation of primary metabolic process	1.8997328616494526e-06	3.8351	5215	12	12
GO:0010468	regulation of gene expression	3.7689453848911006e-06	3.6043	5549	12	12
GO:0010556	regulation of macromolecule biosynthetic process	4.392611382812466e-06	3.5417	5647	12	12
GO:0009889	regulation of biosynthetic process	5.991717864939805e-06	3.4358	5821	12	12
GO:0035113	embryonic appendage morphogenesis	1.4998634770997756e-05	53.3333	125	12	4
GO:0030326	embryonic limb morphogenesis	1.4998634770997756e-05	53.3333	125	12	4
GO:0060255	regulation of macromolecule metabolic process	1.5921819995495765e-05	3.1289	6392	12	12
GO:0032774	RNA biosynthetic process	2.3496826499760077e-05	3.018	6627	12	12
GO:0035108	limb morphogenesis	2.7200605592561026e-05	43.573	153	12	4
GO:0035107	appendage morphogenesis	2.7200605592561026e-05	43.573	153	12	4
GO:0141187	nucleic acid biosynthetic process	2.7200605592561026e-05	2.9696	6735	12	12
GO:0016070	RNA metabolic process	2.8960128764114243e-05	2.9265	6834	12	12
GO:0019222	regulation of metabolic process	3.1342654856801014e-05	2.8986	6900	12	12
GO:0045892	negative regulation of DNA-templated transcription	3.454605472947209e-05	9.1503	1275	12	7
GO:1902679	negative regulation of RNA biosynthetic process	3.501476221827507e-05	9.0862	1284	12	7
GO:0034654	nucleobase-containing compound biosynthetic process	3.572663019541794e-05	2.8429	7035	12	12
GO:0048736	appendage development	5.240312009471183e-05	34.7222	192	12	4
GO:0060173	limb development	5.240312009471183e-05	34.7222	192	12	4
GO:0051253	negative regulation of RNA metabolic process	5.240312009471183e-05	8.3993	1389	12	7
GO:0090304	nucleic acid metabolic process	5.8183928170337255e-05	2.7023	7401	12	12
