term_id	description	p_value	p_adjust	term_size	query_size	intersection_size	fold_enrichment
GO:0002323	natural killer cell activation involved in immune response	6.394021640061871e-23	6.394021640061871e-23	32	116	15	80.819
GO:0043330	response to exogenous dsRNA	1.802646386370162e-21	1.802646386370162e-21	51	116	16	54.091
GO:0043331	response to dsRNA	1.7726662279886407e-20	1.7726662279886407e-20	59	116	16	46.756
GO:0098586	cellular response to virus	1.0018934954656016e-16	1.0018934954656016e-16	78	116	15	33.156
GO:0060337	type I interferon-mediated signaling pathway	3.197014511122028e-16	3.197014511122028e-16	85	116	15	30.426
GO:0071357	cellular response to type I interferon	3.21242577041123e-16	3.21242577041123e-16	86	116	15	30.072
GO:0034340	response to type I interferon	8.058868027620011e-16	8.058868027620011e-16	92	116	15	28.111
GO:0030101	natural killer cell activation	1.6281513075152185e-15	1.6281513075152185e-15	97	116	15	26.662
GO:0002286	T cell activation involved in immune response	2.1829799636284788e-15	2.1829799636284788e-15	124	116	16	22.247
GO:0002312	B cell activation involved in immune response	5.238922234310647e-15	5.238922234310647e-15	106	116	15	24.398
GO:0140888	interferon-mediated signaling pathway	9.762200147415951e-15	9.762200147415951e-15	111	116	15	23.299
GO:0002285	lymphocyte activation involved in immune response	1.0437983008325247e-11	1.0437983008325247e-11	214	116	16	12.891
GO:0042113	B cell activation	8.344978988415889e-10	8.344978988415889e-10	286	116	16	9.646
GO:0002366	leukocyte activation involved in immune response	1.9457108595015778e-09	1.9457108595015778e-09	304	116	16	9.074
GO:0002263	cell activation involved in immune response	2.2098867062296323e-09	2.2098867062296323e-09	308	116	16	8.957
GO:0006959	humoral immune response	3.79229879900342e-09	3.79229879900342e-09	271	116	15	9.543
GO:0051607	defense response to virus	3.79229879900342e-09	3.79229879900342e-09	322	116	16	8.567
GO:0009615	response to virus	1.5344340742387877e-07	1.5344340742387877e-07	416	116	16	6.631
GO:1901698	response to nitrogen compound	1.9127415240790814e-07	1.9127415240790814e-07	941	116	23	4.214
GO:0019221	cytokine-mediated signaling pathway	2.2753017927254517e-07	2.2753017927254517e-07	564	116	18	5.503
GO:0042110	T cell activation	3.452679425619743e-07	3.452679425619743e-07	581	116	18	5.342
GO:0002252	immune effector process	3.8242736572966605e-05	3.8242736572966605e-05	710	116	17	4.128
GO:0034097	response to cytokine	3.885194194643292e-05	3.885194194643292e-05	979	116	20	3.522
GO:0071345	cellular response to cytokine stimulus	3.9597623982479456e-05	3.9597623982479456e-05	891	116	19	3.677
GO:1901652	response to peptide	4.297747705409511e-05	4.297747705409511e-05	993	116	20	3.473
GO:0046649	lymphocyte activation	4.297747705409511e-05	4.297747705409511e-05	811	116	18	3.827
GO:0002250	adaptive immune response	0.00037985989923393446	0.00037985989923393446	761	116	16	3.625
GO:0045321	leukocyte activation	0.0005363941413745638	0.0005363941413745638	975	116	18	3.183
GO:0042221	response to chemical	0.0008683637205267034	0.0008683637205267034	3863	116	41	1.83
GO:0045087	innate immune response	0.0009004354811641192	0.0009004354811641192	1018	116	18	3.049
GO:0001775	cell activation	0.0009022794417932503	0.0009022794417932503	1123	116	19	2.917
GO:0140546	defense response to symbiont	0.002365530429538821	0.002365530429538821	1100	116	18	2.821
GO:0098542	defense response to other organism	0.0029358909096143817	0.0029358909096143817	1121	116	18	2.768
GO:0002829	negative regulation of type 2 immune response	0.004736069282303755	0.004736069282303755	15	116	3	34.483
GO:0065007	biological regulation	0.007197289237236015	0.007197289237236015	12804	116	90	1.212
GO:2000552	negative regulation of T-helper 2 cell cytokine production	0.011307165875587851	0.011307165875587851	4	116	2	86.207
GO:0045581	negative regulation of T cell differentiation	0.01193494925416238	0.01193494925416238	52	116	4	13.263
GO:0006952	defense response	0.013622444084664344	0.013622444084664344	1883	116	23	2.106
GO:0050789	regulation of biological process	0.014004318257668789	0.014004318257668789	12397	116	87	1.21
GO:0007166	cell surface receptor signaling pathway	0.01560164493460777	0.01560164493460777	2834	116	30	1.825
GO:0006950	response to stress	0.015770574827618043	0.015770574827618043	3984	116	38	1.645
GO:0045620	negative regulation of lymphocyte differentiation	0.01715748498898019	0.01715748498898019	59	116	4	11.689
