term_id	description	p_adjust	fold_enrichment	term_size	query_size	intersection_size
GO:0006366	transcription by RNA polymerase II	1.714280295215335e-08	7.0746	2827	12	12
GO:0006357	regulation of transcription by RNA polymerase II	1.714280295215335e-08	7.4405	2688	12	12
GO:2001141	regulation of RNA biosynthetic process	7.79819767781735e-08	5.8875	3397	12	12
GO:0006355	regulation of DNA-templated transcription	7.79819767781735e-08	5.9084	3385	12	12
GO:0006351	DNA-templated transcription	9.6647769021425e-08	5.677	3523	12	12
GO:0051252	regulation of RNA metabolic process	1.2490323826531574e-07	5.4735	3654	12	12
GO:0045944	positive regulation of transcription by RNA polymerase II	2.1832719278552512e-07	12.1261	1237	12	9
GO:0019219	regulation of nucleobase-containing compound metabolic process	2.417958282617253e-07	5.0582	3954	12	12
GO:0045893	positive regulation of DNA-templated transcription	2.2078161706504136e-06	8.9713	1672	12	9
GO:1902680	positive regulation of RNA biosynthetic process	2.2078161706504136e-06	8.9606	1674	12	9
GO:0051254	positive regulation of RNA metabolic process	3.870200501249023e-06	8.3149	1804	12	9
GO:0080090	regulation of primary metabolic process	4.484615279959363e-06	3.8351	5215	12	12
GO:0010468	regulation of gene expression	8.726082883556192e-06	3.6043	5549	12	12
GO:0010556	regulation of macromolecule biosynthetic process	9.999106004903318e-06	3.5417	5647	12	12
GO:0000122	negative regulation of transcription by RNA polymerase II	1.3338857432515985e-05	12.5045	933	12	7
GO:0009889	regulation of biosynthetic process	1.3338857432515985e-05	3.4358	5821	12	12
GO:0060255	regulation of macromolecule metabolic process	3.648046702921692e-05	3.1289	6392	12	12
GO:0035270	endocrine system development	4.3437176475913856e-05	49.0196	136	12	4
GO:0010557	positive regulation of macromolecule biosynthetic process	4.38551755510768e-05	5.9102	2538	12	9
GO:0032774	RNA biosynthetic process	4.78410795290197e-05	3.018	6627	12	12
GO:0141187	nucleic acid biosynthetic process	5.4112227259774685e-05	2.9696	6735	12	12
GO:0009891	positive regulation of biosynthetic process	5.4112227259774685e-05	5.6711	2645	12	9
GO:0016070	RNA metabolic process	6.019083070289176e-05	2.9265	6834	12	12
GO:0019222	regulation of metabolic process	6.474056576978571e-05	2.8986	6900	12	12
GO:0045892	negative regulation of DNA-templated transcription	7.094966781161089e-05	9.1503	1275	12	7
GO:1902679	negative regulation of RNA biosynthetic process	7.15307878860096e-05	9.0862	1284	12	7
GO:0034654	nucleobase-containing compound biosynthetic process	7.262462531527581e-05	2.8429	7035	12	12
GO:0051253	negative regulation of RNA metabolic process	0.00011266057200689802	8.3993	1389	12	7
GO:0090304	nucleic acid metabolic process	0.0001243274440270632	2.7023	7401	12	12
GO:0045934	negative regulation of nucleobase-containing compound metabolic process	0.00017482582641898235	7.7263	1510	12	7
GO:0010604	positive regulation of macromolecule metabolic process	0.00017482582641898235	4.7589	3152	12	9
GO:0048522	positive regulation of cellular process	0.00017482582641898235	3.1945	5739	12	11
GO:0045665	negative regulation of neuron differentiation	0.00023572723884917105	70.4225	71	12	3
GO:0006139	nucleobase-containing compound metabolic process	0.000255770418574777	2.5113	7964	12	12
GO:0009893	positive regulation of metabolic process	0.0002998738063977403	4.3988	3410	12	9
GO:0048518	positive regulation of biological process	0.00032480118430456824	2.981	6150	12	11
GO:0045596	negative regulation of cell differentiation	0.0005459219650198826	12.5313	665	12	5
GO:0010467	gene expression	0.0012815588410228793	2.1664	9232	12	12
GO:0048706	embryonic skeletal system development	0.0012815588410228793	37.594	133	12	3
GO:0048513	animal organ development	0.0012815588410228793	4.4179	3018	12	8
GO:0030182	neuron differentiation	0.0016089949070973886	6.9252	1444	12	6
GO:0048732	gland development	0.0016744132514453997	15.6863	425	12	4
GO:0009059	macromolecule biosynthetic process	0.0019180928964904074	2.0822	9605	12	12
GO:0048699	generation of neurons	0.0020231316238875944	6.566	1523	12	6
GO:0048869	cellular developmental process	0.002039314245105451	3.3753	4444	12	9
GO:0051093	negative regulation of developmental process	0.002039314245105451	9.0975	916	12	5
GO:0030154	cell differentiation	0.002039314245105451	3.3761	4443	12	9
GO:0045595	regulation of cell differentiation	0.002039314245105451	6.4558	1549	12	6
GO:0048856	anatomical structure development	0.0024197220288150246	2.8021	5948	12	10
GO:0030097	hemopoiesis	0.0024685010310135425	8.5822	971	12	5
GO:0045664	regulation of neuron differentiation	0.0028896645345488914	26.3158	190	12	3
GO:0007275	multicellular organism development	0.002922891945304839	3.1983	4690	12	9
GO:0001501	skeletal system development	0.003180114232450042	12.3916	538	12	4
GO:0009954	proximal/distal pattern formation	0.003180114232450042	95.2381	35	12	2
GO:0070741	response to interleukin-6	0.003180114232450042	95.2381	35	12	2
GO:0007399	nervous system development	0.003447848423762113	4.4924	2597	12	7
GO:0009952	anterior/posterior pattern specification	0.00352266817147531	23.6967	211	12	3
GO:0022008	neurogenesis	0.003539572785923977	5.6529	1769	12	6
GO:0009790	embryo development	0.004201244898788731	7.4008	1126	12	5
GO:0010558	negative regulation of macromolecule biosynthetic process	0.004458577464633434	4.2688	2733	12	7
GO:0009058	biosynthetic process	0.004575463915902904	1.8799	10639	12	12
GO:0032502	developmental process	0.004575463915902904	2.5504	6535	12	10
GO:0009890	negative regulation of biosynthetic process	0.00497609473824755	4.1637	2802	12	7
GO:0060429	epithelium development	0.005938892936267499	6.7531	1234	12	5
GO:0048731	system development	0.006357189110203605	3.3143	4023	12	8
GO:0009888	tissue development	0.006357189110203605	4.9652	2014	12	6
GO:0010605	negative regulation of macromolecule metabolic process	0.007304545448637055	3.7879	3080	12	7
GO:0022018	lateral ganglionic eminence cell proliferation	0.007304545448637055	1666.6667	1	12	1
GO:0060873	anterior semicircular canal development	0.007304545448637055	1666.6667	1	12	1
GO:0048523	negative regulation of cellular process	0.007304545448637055	2.7223	5510	12	9
GO:0022012	subpallium cell proliferation in forebrain	0.007304545448637055	1666.6667	1	12	1
GO:0060875	lateral semicircular canal development	0.007304545448637055	1666.6667	1	12	1
GO:0046223	aflatoxin catabolic process	0.007304545448637055	1666.6667	1	12	1
GO:0060366	lambdoid suture morphogenesis	0.007304545448637055	1666.6667	1	12	1
GO:0060367	sagittal suture morphogenesis	0.007304545448637055	1666.6667	1	12	1
GO:0001658	branching involved in ureteric bud morphogenesis	0.007304545448637055	53.7634	62	12	2
GO:1903788	positive regulation of glutathione biosynthetic process	0.007304545448637055	1666.6667	1	12	1
GO:0043387	mycotoxin catabolic process	0.007304545448637055	1666.6667	1	12	1
GO:0007420	brain development	0.007314263880686235	9.058	736	12	4
GO:0030193	regulation of blood coagulation	0.008034098681101625	49.0196	68	12	2
GO:0060675	ureteric bud morphogenesis	0.008034098681101625	49.0196	68	12	2
GO:0072171	mesonephric tubule morphogenesis	0.008170423427816098	48.3092	69	12	2
GO:1900046	regulation of hemostasis	0.00830675497070188	47.619	70	12	2
GO:0060322	head development	0.00885598762178639	8.471	787	12	4
GO:0032501	multicellular organismal process	0.009405756709570124	2.2716	7337	12	10
GO:0050818	regulation of coagulation	0.009405756709570124	43.8596	76	12	2
GO:0048519	negative regulation of biological process	0.009405756709570124	2.6073	5753	12	9
GO:0072078	nephron tubule morphogenesis	0.00941433627169064	43.29	77	12	2
GO:0009892	negative regulation of metabolic process	0.00941433627169064	3.5613	3276	12	7
GO:0072088	nephron epithelium morphogenesis	0.009745387454824828	42.1941	79	12	2
GO:0072028	nephron morphogenesis	0.010129253714489658	41.1523	81	12	2
GO:0061333	renal tubule morphogenesis	0.010266368190394615	40.6504	82	12	2
GO:0045925	positive regulation of female receptivity	0.011120485331310489	833.3333	2	12	1
GO:1903786	regulation of glutathione biosynthetic process	0.011120485331310489	833.3333	2	12	1
GO:0071335	hair follicle cell proliferation	0.011120485331310489	833.3333	2	12	1
GO:0042475	odontogenesis of dentin-containing tooth	0.011120485331310489	37.4532	89	12	2
GO:0120224	larynx development	0.011120485331310489	833.3333	2	12	1
GO:0008050	female courtship behavior	0.011120485331310489	833.3333	2	12	1
GO:0017055	negative regulation of RNA polymerase II transcription preinitiation complex assembly	0.011120485331310489	833.3333	2	12	1
GO:0120223	larynx morphogenesis	0.011120485331310489	833.3333	2	12	1
GO:0072091	regulation of stem cell proliferation	0.011138682013389127	37.037	90	12	2
GO:0043170	macromolecule metabolic process	0.011138682013389127	1.6748	11942	12	12
GO:0050794	regulation of cellular process	0.011162627963026982	1.672	11962	12	12
GO:0050793	regulation of developmental process	0.011179083025676164	4.1135	2431	12	6
GO:0045995	regulation of embryonic development	0.011302260318641726	36.2319	92	12	2
GO:0001657	ureteric bud development	0.012610529476138879	33.67	99	12	2
GO:0051240	positive regulation of multicellular organismal process	0.012610529476138879	5.0844	1639	12	5
GO:0072163	mesonephric epithelium development	0.012610529476138879	33.3333	100	12	2
GO:0060993	kidney morphogenesis	0.012610529476138879	34.0136	98	12	2
GO:0072080	nephron tubule development	0.012610529476138879	33.3333	100	12	2
GO:0072164	mesonephric tubule development	0.012610529476138879	33.3333	100	12	2
GO:0044238	primary metabolic process	0.012626064235315374	1.6434	12170	12	12
GO:0001823	mesonephros development	0.013268893063170832	32.0513	104	12	2
GO:0003002	regionalization	0.013268893063170832	11.8483	422	12	3
GO:0001503	ossification	0.013289100964560705	11.7925	424	12	3
GO:0061326	renal tubule development	0.013289100964560705	31.746	105	12	2
GO:0007619	courtship behavior	0.013334369848903016	555.5556	3	12	1
GO:0021776	smoothened signaling pathway involved in spinal cord motor neuron cell fate specification	0.013334369848903016	555.5556	3	12	1
GO:0021910	smoothened signaling pathway involved in ventral spinal cord patterning	0.013334369848903016	555.5556	3	12	1
GO:0034097	response to cytokine	0.013334369848903016	6.8097	979	12	4
GO:0030098	lymphocyte differentiation	0.013334369848903016	11.7096	427	12	3
GO:0060594	mammary gland specification	0.013334369848903016	555.5556	3	12	1
GO:0060364	frontal suture morphogenesis	0.013334369848903016	555.5556	3	12	1
GO:0043585	nose morphogenesis	0.013334369848903016	555.5556	3	12	1
GO:0021775	smoothened signaling pathway involved in ventral spinal cord interneuron specification	0.013334369848903016	555.5556	3	12	1
GO:0002157	positive regulation of thyroid hormone receptor signaling pathway	0.013334369848903016	555.5556	3	12	1
GO:0050789	regulation of biological process	0.013833494161457686	1.6133	12397	12	12
GO:1901652	response to peptide	0.013833494161457686	6.7137	993	12	4
GO:0001708	cell fate specification	0.013978711957210423	29.2398	114	12	2
GO:0009887	animal organ morphogenesis	0.013978711957210423	6.6667	1000	12	4
GO:0016055	Wnt signaling pathway	0.014765894781580705	10.8696	460	12	3
GO:0021761	limbic system development	0.014950428646004932	28.0112	119	12	2
GO:0007389	pattern specification process	0.01516394022504752	10.6838	468	12	3
GO:0009653	anatomical structure morphogenesis	0.01516394022504752	3.7051	2699	12	6
GO:0007417	central nervous system development	0.01528128995593751	6.4412	1035	12	4
GO:0072009	nephron epithelium development	0.015487187842251242	27.1003	123	12	2
GO:0030326	embryonic limb morphogenesis	0.015641824058359392	26.6667	125	12	2
GO:0072089	stem cell proliferation	0.015641824058359392	26.6667	125	12	2
GO:0035113	embryonic appendage morphogenesis	0.015641824058359392	26.6667	125	12	2
GO:0009407	toxin catabolic process	0.0156544415659493	416.6667	4	12	1
GO:1902037	negative regulation of hematopoietic stem cell differentiation	0.0156544415659493	416.6667	4	12	1
GO:0010499	proteasomal ubiquitin-independent protein catabolic process	0.0156544415659493	416.6667	4	12	1
GO:0061041	regulation of wound healing	0.016176407627509295	25.8398	129	12	2
GO:0042476	odontogenesis	0.01630988868786431	25.641	130	12	2
GO:0002009	morphogenesis of an epithelium	0.017016049650661134	9.98	501	12	3
GO:0035295	tube development	0.017319696239263244	6.0938	1094	12	4
GO:0046632	alpha-beta T cell differentiation	0.017591874327625972	24.3309	137	12	2
GO:0065007	biological regulation	0.017591874327625972	1.562	12804	12	12
GO:1903131	mononuclear cell differentiation	0.018460791517311708	9.5602	523	12	3
GO:1904640	response to methionine	0.018460791517311708	333.3333	5	12	1
GO:0061431	cellular response to methionine	0.018460791517311708	333.3333	5	12	1
GO:0051239	regulation of multicellular organismal process	0.020246284568898938	3.4211	2923	12	6
GO:2000121	regulation of removal of superoxide radicals	0.02069967465793947	277.7778	6	12	1
GO:0002155	regulation of thyroid hormone receptor signaling pathway	0.02069967465793947	277.7778	6	12	1
GO:0045898	regulation of RNA polymerase II transcription preinitiation complex assembly	0.02069967465793947	277.7778	6	12	1
GO:0035107	appendage morphogenesis	0.02069967465793947	21.7865	153	12	2
GO:0021861	forebrain radial glial cell differentiation	0.02069967465793947	277.7778	6	12	1
GO:0021631	optic nerve morphogenesis	0.02069967465793947	277.7778	6	12	1
GO:0060831	smoothened signaling pathway involved in dorsal/ventral neural tube patterning	0.02069967465793947	277.7778	6	12	1
GO:0035108	limb morphogenesis	0.02069967465793947	21.7865	153	12	2
GO:0072073	kidney epithelium development	0.02069967465793947	21.9298	152	12	2
GO:0048754	branching morphogenesis of an epithelial tube	0.021386757673582876	20.9644	159	12	2
GO:0072006	nephron development	0.021386757673582876	20.9644	159	12	2
GO:2000543	positive regulation of gastrulation	0.02196084438781158	238.0952	7	12	1
GO:0060633	negative regulation of transcription initiation by RNA polymerase II	0.02196084438781158	238.0952	7	12	1
GO:0043385	mycotoxin metabolic process	0.02196084438781158	238.0952	7	12	1
GO:0060180	female mating behavior	0.02196084438781158	238.0952	7	12	1
GO:0045924	regulation of female receptivity	0.02196084438781158	238.0952	7	12	1
GO:0060573	cell fate specification involved in pattern specification	0.02196084438781158	238.0952	7	12	1
GO:0060592	mammary gland formation	0.02196084438781158	238.0952	7	12	1
GO:0048702	embryonic neurocranium morphogenesis	0.02196084438781158	238.0952	7	12	1
GO:0046222	aflatoxin metabolic process	0.02196084438781158	238.0952	7	12	1
GO:0007442	hindgut morphogenesis	0.02196084438781158	238.0952	7	12	1
GO:0021521	ventral spinal cord interneuron specification	0.02196084438781158	238.0952	7	12	1
GO:0021798	forebrain dorsal/ventral pattern formation	0.02196084438781158	238.0952	7	12	1
GO:1903034	regulation of response to wounding	0.02196084438781158	20.4499	163	12	2
GO:0002154	thyroid hormone receptor signaling pathway	0.02196084438781158	238.0952	7	12	1
GO:0030178	negative regulation of Wnt signaling pathway	0.02231906952801633	19.6078	170	12	2
GO:0048729	tissue morphogenesis	0.024262239685614292	8.1699	612	12	3
GO:0060363	cranial suture morphogenesis	0.024268854628920224	208.3333	8	12	1
GO:2000143	negative regulation of DNA-templated transcription initiation	0.024268854628920224	208.3333	8	12	1
