term_id	description	p_adjust	fold_enrichment	term_size	query_size	intersection_size
GO:0006357	regulation of transcription by RNA polymerase II	7.632385636456352e-08	6.8681	2688	13	12
GO:0006366	transcription by RNA polymerase II	7.632385636456352e-08	6.5304	2827	13	12
GO:0006355	regulation of DNA-templated transcription	3.3724547008996073e-07	5.4539	3385	13	12
GO:2001141	regulation of RNA biosynthetic process	3.3724547008996073e-07	5.4347	3397	13	12
GO:0006351	DNA-templated transcription	4.1524301203978257e-07	5.2403	3523	13	12
GO:0051252	regulation of RNA metabolic process	5.329791426255088e-07	5.0524	3654	13	12
GO:0019219	regulation of nucleobase-containing compound metabolic process	1.1606169373522792e-06	4.6691	3954	13	12
GO:0080090	regulation of primary metabolic process	2.6354378865993888e-05	3.5401	5215	13	12
GO:0045893	positive regulation of DNA-templated transcription	4.5881200392977816e-05	7.3611	1672	13	8
GO:0010468	regulation of gene expression	4.5881200392977816e-05	3.327	5549	13	12
GO:0010556	regulation of macromolecule biosynthetic process	4.5881200392977816e-05	3.2693	5647	13	12
GO:1902680	positive regulation of RNA biosynthetic process	4.5881200392977816e-05	7.3523	1674	13	8
GO:0009889	regulation of biosynthetic process	5.863940602814343e-05	3.1715	5821	13	12
GO:0051254	positive regulation of RNA metabolic process	6.953431831258248e-05	6.8224	1804	13	8
GO:0045944	positive regulation of transcription by RNA polymerase II	7.750598163582605e-05	8.7059	1237	13	7
GO:0060255	regulation of macromolecule metabolic process	0.000141642686013337	2.8882	6392	13	12
GO:0032774	RNA biosynthetic process	0.00020271709422429283	2.7858	6627	13	12
GO:0141187	nucleic acid biosynthetic process	0.00023091873316708814	2.7411	6735	13	12
GO:0016070	RNA metabolic process	0.0002590538060552691	2.7014	6834	13	12
GO:0019222	regulation of metabolic process	0.00027506473232611543	2.6756	6900	13	12
GO:0034654	nucleobase-containing compound biosynthetic process	0.0003277806235534147	2.6242	7035	13	12
GO:0090304	nucleic acid metabolic process	0.0005503009943717763	2.4945	7401	13	12
GO:0010557	positive regulation of macromolecule biosynthetic process	0.0005503009943717763	4.8494	2538	13	8
GO:0009891	positive regulation of biosynthetic process	0.0007158095362072912	4.6532	2645	13	8
GO:0006139	nucleobase-containing compound metabolic process	0.001148751058309753	2.3181	7964	13	12
GO:0010604	positive regulation of macromolecule metabolic process	0.0023839096038477544	3.9047	3152	13	8
GO:0009893	positive regulation of metabolic process	0.004047802894179916	3.6093	3410	13	8
GO:0010467	gene expression	0.005526528756366534	1.9997	9232	13	12
GO:0009059	macromolecule biosynthetic process	0.008069530687174406	1.9221	9605	13	12
GO:0001830	trophectodermal cell fate commitment	0.008069530687174406	1538.4615	1	13	1
GO:0030858	positive regulation of epithelial cell differentiation	0.008846743539457464	47.3373	65	13	2
GO:0051094	positive regulation of developmental process	0.009282167764241287	5.8945	1305	13	5
GO:2000382	positive regulation of mesoderm development	0.014271804309401146	769.2308	2	13	1
GO:0045597	positive regulation of cell differentiation	0.016107927990232564	7.2228	852	13	4
GO:0032463	negative regulation of protein homooligomerization	0.020156703579662337	512.8205	3	13	1
GO:0000122	negative regulation of transcription by RNA polymerase II	0.020156703579662337	6.5958	933	13	4
GO:0048522	positive regulation of cellular process	0.020156703579662337	2.4126	5739	13	9
GO:0009058	biosynthetic process	0.020156703579662337	1.7353	10639	13	12
GO:0001824	blastocyst development	0.02296098091986907	25.8565	119	13	2
GO:0032460	negative regulation of protein oligomerization	0.02296098091986907	384.6154	4	13	1
GO:0032462	regulation of protein homooligomerization	0.02296098091986907	384.6154	4	13	1
GO:0030218	erythrocyte differentiation	0.02892827358377485	22.2965	138	13	2
GO:0048518	positive regulation of biological process	0.02990356851254233	2.2514	6150	13	9
GO:2000380	regulation of mesoderm development	0.030689752910011654	256.4103	6	13	1
GO:0030578	PML body organization	0.030689752910011654	256.4103	6	13	1
GO:0034101	erythrocyte homeostasis	0.030689752910011654	20.6505	149	13	2
GO:0030856	regulation of epithelial cell differentiation	0.033681914681765124	19.4742	158	13	2
GO:2000171	negative regulation of dendrite development	0.03918015060362166	192.3077	8	13	1
GO:0051239	regulation of multicellular organismal process	0.04025765768218351	3.158	2923	13	6
GO:0002262	myeloid cell homeostasis	0.041250598586002496	16.9996	181	13	2
GO:0032459	regulation of protein oligomerization	0.04147300142375804	170.9402	9	13	1
GO:0048672	positive regulation of collateral sprouting	0.044749232859269836	153.8462	10	13	1
GO:0045892	negative regulation of DNA-templated transcription	0.044749232859269836	4.8265	1275	13	4
GO:1902679	negative regulation of RNA biosynthetic process	0.04503152033757509	4.7927	1284	13	4
GO:0045603	positive regulation of endothelial cell differentiation	0.046137002897678074	139.8601	11	13	1
GO:0048671	negative regulation of collateral sprouting	0.046137002897678074	139.8601	11	13	1
GO:0050794	regulation of cellular process	0.04691769564269891	1.5433	11962	13	12
GO:0043009	chordate embryonic development	0.04691769564269891	6.8989	669	13	3
GO:0043170	macromolecule metabolic process	0.04691769564269891	1.5459	11942	13	12
GO:0009792	embryo development ending in birth or egg hatching	0.04958559325577722	6.7182	687	13	3
