term_id	description	p_adjust	fold_enrichment	term_size	query_size	intersection_size
GO:0006357	regulation of transcription by RNA polymerase II	2.3416928121845056e-10	7.4405	2688	14	14
GO:0006366	transcription by RNA polymerase II	2.375619198593963e-10	7.0746	2827	14	14
GO:2001141	regulation of RNA biosynthetic process	1.5627005618573687e-09	5.8875	3397	14	14
GO:0006355	regulation of DNA-templated transcription	1.5627005618573687e-09	5.9084	3385	14	14
GO:0006351	DNA-templated transcription	2.083638052973969e-09	5.677	3523	14	14
GO:0051252	regulation of RNA metabolic process	2.8975225158498415e-09	5.4735	3654	14	14
GO:0019219	regulation of nucleobase-containing compound metabolic process	7.510283070796167e-09	5.0582	3954	14	14
GO:0080090	regulation of primary metabolic process	3.1851737362946096e-07	3.8351	5215	14	14
GO:0010468	regulation of gene expression	6.759013011773583e-07	3.6043	5549	14	14
GO:0010556	regulation of macromolecule biosynthetic process	7.774858113861056e-07	3.5417	5647	14	14
GO:0009889	regulation of biosynthetic process	1.0815003807803819e-06	3.4358	5821	14	14
GO:0060255	regulation of macromolecule metabolic process	3.6795426963889893e-06	3.1289	6392	14	14
GO:0032774	RNA biosynthetic process	5.633446241000397e-06	3.018	6627	14	14
GO:0141187	nucleic acid biosynthetic process	6.561060503148796e-06	2.9696	6735	14	14
GO:0016070	RNA metabolic process	7.5131001771004744e-06	2.9265	6834	14	14
GO:0019222	regulation of metabolic process	8.059042977546154e-06	2.8986	6900	14	14
GO:0034654	nucleobase-containing compound biosynthetic process	9.9511836678538e-06	2.8429	7035	14	14
GO:0045944	positive regulation of transcription by RNA polymerase II	1.2970353828924086e-05	9.2389	1237	14	8
GO:0090304	nucleic acid metabolic process	1.8122431068999588e-05	2.7023	7401	14	14
GO:0006139	nucleobase-containing compound metabolic process	4.809388508565247e-05	2.5113	7964	14	14
GO:0046632	alpha-beta T cell differentiation	5.8982292179462643e-05	41.7101	137	14	4
GO:1902680	positive regulation of RNA biosynthetic process	0.0001020797912572164	6.8271	1674	14	8
GO:0045893	positive regulation of DNA-templated transcription	0.0001020797912572164	6.8353	1672	14	8
GO:0051254	positive regulation of RNA metabolic process	0.00017195395194149614	6.3351	1804	14	8
GO:0046631	alpha-beta T cell activation	0.00020565390939575882	29.1545	196	14	4
GO:0010467	gene expression	0.00029317871116469853	2.1664	9232	14	14
GO:0002287	alpha-beta T cell activation involved in immune response	0.0003802705938794634	59.5238	72	14	3
GO:0002573	myeloid leukocyte differentiation	0.0004356142616081553	23.4192	244	14	4
GO:0009059	macromolecule biosynthetic process	0.0004578215275849689	2.0822	9605	14	14
GO:0030223	neutrophil differentiation	0.00046227308113688966	285.7143	10	14	2
GO:0002292	T cell differentiation involved in immune response	0.0004898738921646454	52.2648	82	14	3
GO:0042093	T-helper cell differentiation	0.0005286524746989252	50.4202	85	14	3
GO:0021872	forebrain generation of neurons	0.0005884880648243285	48.1541	89	14	3
GO:0045165	cell fate commitment	0.0007750527333173991	19.24	297	14	4
GO:0043367	CD4-positive, alpha-beta T cell differentiation	0.0008971512654444483	40.8163	105	14	3
GO:1904936	interneuron migration	0.0008971512654444483	190.4762	15	14	2
GO:0030217	T cell differentiation	0.0009644009265229391	17.8015	321	14	4
GO:0001708	cell fate specification	0.00107151918381	37.594	114	14	3
GO:0002286	T cell activation involved in immune response	0.0013076681562159134	34.5622	124	14	3
GO:0010557	positive regulation of macromolecule biosynthetic process	0.0013076681562159134	4.503	2538	14	8
GO:0048869	cellular developmental process	0.001343998280462218	3.2146	4444	14	10
GO:0009058	biosynthetic process	0.001343998280462218	1.8799	10639	14	14
GO:0030154	cell differentiation	0.001343998280462218	3.2153	4443	14	10
GO:0035710	CD4-positive, alpha-beta T cell activation	0.0013996664595562014	32.7154	131	14	3
GO:0009891	positive regulation of biosynthetic process	0.0015568664966588996	4.3208	2645	14	8
GO:0009653	anatomical structure morphogenesis	0.0017634040374772616	4.2344	2699	14	8
GO:0030900	forebrain development	0.0018345083284523902	14.1794	403	14	4
GO:0007275	multicellular organism development	0.0019585174448739947	3.046	4690	14	10
GO:0030098	lymphocyte differentiation	0.002199187690306812	13.3824	427	14	4
GO:0035988	chondrocyte proliferation	0.002308943385045812	102.0408	28	14	2
GO:0048468	cell development	0.002308943385045812	4.0213	2842	14	8
GO:2000319	regulation of T-helper 17 cell differentiation	0.0023888127958973672	98.5222	29	14	2
GO:0030099	myeloid cell differentiation	0.002466458041612742	12.7267	449	14	4
GO:0021543	pallium development	0.0031864536687586766	22.7964	188	14	3
GO:0048665	neuron fate specification	0.0031864536687586766	81.6327	35	14	2
GO:0045580	regulation of T cell differentiation	0.0031864536687586766	22.7964	188	14	3
GO:0048513	animal organ development	0.0031864536687586766	3.7868	3018	14	8
GO:0021884	forebrain neuron development	0.003258279892184605	79.3651	36	14	2
GO:0001764	neuron migration	0.003258279892184605	22.3214	192	14	3
GO:0048731	system development	0.0033953346665353138	3.1959	4023	14	9
GO:0045595	regulation of cell differentiation	0.0035226769791314454	5.5335	1549	14	6
GO:2000316	regulation of T-helper 17 type immune response	0.003642750597197603	73.2601	39	14	2
GO:1903131	mononuclear cell differentiation	0.003713230497413756	10.926	523	14	4
GO:0030851	granulocyte differentiation	0.003713230497413756	71.4286	40	14	2
GO:0048873	homeostasis of number of cells within a tissue	0.0037274402641370562	69.6864	41	14	2
GO:0072539	T-helper 17 cell differentiation	0.0037274402641370562	69.6864	41	14	2
GO:0010604	positive regulation of macromolecule metabolic process	0.0037274402641370562	3.6258	3152	14	8
GO:0009887	animal organ morphogenesis	0.0037408318895553187	7.1429	1000	14	5
GO:0002285	lymphocyte activation involved in immune response	0.0037996232111408967	20.0267	214	14	3
GO:0043170	macromolecule metabolic process	0.003951459355879453	1.6748	11942	14	14
GO:0045619	regulation of lymphocyte differentiation	0.003951459355879453	19.6592	218	14	3
GO:0050794	regulation of cellular process	0.003988991823172312	1.672	11962	14	14
GO:0001825	blastocyst formation	0.004251597231233805	62.1118	46	14	2
GO:0060711	labyrinthine layer development	0.004251597231233805	62.1118	46	14	2
GO:0045622	regulation of T-helper cell differentiation	0.0044787863018969625	59.5238	48	14	2
GO:0050793	regulation of developmental process	0.0044787863018969625	4.1135	2431	14	7
GO:0042110	T cell activation	0.0044787863018969625	9.8353	581	14	4
GO:0001649	osteoblast differentiation	0.0044787863018969625	18.1598	236	14	3
GO:0044238	primary metabolic process	0.0046284969567943575	1.6434	12170	14	14
GO:0140467	integrated stress response signaling	0.004835435308319218	56.0224	51	14	2
GO:0009893	positive regulation of metabolic process	0.005305875911183011	3.3515	3410	14	8
GO:0072538	T-helper 17 type immune response	0.005486122908436227	51.9481	55	14	2
GO:0050789	regulation of biological process	0.005639123625615159	1.6133	12397	14	14
GO:0002521	leukocyte differentiation	0.005639123625615159	9.0992	628	14	4
GO:0042668	auditory receptor cell fate determination	0.0058666457237101155	1428.5714	1	14	1
GO:0021537	telencephalon development	0.0061365541631110505	15.7563	272	14	3
GO:0043370	regulation of CD4-positive, alpha-beta T cell differentiation	0.006151470309375834	47.619	60	14	2
GO:0042113	B cell activation	0.006936933792089796	14.985	286	14	3
GO:0030858	positive regulation of epithelial cell differentiation	0.0070529415550194974	43.956	65	14	2
GO:0048856	anatomical structure development	0.008013597289655986	2.4018	5948	14	10
GO:0048663	neuron fate commitment	0.008013597289655986	40.2414	71	14	2
GO:0002562	somatic diversification of immune receptors via germline recombination within a single locus	0.008013597289655986	39.6825	72	14	2
GO:0002263	cell activation involved in immune response	0.008013597289655986	13.9147	308	14	3
GO:0002366	leukocyte activation involved in immune response	0.008013597289655986	14.0977	304	14	3
GO:0016444	somatic cell DNA recombination	0.008013597289655986	39.6825	72	14	2
GO:0065007	biological regulation	0.008013597289655986	1.562	12804	14	14
GO:0007420	brain development	0.008753009694747182	7.764	736	14	4
GO:0046637	regulation of alpha-beta T cell differentiation	0.008824693495583008	36.63	78	14	2
GO:1902105	regulation of leukocyte differentiation	0.008824693495583008	13.0265	329	14	3
GO:0061153	trachea gland development	0.008824693495583008	714.2857	2	14	1
GO:0042667	auditory receptor cell fate specification	0.008824693495583008	714.2857	2	14	1
GO:0045633	positive regulation of mechanoreceptor differentiation	0.008824693495583008	714.2857	2	14	1
GO:2000514	regulation of CD4-positive, alpha-beta T cell activation	0.008824693495583008	34.8432	82	14	2
GO:0002200	somatic diversification of immune receptors	0.008824693495583008	36.63	78	14	2
GO:1904019	epithelial cell apoptotic process	0.008824693495583008	34.8432	82	14	2
GO:0060427	lung connective tissue development	0.008824693495583008	714.2857	2	14	1
GO:0042063	gliogenesis	0.008824693495583008	12.9478	331	14	3
GO:0061144	alveolar secondary septum development	0.008824693495583008	714.2857	2	14	1
GO:0045609	positive regulation of inner ear auditory receptor cell differentiation	0.008824693495583008	714.2857	2	14	1
GO:0070661	leukocyte proliferation	0.008824693495583008	12.6422	339	14	3
GO:0021879	forebrain neuron differentiation	0.008824693495583008	35.7143	80	14	2
GO:0061152	trachea submucosa development	0.008824693495583008	714.2857	2	14	1
GO:2000982	positive regulation of inner ear receptor cell differentiation	0.008824693495583008	714.2857	2	14	1
GO:0060322	head development	0.009515018275258238	7.2608	787	14	4
GO:0001892	embryonic placenta development	0.009515018275258238	33.2226	86	14	2
GO:0046649	lymphocyte activation	0.010488652023835249	7.046	811	14	4
GO:0042100	B cell proliferation	0.010596051996816385	31.0559	92	14	2
GO:0060284	regulation of cell development	0.010596051996816385	7.0028	816	14	4
GO:0021954	central nervous system neuron development	0.010963006009997311	30.3951	94	14	2
