term_id	description	p_adjust	fold_enrichment	term_size	query_size	intersection_size
GO:0006357	regulation of transcription by RNA polymerase II	4.962545454278383e-07	7.4405	2688	10	10
GO:0006366	transcription by RNA polymerase II	4.962545454278383e-07	7.0746	2827	10	10
GO:0045944	positive regulation of transcription by RNA polymerase II	9.818703240938788e-07	12.9345	1237	10	8
GO:0006355	regulation of DNA-templated transcription	1.249177745547529e-06	5.9084	3385	10	10
GO:2001141	regulation of RNA biosynthetic process	1.249177745547529e-06	5.8875	3397	10	10
GO:0006351	DNA-templated transcription	1.499063715555695e-06	5.677	3523	10	10
GO:0051252	regulation of RNA metabolic process	1.8519596959299855e-06	5.4735	3654	10	10
GO:1902680	positive regulation of RNA biosynthetic process	3.204086100329112e-06	9.5579	1674	10	8
GO:0045893	positive regulation of DNA-templated transcription	3.204086100329112e-06	9.5694	1672	10	8
GO:0019219	regulation of nucleobase-containing compound metabolic process	3.204086100329112e-06	5.0582	3954	10	10
GO:0051254	positive regulation of RNA metabolic process	5.242319956838174e-06	8.8692	1804	10	8
GO:0002521	leukocyte differentiation	5.649575486589452e-06	19.1083	628	10	6
GO:0030316	osteoclast differentiation	6.17033679163104e-06	71.4286	112	10	4
GO:0080090	regulation of primary metabolic process	3.258836282605263e-05	3.8351	5215	10	10
GO:0010468	regulation of gene expression	5.1863749724186814e-05	3.6043	5549	10	10
GO:0010557	positive regulation of macromolecule biosynthetic process	5.1863749724186814e-05	6.3042	2538	10	8
GO:0030097	hemopoiesis	5.1863749724186814e-05	12.3584	971	10	6
GO:0010556	regulation of macromolecule biosynthetic process	5.62133989619206e-05	3.5417	5647	10	10
GO:0009891	positive regulation of biosynthetic process	6.021186931622599e-05	6.0491	2645	10	8
GO:0009889	regulation of biosynthetic process	6.854630282245867e-05	3.4358	5821	10	10
GO:0002573	myeloid leukocyte differentiation	8.596219863350437e-05	32.7869	244	10	4
GO:0045670	regulation of osteoclast differentiation	0.00010566829022608216	83.3333	72	10	3
GO:0035914	skeletal muscle cell differentiation	0.00013378291389474036	75.9494	79	10	3
GO:0060255	regulation of macromolecule metabolic process	0.00014571178780052225	3.1289	6392	10	10
GO:0010604	positive regulation of macromolecule metabolic process	0.00017753389144842312	5.0761	3152	10	8
GO:0032774	RNA biosynthetic process	0.00019303815114172623	3.018	6627	10	10
GO:0141187	nucleic acid biosynthetic process	0.0002185276333626744	2.9696	6735	10	10
GO:0016070	RNA metabolic process	0.00024385289414798707	2.9265	6834	10	10
GO:0019222	regulation of metabolic process	0.0002592128275857652	2.8986	6900	10	10
GO:0009893	positive regulation of metabolic process	0.0002708508225673203	4.6921	3410	10	8
GO:0034654	nucleobase-containing compound biosynthetic process	0.00029437254706843536	2.8429	7035	10	10
GO:0002761	regulation of myeloid leukocyte differentiation	0.000372862582958639	48.3871	124	10	3
GO:0090304	nucleic acid metabolic process	0.00045642222782057133	2.7023	7401	10	10
GO:0060537	muscle tissue development	0.00045642222782057133	19.0024	421	10	4
GO:0030099	myeloid cell differentiation	0.0005704298588633321	17.8174	449	10	4
GO:0006139	nucleobase-containing compound metabolic process	0.00087690454970932	2.5113	7964	10	10
GO:0007519	skeletal muscle tissue development	0.0009322935348768231	33.8983	177	10	3
GO:1903131	mononuclear cell differentiation	0.0009525059364465588	15.2964	523	10	4
GO:0002376	immune system process	0.001052251190766653	4.806	2913	10	7
GO:0060538	skeletal muscle organ development	0.0010811622098035696	31.4136	191	10	3
GO:0045672	positive regulation of osteoclast differentiation	0.0010951140247949286	133.3333	30	10	2
GO:0048869	cellular developmental process	0.0013554471270241129	3.6004	4444	10	8
GO:0030154	cell differentiation	0.0013554471270241129	3.6012	4443	10	8
GO:0045637	regulation of myeloid cell differentiation	0.0013554471270241129	28.0374	214	10	3
GO:0009888	tissue development	0.0013554471270241129	5.9583	2014	10	6
GO:0010467	gene expression	0.0030093987256838172	2.1664	9232	10	10
GO:0002763	positive regulation of myeloid leukocyte differentiation	0.003987328973205842	65.5738	61	10	2
GO:0009059	macromolecule biosynthetic process	0.004286416064906995	2.0822	9605	10	10
GO:1902105	regulation of leukocyte differentiation	0.004385653081980804	18.2371	329	10	3
GO:1990646	cellular response to prolactin	0.0047495633767515215	2000.0	1	10	1
GO:0072375	medium-term memory	0.0047495633767515215	2000.0	1	10	1
GO:0007517	muscle organ development	0.005464029295389724	16.5746	362	10	3
GO:0009725	response to hormone	0.005603351341607782	8.8496	904	10	4
GO:1901698	response to nitrogen compound	0.006402450675635523	8.5016	941	10	4
GO:0014706	striated muscle tissue development	0.006858450172976906	15.0376	399	10	3
GO:0048468	cell development	0.007189074916523361	4.2224	2842	10	6
GO:0048522	positive regulation of cellular process	0.007210728574482802	2.7879	5739	10	8
GO:1901652	response to peptide	0.007304211623757041	8.0564	993	10	4
GO:0060427	lung connective tissue development	0.007567992327908876	1000.0	2	10	1
GO:0061144	alveolar secondary septum development	0.007567992327908876	1000.0	2	10	1
GO:0030098	lymphocyte differentiation	0.007567992327908876	14.0515	427	10	3
GO:1990637	response to prolactin	0.007567992327908876	1000.0	2	10	1
GO:1903706	regulation of hemopoiesis	0.007567992327908876	14.1176	425	10	3
GO:2000757	negative regulation of peptidyl-lysine acetylation	0.007567992327908876	1000.0	2	10	1
GO:0045639	positive regulation of myeloid cell differentiation	0.008100092227656619	38.835	103	10	2
GO:0048856	anatomical structure development	0.008100092227656619	2.69	5948	10	8
GO:0043434	response to peptide hormone	0.008222413823930227	13.1291	457	10	3
GO:0048513	animal organ development	0.008222413823930227	3.9761	3018	10	6
GO:0009058	biosynthetic process	0.008293135148281157	1.8799	10639	10	10
GO:0008283	cell population proliferation	0.008699437793875666	5.0994	1961	10	5
GO:0051384	response to glucocorticoid	0.009007219487350226	35.3982	113	10	2
GO:0048518	positive regulation of biological process	0.00948108717090377	2.6016	6150	10	8
GO:1904606	fat cell apoptotic process	0.009815829323971547	666.6667	3	10	1
GO:0001661	conditioned taste aversion	0.009815829323971547	666.6667	3	10	1
GO:0030282	bone mineralization	0.010411105895327554	32.0	125	10	2
GO:0021987	cerebral cortex development	0.010767006347133538	31.25	128	10	2
GO:0031960	response to corticosteroid	0.011124672427681628	30.5344	131	10	2
GO:0007275	multicellular organism development	0.011377621330855068	2.9851	4690	10	7
GO:1904975	response to bleomycin	0.011808382375889123	500.0	4	10	1
GO:0046632	alpha-beta T cell differentiation	0.011808382375889123	29.1971	137	10	2
GO:1901984	negative regulation of protein acetylation	0.011808382375889123	500.0	4	10	1
GO:2000756	regulation of peptidyl-lysine acetylation	0.011808382375889123	500.0	4	10	1
GO:0030183	B cell differentiation	0.012099764522694744	28.169	142	10	2
GO:0032502	developmental process	0.01263938813732748	2.4484	6535	10	8
GO:0140459	response to Gram-positive bacterium	0.01668744660484272	333.3333	6	10	1
GO:0009629	response to gravity	0.01668744660484272	333.3333	6	10	1
GO:1904760	regulation of myofibroblast differentiation	0.01668744660484272	333.3333	6	10	1
GO:0031214	biomineral tissue development	0.01779422203941287	22.4719	178	10	2
GO:0009267	cellular response to starvation	0.018215197551202014	21.7391	184	10	2
GO:0120127	response to zinc ion starvation	0.018215197551202014	285.7143	7	10	1
GO:0061061	muscle structure development	0.018215197551202014	8.9153	673	10	3
GO:0035962	response to interleukin-13	0.018215197551202014	285.7143	7	10	1
GO:0034224	cellular response to zinc ion starvation	0.018215197551202014	285.7143	7	10	1
GO:0021543	pallium development	0.018541062212050766	21.2766	188	10	2
GO:0043170	macromolecule metabolic process	0.01854833284734488	1.6748	11942	10	10
GO:0009719	response to endogenous stimulus	0.01854833284734488	5.4533	1467	10	4
GO:1902107	positive regulation of leukocyte differentiation	0.01854833284734488	20.8333	192	10	2
GO:1903708	positive regulation of hemopoiesis	0.01854833284734488	20.8333	192	10	2
GO:0050794	regulation of cellular process	0.018670924022833796	1.672	11962	10	10
GO:0046631	alpha-beta T cell activation	0.018909034167826008	20.4082	196	10	2
GO:0035722	interleukin-12-mediated signaling pathway	0.020778610569224074	222.2222	9	10	1
GO:0060430	lung saccule development	0.020778610569224074	222.2222	9	10	1
GO:0060613	fat pad development	0.020778610569224074	222.2222	9	10	1
GO:0044238	primary metabolic process	0.020778610569224074	1.6434	12170	10	10
GO:0045595	regulation of cell differentiation	0.020778610569224074	5.1646	1549	10	4
GO:0036446	myofibroblast differentiation	0.020778610569224074	222.2222	9	10	1
GO:1904628	cellular response to phorbol 13-acetate 12-myristate	0.021434955660443424	200.0	10	10	1
GO:0180055	response to metal ion starvation	0.021434955660443424	200.0	10	10	1
GO:0042594	response to starvation	0.021434955660443424	18.4332	217	10	2
GO:1904627	response to phorbol 13-acetate 12-myristate	0.021434955660443424	200.0	10	10	1
GO:0030223	neutrophil differentiation	0.021434955660443424	200.0	10	10	1
GO:0002682	regulation of immune system process	0.021434955660443424	5.0188	1594	10	4
GO:0071374	cellular response to parathyroid hormone stimulus	0.021434955660443424	200.0	10	10	1
GO:0032501	multicellular organismal process	0.021434955660443424	2.1807	7337	10	8
GO:0006950	response to stress	0.021472269987226674	3.012	3984	10	6
GO:0048705	skeletal system morphogenesis	0.021810602501581105	17.2414	232	10	2
GO:0051412	response to corticosterone	0.021810602501581105	181.8182	11	10	1
GO:0050789	regulation of biological process	0.021810602501581105	1.6133	12397	10	10
GO:0001865	NK T cell differentiation	0.021810602501581105	181.8182	11	10	1
GO:1901983	regulation of protein acetylation	0.021810602501581105	181.8182	11	10	1
GO:0071349	cellular response to interleukin-12	0.021810602501581105	181.8182	11	10	1
GO:1901700	response to oxygen-containing compound	0.021810602501581105	4.902	1632	10	4
GO:1901653	cellular response to peptide	0.022765606911145403	166.6667	12	10	1
GO:0070671	response to interleukin-12	0.022765606911145403	166.6667	12	10	1
GO:0021670	lateral ventricle development	0.022765606911145403	166.6667	12	10	1
GO:0060284	regulation of cell development	0.022765606911145403	7.3529	816	10	3
GO:0045444	fat cell differentiation	0.022765606911145403	16.4609	243	10	2
GO:0046649	lymphocyte activation	0.022765606911145403	7.3983	811	10	3
GO:0031669	cellular response to nutrient levels	0.023548238105267908	16.0	250	10	2
GO:0003334	keratinocyte development	0.023794419145361265	153.8462	13	10	1
GO:0014816	skeletal muscle satellite cell differentiation	0.023794419145361265	153.8462	13	10	1
GO:0042593	glucose homeostasis	0.023794419145361265	15.748	254	10	2
GO:0033500	carbohydrate homeostasis	0.024278701339276013	15.5039	258	10	2
GO:0045597	positive regulation of cell differentiation	0.024531115849106756	7.0423	852	10	3
GO:0071107	response to parathyroid hormone	0.025049946135137318	142.8571	14	10	1
GO:1901142	insulin metabolic process	0.026061285527975587	133.3333	15	10	1
GO:0018394	peptidyl-lysine acetylation	0.026061285527975587	133.3333	15	10	1
GO:0021537	telencephalon development	0.026061285527975587	14.7059	272	10	2
GO:0070254	mucus secretion	0.026061285527975587	133.3333	15	10	1
GO:0065007	biological regulation	0.026073488292614456	1.562	12804	10	10
GO:0001666	response to hypoxia	0.026461737589914013	14.3885	278	10	2
GO:0090336	positive regulation of brown fat cell differentiation	0.027205572162743167	125.0	16	10	1
GO:0042113	B cell activation	0.027561521231878442	13.986	286	10	2
GO:0036293	response to decreased oxygen levels	0.02811378902330171	13.7931	290	10	2
GO:0000122	negative regulation of transcription by RNA polymerase II	0.029170308621048403	6.4309	933	10	3
GO:0006952	defense response	0.030416062590252233	4.2485	1883	10	4
GO:0032868	response to insulin	0.030929108392875604	12.987	308	10	2
GO:0003417	growth plate cartilage development	0.03097695209054214	105.2632	19	10	1
GO:0048545	response to steroid hormone	0.031281101431171306	12.8205	312	10	2
GO:0034097	response to cytokine	0.03177843813095216	6.1287	979	10	3
GO:0045321	leukocyte activation	0.03177843813095216	6.1538	975	10	3
GO:0070482	response to oxygen levels	0.03177843813095216	12.6183	317	10	2
GO:0030217	T cell differentiation	0.03217523012758072	12.4611	321	10	2
GO:0098760	response to interleukin-7	0.03271707155606782	95.2381	21	10	1
GO:0032496	response to lipopolysaccharide	0.03271707155606782	12.2699	326	10	2
GO:0051450	myoblast proliferation	0.03509498248366152	86.9565	23	10	1
GO:0035902	response to immobilization stress	0.03509498248366152	86.9565	23	10	1
GO:0014856	skeletal muscle cell proliferation	0.03509498248366152	86.9565	23	10	1
GO:0061318	renal filtration cell differentiation	0.035489901838620684	83.3333	24	10	1
GO:0072112	podocyte differentiation	0.035489901838620684	83.3333	24	10	1
GO:0090335	regulation of brown fat cell differentiation	0.035489901838620684	83.3333	24	10	1
GO:0002237	response to molecule of bacterial origin	0.035489901838620684	11.5942	345	10	2
GO:0045063	T-helper 1 cell differentiation	0.035489901838620684	83.3333	24	10	1
GO:0003299	muscle hypertrophy in response to stress	0.03586070071629046	80.0	25	10	1
GO:0014887	cardiac muscle adaptation	0.03586070071629046	80.0	25	10	1
GO:0072311	glomerular epithelial cell differentiation	0.03586070071629046	80.0	25	10	1
GO:0035994	response to muscle stretch	0.03586070071629046	80.0	25	10	1
GO:0014898	cardiac muscle hypertrophy in response to stress	0.03586070071629046	80.0	25	10	1
GO:0048745	smooth muscle tissue development	0.03706649960768584	76.9231	26	10	1
GO:0035988	chondrocyte proliferation	0.038978098242423855	71.4286	28	10	1
GO:0003416	endochondral bone growth	0.038978098242423855	71.4286	28	10	1
GO:0051385	response to mineralocorticoid	0.038978098242423855	71.4286	28	10	1
GO:0072010	glomerular epithelium development	0.038978098242423855	71.4286	28	10	1
GO:0002684	positive regulation of immune system process	0.039238633857473615	5.4005	1111	10	3
GO:0001775	cell activation	0.04016979530772065	5.3428	1123	10	3
GO:0009410	response to xenobiotic stimulus	0.04178719142524314	10.101	396	10	2
GO:0098868	bone growth	0.04215196761483989	64.5161	31	10	1
GO:0030900	forebrain development	0.042716969885167974	9.9256	403	10	2
GO:0060351	cartilage development involved in endochondral bone morphogenesis	0.04386100843358818	60.6061	33	10	1
GO:0032570	response to progesterone	0.04386100843358818	60.6061	33	10	1
GO:0021591	ventricular system development	0.04386100843358818	60.6061	33	10	1
GO:0070741	response to interleukin-6	0.04599112575669079	57.1429	35	10	1
GO:0001503	ossification	0.04599112575669079	9.434	424	10	2
GO:0010720	positive regulation of cell development	0.04673162187098776	9.3023	430	10	2
GO:0046326	positive regulation of D-glucose import across plasma membrane	0.046783723328022914	55.5556	36	10	1
