term_id	description	p_adjust	fold_enrichment	term_size	query_size	intersection_size
GO:0045944	positive regulation of transcription by RNA polymerase II	6.134756709988132e-06	12.9345	1237	10	8
GO:0000122	negative regulation of transcription by RNA polymerase II	1.6682692392461617e-05	15.0054	933	10	7
GO:0045893	positive regulation of DNA-templated transcription	1.6682692392461617e-05	9.5694	1672	10	8
GO:1902680	positive regulation of RNA biosynthetic process	1.6682692392461617e-05	9.5579	1674	10	8
GO:0006357	regulation of transcription by RNA polymerase II	1.7277399553257095e-05	6.6964	2688	10	9
GO:0006366	transcription by RNA polymerase II	1.9309336106700612e-05	6.3672	2827	10	9
GO:0051254	positive regulation of RNA metabolic process	1.9309336106700612e-05	8.8692	1804	10	8
GO:1902679	negative regulation of RNA biosynthetic process	3.8012312640489284e-05	10.9034	1284	10	7
GO:0045892	negative regulation of DNA-templated transcription	3.8012312640489284e-05	10.9804	1275	10	7
GO:2001141	regulation of RNA biosynthetic process	5.731644842371579e-05	5.2988	3397	10	9
GO:0006355	regulation of DNA-templated transcription	5.731644842371579e-05	5.3176	3385	10	9
GO:0051253	negative regulation of RNA metabolic process	5.731644842371579e-05	10.0792	1389	10	7
GO:0006351	DNA-templated transcription	7.299245155036703e-05	5.1093	3523	10	9
GO:0045934	negative regulation of nucleobase-containing compound metabolic process	7.395525600992962e-05	9.2715	1510	10	7
GO:0051252	regulation of RNA metabolic process	8.731852710764973e-05	4.9261	3654	10	9
GO:0010468	regulation of gene expression	0.00010403837626923339	3.6043	5549	10	10
GO:0010557	positive regulation of macromolecule biosynthetic process	0.00010403837626923339	6.3042	2538	10	8
GO:0010556	regulation of macromolecule biosynthetic process	0.00011106606643101342	3.5417	5647	10	10
GO:0009952	anterior/posterior pattern specification	0.00011106606643101342	37.9147	211	10	4
GO:0009891	positive regulation of biosynthetic process	0.0001191317910427928	6.0491	2645	10	8
GO:0019219	regulation of nucleobase-containing compound metabolic process	0.0001250357063447811	4.5524	3954	10	9
GO:0009889	regulation of biosynthetic process	0.00012978165423436163	3.4358	5821	10	10
GO:0009790	embryo development	0.0001894887527006131	10.6572	1126	10	6
GO:0048663	neuron fate commitment	0.00019337644649336318	84.507	71	10	3
GO:0060255	regulation of macromolecule metabolic process	0.0002913317886480993	3.1289	6392	10	10
GO:0043009	chordate embryonic development	0.0002921161118612643	14.9477	669	10	5
GO:0009792	embryo development ending in birth or egg hatching	0.0003201827346550156	14.556	687	10	5
GO:0010604	positive regulation of macromolecule metabolic process	0.000330130162317969	5.0761	3152	10	8
GO:0021510	spinal cord development	0.00043610804015173496	60.6061	99	10	3
GO:0019222	regulation of metabolic process	0.0005218614157471422	2.8986	6900	10	10
GO:0009893	positive regulation of metabolic process	0.0005458982161726408	4.6921	3410	10	8
GO:0001708	cell fate specification	0.0006036366692047135	52.6316	114	10	3
GO:0003214	cardiac left ventricle morphogenesis	0.0008738156633732463	235.2941	17	10	2
GO:0080090	regulation of primary metabolic process	0.0008738156633732463	3.4516	5215	10	9
GO:0003002	regionalization	0.000932041165382712	18.9573	422	10	4
GO:0048523	negative regulation of cellular process	0.001321326533285492	3.2668	5510	10	9
GO:0007389	pattern specification process	0.001321326533285492	17.094	468	10	4
GO:0010558	negative regulation of macromolecule biosynthetic process	0.0014755308023308364	5.1226	2733	10	7
GO:0030325	adrenal gland development	0.0016651443423185185	153.8462	26	10	2
GO:0048519	negative regulation of biological process	0.0016651443423185185	3.1288	5753	10	9
GO:0009890	negative regulation of biosynthetic process	0.0016651443423185185	4.9964	2802	10	7
GO:0048522	positive regulation of cellular process	0.0016651443423185185	3.1364	5739	10	9
GO:0001702	gastrulation with mouth forming second	0.0017560868757679803	148.1481	27	10	2
GO:0021522	spinal cord motor neuron differentiation	0.0021252619974746964	133.3333	30	10	2
GO:0007369	gastrulation	0.0021284743313159196	30.7692	195	10	3
GO:0010605	negative regulation of macromolecule metabolic process	0.00255487965856545	4.5455	3080	10	7
GO:0048869	cellular developmental process	0.00255487965856545	3.6004	4444	10	8
GO:0048518	positive regulation of biological process	0.00255487965856545	2.9268	6150	10	9
GO:0048665	neuron fate specification	0.00255487965856545	114.2857	35	10	2
GO:0030154	cell differentiation	0.00255487965856545	3.6012	4443	10	8
GO:0048598	embryonic morphogenesis	0.0029129732215640966	12.8411	623	10	4
GO:0009892	negative regulation of metabolic process	0.0035533427339049114	4.2735	3276	10	7
GO:0048713	regulation of oligodendrocyte differentiation	0.0036504927623012585	93.0233	43	10	2
GO:0061061	muscle structure development	0.0037056456990108254	11.8871	673	10	4
GO:0021517	ventral spinal cord development	0.003854704961887824	88.8889	45	10	2
GO:0032774	RNA biosynthetic process	0.004232644148723283	2.7162	6627	10	9
GO:0021515	cell differentiation in spinal cord	0.004596501756452983	80.0	50	10	2
GO:0141187	nucleic acid biosynthetic process	0.004696488006758776	2.6726	6735	10	9
GO:0003197	endocardial cushion development	0.004804373145145781	76.9231	52	10	2
GO:0010467	gene expression	0.004805164605694883	2.1664	9232	10	10
GO:0016070	RNA metabolic process	0.0050621879545074714	2.6339	6834	10	9
GO:0045165	cell fate commitment	0.005348304821383088	20.202	297	10	3
GO:0072132	mesenchyme morphogenesis	0.005600342336999524	68.9655	58	10	2
