term_id	description	p_adjust	fold_enrichment	term_size	query_size	intersection_size
GO:0006357	regulation of transcription by RNA polymerase II	3.247648933632059e-10	7.4405	2688	14	14
GO:0006366	transcription by RNA polymerase II	3.29470078948239e-10	7.0746	2827	14	14
GO:0006355	regulation of DNA-templated transcription	2.1672794940886665e-09	5.9084	3385	14	14
GO:2001141	regulation of RNA biosynthetic process	2.1672794940886665e-09	5.8875	3397	14	14
GO:0006351	DNA-templated transcription	2.889757728087057e-09	5.677	3523	14	14
GO:0051252	regulation of RNA metabolic process	4.018518509264304e-09	5.4735	3654	14	14
GO:0019219	regulation of nucleobase-containing compound metabolic process	1.0415867819738728e-08	5.0582	3954	14	14
GO:0045893	positive regulation of DNA-templated transcription	2.716477510624077e-08	9.3985	1672	14	11
GO:1902680	positive regulation of RNA biosynthetic process	2.716477510624077e-08	9.3873	1674	14	11
GO:0045944	positive regulation of transcription by RNA polymerase II	4.1044621790938246e-08	11.5487	1237	14	10
GO:0051254	positive regulation of RNA metabolic process	4.979401908732814e-08	8.7108	1804	14	11
GO:0080090	regulation of primary metabolic process	2.9449709868819416e-07	3.8351	5215	14	14
GO:0010468	regulation of gene expression	6.489654754585202e-07	3.6043	5549	14	14
GO:0010556	regulation of macromolecule biosynthetic process	7.702001344387124e-07	3.5417	5647	14	14
GO:0009889	regulation of biosynthetic process	1.0999355947678027e-06	3.4358	5821	14	14
GO:0010557	positive regulation of macromolecule biosynthetic process	1.3273385753912494e-06	6.1916	2538	14	11
GO:0009891	positive regulation of biosynthetic process	1.9384320665388273e-06	5.9411	2645	14	11
GO:0060255	regulation of macromolecule metabolic process	3.254730496333087e-06	3.1289	6392	14	14
GO:0002521	leukocyte differentiation	3.254730496333087e-06	15.9236	628	14	7
GO:0032774	RNA biosynthetic process	5.078397187000893e-06	3.018	6627	14	14
GO:0141187	nucleic acid biosynthetic process	6.066272807909106e-06	2.9696	6735	14	14
GO:0016070	RNA metabolic process	7.104391916279749e-06	2.9265	6834	14	14
GO:0019222	regulation of metabolic process	7.775257342168968e-06	2.8986	6900	14	14
GO:0010604	positive regulation of macromolecule metabolic process	8.788634824684829e-06	4.9855	3152	14	11
GO:0034654	nucleobase-containing compound biosynthetic process	9.384752169115992e-06	2.8429	7035	14	14
GO:0045892	negative regulation of DNA-templated transcription	1.571416289806574e-05	8.9636	1275	14	8
GO:1902679	negative regulation of RNA biosynthetic process	1.5972008380185406e-05	8.9008	1284	14	8
GO:0009893	positive regulation of metabolic process	1.6636118600935535e-05	4.6083	3410	14	11
GO:0090304	nucleic acid metabolic process	1.6636118600935535e-05	2.7023	7401	14	14
GO:1903131	mononuclear cell differentiation	2.044852013907464e-05	16.389	523	14	6
