term_id	description	p_adjust	fold_enrichment	term_size	query_size	intersection_size
GO:0006366	transcription by RNA polymerase II	1.606818028727653e-07	6.5304	2827	13	12
GO:0006357	regulation of transcription by RNA polymerase II	1.606818028727653e-07	6.8681	2688	13	12
GO:0006355	regulation of DNA-templated transcription	7.099904633472857e-07	5.4539	3385	13	12
GO:2001141	regulation of RNA biosynthetic process	7.099904633472857e-07	5.4347	3397	13	12
GO:0006351	DNA-templated transcription	8.741958148205948e-07	5.2403	3523	13	12
GO:0051252	regulation of RNA metabolic process	1.122061352895808e-06	5.0524	3654	13	12
GO:0019219	regulation of nucleobase-containing compound metabolic process	2.443404078636377e-06	4.6691	3954	13	12
GO:0080090	regulation of primary metabolic process	5.5482902875776606e-05	3.5401	5215	13	12
GO:0010468	regulation of gene expression	0.0001019754734297082	3.327	5549	13	12
GO:0010556	regulation of macromolecule biosynthetic process	0.00011261048277849628	3.2693	5647	13	12
GO:0009889	regulation of biosynthetic process	0.00014589708676858654	3.1715	5821	13	12
GO:0060255	regulation of macromolecule metabolic process	0.00039759350459884075	2.8882	6392	13	12
GO:0072197	ureter morphogenesis	0.00045758527553961943	439.5604	7	13	2
GO:0032774	RNA biosynthetic process	0.0005182241506485682	2.7858	6627	13	12
GO:0141187	nucleic acid biosynthetic process	0.0005833736416852753	2.7411	6735	13	12
GO:0016070	RNA metabolic process	0.0006476345151381727	2.7014	6834	13	12
GO:0019222	regulation of metabolic process	0.0006812748788262921	2.6756	6900	13	12
GO:0034654	nucleobase-containing compound biosynthetic process	0.0008050752157452291	2.6242	7035	13	12
GO:0030154	cell differentiation	0.0010931115001404784	3.4627	4443	13	10
GO:0048869	cellular developmental process	0.0010931115001404784	3.4619	4444	13	10
GO:0090304	nucleic acid metabolic process	0.0012392302688726269	2.4945	7401	13	12
GO:0045944	positive regulation of transcription by RNA polymerase II	0.0018119377749980133	7.4622	1237	13	6
GO:0072189	ureter development	0.001877106467779173	170.9402	18	13	2
GO:0006139	nucleobase-containing compound metabolic process	0.0025191909173459498	2.3181	7964	13	12
GO:0007519	skeletal muscle tissue development	0.00506265858577673	26.0756	177	13	3
GO:0000122	negative regulation of transcription by RNA polymerase II	0.00506265858577673	8.2447	933	13	5
GO:0060538	skeletal muscle organ development	0.005891651410431743	24.1643	191	13	3
GO:1902680	positive regulation of RNA biosynthetic process	0.007423621075717451	5.5142	1674	13	6
GO:0045893	positive regulation of DNA-templated transcription	0.007423621075717451	5.5208	1672	13	6
GO:0048483	autonomic nervous system development	0.00922441559429407	68.3761	45	13	2
GO:0010467	gene expression	0.010180447709096247	1.9997	9232	13	12
GO:0051254	positive regulation of RNA metabolic process	0.010180447709096247	5.1168	1804	13	6
GO:0021594	rhombomere formation	0.011807126054694382	1538.4615	1	13	1
GO:0021660	rhombomere 3 formation	0.011807126054694382	1538.4615	1	13	1
GO:0021664	rhombomere 5 morphogenesis	0.011807126054694382	1538.4615	1	13	1
GO:0009653	anatomical structure morphogenesis	0.011807126054694382	3.9901	2699	13	7
GO:0021595	rhombomere structural organization	0.011807126054694382	1538.4615	1	13	1
GO:0061005	cell differentiation involved in kidney development	0.011807126054694382	51.2821	60	13	2
GO:2000683	regulation of cellular response to X-ray	0.011807126054694382	1538.4615	1	13	1
GO:0021659	rhombomere 3 structural organization	0.011807126054694382	1538.4615	1	13	1
GO:0021666	rhombomere 5 formation	0.011807126054694382	1538.4615	1	13	1
GO:0021665	rhombomere 5 structural organization	0.011807126054694382	1538.4615	1	13	1
GO:0009059	macromolecule biosynthetic process	0.011852431853866939	1.9221	9605	13	12
GO:0045892	negative regulation of DNA-templated transcription	0.012775800653201802	6.0332	1275	13	5
GO:1902679	negative regulation of RNA biosynthetic process	0.012901265110729422	5.9909	1284	13	5
GO:0060675	ureteric bud morphogenesis	0.01373183602528742	45.2489	68	13	2
GO:0072171	mesonephric tubule morphogenesis	0.013836015858076816	44.5931	69	13	2
GO:0032502	developmental process	0.015153184136165038	2.3542	6535	13	10
GO:0160194	stereocilium bundle organization	0.01599217460815748	769.2308	2	13	1
GO:0061333	renal tubule morphogenesis	0.01599217460815748	37.5235	82	13	2
GO:0072078	nephron tubule morphogenesis	0.01599217460815748	39.96	77	13	2
GO:0072001	renal system development	0.01599217460815748	13.9438	331	13	3
GO:0060284	regulation of cell development	0.01599217460815748	7.5415	816	13	4
GO:0072028	nephron morphogenesis	0.01599217460815748	37.9867	81	13	2
GO:0035914	skeletal muscle cell differentiation	0.01599217460815748	38.9484	79	13	2
GO:0021593	rhombomere morphogenesis	0.01599217460815748	769.2308	2	13	1
GO:0014040	positive regulation of Schwann cell differentiation	0.01599217460815748	769.2308	2	13	1
GO:0021658	rhombomere 3 morphogenesis	0.01599217460815748	769.2308	2	13	1
GO:0072088	nephron epithelium morphogenesis	0.01599217460815748	38.9484	79	13	2
GO:0030182	neuron differentiation	0.01599217460815748	5.3271	1444	13	5
GO:0051253	negative regulation of RNA metabolic process	0.01599217460815748	5.538	1389	13	5
GO:0014043	negative regulation of neuron maturation	0.01599217460815748	769.2308	2	13	1
GO:0007517	muscle organ development	0.016287810303680882	12.7497	362	13	3
GO:0072164	mesonephric tubule development	0.017383440810143647	30.7692	100	13	2
GO:0072163	mesonephric epithelium development	0.017383440810143647	30.7692	100	13	2
GO:0045934	negative regulation of nucleobase-containing compound metabolic process	0.017383440810143647	5.0942	1510	13	5
GO:0035284	brain segmentation	0.017383440810143647	512.8205	3	13	1
GO:0021571	rhombomere 5 development	0.017383440810143647	512.8205	3	13	1
GO:0072275	metanephric glomerulus morphogenesis	0.017383440810143647	512.8205	3	13	1
GO:0001657	ureteric bud development	0.017383440810143647	31.08	99	13	2
GO:0014038	regulation of Schwann cell differentiation	0.017383440810143647	512.8205	3	13	1
GO:0072277	metanephric glomerular capillary formation	0.017383440810143647	512.8205	3	13	1
