term_id	description	p_value	p_adjust	term_size	query_size	intersection_size	fold_enrichment
GO:0002323	natural killer cell activation involved in immune response	0.0028543120465014385	0.0028543120465014385	32	61	4	40.984
GO:0098586	cellular response to virus	0.0028543120465014385	0.0028543120465014385	78	61	5	21.017
GO:0042110	T cell activation	0.003754639664060486	0.003754639664060486	581	61	10	5.643
GO:0030101	natural killer cell activation	0.0041764535275756656	0.0041764535275756656	97	61	5	16.9
GO:0043330	response to exogenous dsRNA	0.004554966089749232	0.004554966089749232	51	61	4	25.715
GO:0045321	leukocyte activation	0.004554966089749232	0.004554966089749232	975	61	12	4.035
GO:0140888	interferon-mediated signaling pathway	0.004554966089749232	0.004554966089749232	111	61	5	14.769
GO:0007162	negative regulation of cell adhesion	0.004554966089749232	0.004554966089749232	287	61	7	7.997
GO:0043331	response to dsRNA	0.005251019132982825	0.005251019132982825	59	61	4	22.228
GO:0002694	regulation of leukocyte activation	0.006946381231618551	0.006946381231618551	572	61	9	5.159
GO:0065007	biological regulation	0.011179225251926826	0.011179225251926826	12804	61	51	1.306
GO:0071357	cellular response to type I interferon	0.011179225251926826	0.011179225251926826	86	61	4	15.25
GO:0046649	lymphocyte activation	0.011179225251926826	0.011179225251926826	811	61	10	4.043
GO:0060337	type I interferon-mediated signaling pathway	0.011179225251926826	0.011179225251926826	85	61	4	15.429
GO:1903037	regulation of leukocyte cell-cell adhesion	0.011179225251926826	0.011179225251926826	375	61	7	6.12
GO:0002696	positive regulation of leukocyte activation	0.011179225251926826	0.011179225251926826	363	61	7	6.323
GO:0050865	regulation of cell activation	0.011179225251926826	0.011179225251926826	627	61	9	4.706
GO:0001775	cell activation	0.011179225251926826	0.011179225251926826	1123	61	12	3.503
GO:0050867	positive regulation of cell activation	0.011179225251926826	0.011179225251926826	380	61	7	6.04
GO:0050863	regulation of T cell activation	0.01135857363964944	0.01135857363964944	386	61	7	5.946
GO:0034340	response to type I interferon	0.012861802791240719	0.012861802791240719	92	61	4	14.255
GO:0007159	leukocyte cell-cell adhesion	0.015582949068256078	0.015582949068256078	413	61	7	5.557
GO:0070664	negative regulation of leukocyte proliferation	0.015582949068256078	0.015582949068256078	99	61	4	13.247
GO:0032689	negative regulation of type II interferon production	0.017368925053385588	0.017368925053385588	41	61	3	23.99
GO:0002312	B cell activation involved in immune response	0.018634401165754537	0.018634401165754537	106	61	4	12.372
GO:0022408	negative regulation of cell-cell adhesion	0.018759312026207713	0.018759312026207713	197	61	5	8.322
GO:0032609	type II interferon production	0.02413358112386559	0.02413358112386559	119	61	4	11.021
GO:0042098	T cell proliferation	0.02413358112386559	0.02413358112386559	214	61	5	7.66
GO:0030155	regulation of cell adhesion	0.02413358112386559	0.02413358112386559	780	61	9	3.783
GO:0032649	regulation of type II interferon production	0.02413358112386559	0.02413358112386559	118	61	4	11.114
GO:0070661	leukocyte proliferation	0.026141864877976193	0.026141864877976193	339	61	6	5.803
GO:0002286	T cell activation involved in immune response	0.026442034580718376	0.026442034580718376	124	61	4	10.576
GO:0034097	response to cytokine	0.026532280390606528	0.026532280390606528	979	61	10	3.349
