term_id	description	p_adjust	fold_enrichment	term_size	query_size	intersection_size
GO:0006357	regulation of transcription by RNA polymerase II	4.065828490061797e-12	7.4405	2688	16	16
GO:0006366	transcription by RNA polymerase II	4.564788340774979e-12	7.0746	2827	16	16
GO:2001141	regulation of RNA biosynthetic process	4.3432031088660076e-11	5.8875	3397	16	16
GO:0006355	regulation of DNA-templated transcription	4.3432031088660076e-11	5.9084	3385	16	16
GO:0006351	DNA-templated transcription	6.230515823478419e-11	5.677	3523	16	16
GO:0051252	regulation of RNA metabolic process	9.323286473207929e-11	5.4735	3654	16	16
GO:0019219	regulation of nucleobase-containing compound metabolic process	2.4774524750559425e-10	5.0582	3954	16	16
GO:0045944	positive regulation of transcription by RNA polymerase II	2.4774524750559425e-10	12.1261	1237	16	12
GO:0007389	pattern specification process	1.1213819055493735e-09	24.0385	468	16	9
GO:1902680	positive regulation of RNA biosynthetic process	6.277289992641522e-09	8.9606	1674	16	12
GO:0045893	positive regulation of DNA-templated transcription	6.277289992641522e-09	8.9713	1672	16	12
GO:0051254	positive regulation of RNA metabolic process	1.2877416079119479e-08	8.3149	1804	16	12
GO:0080090	regulation of primary metabolic process	1.2877416079119479e-08	3.8351	5215	16	16
GO:0003002	regionalization	1.6009985552787788e-08	23.6967	422	16	8
GO:0010468	regulation of gene expression	3.017519484514255e-08	3.6043	5549	16	16
GO:0010556	regulation of macromolecule biosynthetic process	3.7448433633777806e-08	3.5417	5647	16	16
GO:0009889	regulation of biosynthetic process	5.7313650122289535e-08	3.4358	5821	16	16
GO:2000738	positive regulation of stem cell differentiation	8.778946254079228e-08	217.3913	23	16	4
GO:0048513	animal organ development	1.6994406386384318e-07	5.3844	3018	16	13
GO:0060255	regulation of macromolecule metabolic process	2.1812467598007185e-07	3.1289	6392	16	16
GO:0048598	embryonic morphogenesis	2.295516207689531e-07	16.0514	623	16	8
GO:0032774	RNA biosynthetic process	3.535777790531899e-07	3.018	6627	16	16
GO:0009887	animal organ morphogenesis	3.601264742585658e-07	11.25	1000	16	9
GO:0010557	positive regulation of macromolecule biosynthetic process	3.6387780710915363e-07	5.9102	2538	16	12
GO:0141187	nucleic acid biosynthetic process	4.0311040505277444e-07	2.9696	6735	16	16
GO:0016070	RNA metabolic process	4.896671006342842e-07	2.9265	6834	16	16
GO:0009891	positive regulation of biosynthetic process	5.20305374971334e-07	5.6711	2645	16	12
GO:0019222	regulation of metabolic process	5.303653663451598e-07	2.8986	6900	16	16
GO:0007420	brain development	5.716593002970833e-07	13.587	736	16	8
GO:0009653	anatomical structure morphogenesis	5.716593002970833e-07	5.5576	2699	16	12
GO:0048863	stem cell differentiation	5.716593002970833e-07	29.6443	253	16	6
GO:0034654	nucleobase-containing compound biosynthetic process	6.329487411168345e-07	2.8429	7035	16	16
GO:0060322	head development	9.03121529246531e-07	12.7065	787	16	8
GO:0090304	nucleic acid metabolic process	1.3422311481571767e-06	2.7023	7401	16	16
GO:0010604	positive regulation of macromolecule metabolic process	2.9848351909475852e-06	4.7589	3152	16	12
GO:0048731	system development	3.2345909317024835e-06	4.0393	4023	16	13
GO:0006139	nucleobase-containing compound metabolic process	3.975134121307623e-06	2.5113	7964	16	16
GO:0048645	animal organ formation	3.975134121307623e-06	72.4638	69	16	4
GO:0007417	central nervous system development	6.321048841454573e-06	9.6618	1035	16	8
GO:0009893	positive regulation of metabolic process	6.3776202820733296e-06	4.3988	3410	16	12
GO:2000736	regulation of stem cell differentiation	7.051498625251595e-06	61.7284	81	16	4
GO:0009952	anterior/posterior pattern specification	7.446384338073716e-06	29.6209	211	16	5
GO:0007493	endodermal cell fate determination	1.0114446422813767e-05	1250.0	2	16	2
GO:0009790	embryo development	1.066978233787892e-05	8.881	1126	16	8
GO:0048522	positive regulation of cellular process	1.540833347174429e-05	3.0493	5739	16	14
GO:1905207	regulation of cardiocyte differentiation	1.6237148098503327e-05	144.2308	26	16	3
GO:0007275	multicellular organism development	1.6359992246242382e-05	3.4648	4690	16	13
GO:0045892	negative regulation of DNA-templated transcription	2.5142156495546266e-05	7.8431	1275	16	8
GO:1902679	negative regulation of RNA biosynthetic process	2.597523521281625e-05	7.7882	1284	16	8
GO:0010467	gene expression	3.146450011601372e-05	2.1664	9232	16	16
GO:0045165	cell fate commitment	3.3081139485208584e-05	21.0438	297	16	5
GO:0048518	positive regulation of biological process	3.345121116166335e-05	2.8455	6150	16	14
GO:0000122	negative regulation of transcription by RNA polymerase II	4.0762634531807076e-05	9.3783	933	16	7
