term_id	description	p_adjust	fold_enrichment	term_size	query_size	intersection_size
GO:2001141	regulation of RNA biosynthetic process	5.99047063678861e-10	5.8875	3397	15	15
GO:0006355	regulation of DNA-templated transcription	5.99047063678861e-10	5.9084	3385	15	15
GO:0006351	DNA-templated transcription	6.904108058911836e-10	5.677	3523	15	15
GO:0006357	regulation of transcription by RNA polymerase II	7.3483423132401e-10	6.9444	2688	15	14
GO:0051252	regulation of RNA metabolic process	7.3483423132401e-10	5.4735	3654	15	15
GO:0006366	transcription by RNA polymerase II	1.233736734484e-09	6.603	2827	15	14
GO:0019219	regulation of nucleobase-containing compound metabolic process	1.6765083089080492e-09	5.0582	3954	15	15
GO:1902680	positive regulation of RNA biosynthetic process	2.3030039996758817e-09	9.5579	1674	15	12
GO:0045893	positive regulation of DNA-templated transcription	2.3030039996758817e-09	9.5694	1672	15	12
GO:0051254	positive regulation of RNA metabolic process	5.005926205463006e-09	8.8692	1804	15	12
GO:0080090	regulation of primary metabolic process	6.826065694624309e-08	3.8351	5215	15	15
GO:0045944	positive regulation of transcription by RNA polymerase II	8.31867906884737e-08	10.7788	1237	15	10
GO:0010468	regulation of gene expression	1.4674159889967472e-07	3.6043	5549	15	15
GO:0010556	regulation of macromolecule biosynthetic process	1.7723821590225505e-07	3.5417	5647	15	15
GO:0010557	positive regulation of macromolecule biosynthetic process	1.822143245521645e-07	6.3042	2538	15	12
GO:0009889	regulation of biosynthetic process	2.446269987986158e-07	3.4358	5821	15	15
GO:0009891	positive regulation of biosynthetic process	2.600022211811504e-07	6.0491	2645	15	12
GO:0060255	regulation of macromolecule metabolic process	8.864215067769057e-07	3.1289	6392	15	15
GO:0032774	RNA biosynthetic process	1.4441609925662138e-06	3.018	6627	15	15
GO:0010604	positive regulation of macromolecule metabolic process	1.6655967355613975e-06	5.0761	3152	15	12
GO:0141187	nucleic acid biosynthetic process	1.6655967355613975e-06	2.9696	6735	15	15
GO:0016070	RNA metabolic process	1.9793623925009272e-06	2.9265	6834	15	15
GO:0019222	regulation of metabolic process	2.1872368733422816e-06	2.8986	6900	15	15
GO:0034654	nucleobase-containing compound biosynthetic process	2.803913274696611e-06	2.8429	7035	15	15
GO:0009893	positive regulation of metabolic process	3.336950412904324e-06	4.6921	3410	15	12
GO:0048869	cellular developmental process	3.817533993320019e-06	3.9004	4444	15	13
GO:0030154	cell differentiation	3.817533993320019e-06	3.9013	4443	15	13
GO:0090304	nucleic acid metabolic process	5.1467527726883276e-06	2.7023	7401	15	15
GO:0021953	central nervous system neuron differentiation	9.781886335320413e-06	30.581	218	15	5
GO:0006139	nucleobase-containing compound metabolic process	1.4441719748297589e-05	2.5113	7964	15	15
GO:0021772	olfactory bulb development	5.001246193975649e-05	117.6471	34	15	3
GO:0021988	olfactory lobe development	5.7759520951960397e-05	111.1111	36	15	3
GO:0048522	positive regulation of cellular process	7.515447724659777e-05	3.0203	5739	15	13
GO:0048468	cell development	8.395208725541921e-05	4.6915	2842	15	10
GO:0007517	muscle organ development	9.839123859254123e-05	18.4162	362	15	5
GO:0010467	gene expression	0.00011058422134772331	2.1664	9232	15	15
GO:0048513	animal organ development	0.00013483125193721918	4.4179	3018	15	10
GO:0007519	skeletal muscle tissue development	0.00014531544090733335	30.1318	177	15	4
GO:0048518	positive regulation of biological process	0.00014890257867903925	2.8184	6150	15	13
GO:0009059	macromolecule biosynthetic process	0.00018036459447656075	2.0822	9605	15	15
GO:0060538	skeletal muscle organ development	0.0001820046549033802	27.9232	191	15	4
GO:0022008	neurogenesis	0.0001997257471474424	6.0298	1769	15	8
GO:0032502	developmental process	0.0002838610139641078	2.6524	6535	15	13
GO:0007399	nervous system development	0.00032993587874411155	4.6207	2597	15	9
GO:0048663	neuron fate commitment	0.00032993587874411155	56.338	71	15	3
GO:0009653	anatomical structure morphogenesis	0.00043408737136238664	4.4461	2699	15	9
GO:0035914	skeletal muscle cell differentiation	0.00043408737136238664	50.6329	79	15	3
GO:0021879	forebrain neuron differentiation	0.00043479739050983807	50.0	80	15	3
GO:0009888	tissue development	0.0004476136808798772	5.2963	2014	15	8
GO:0021889	olfactory bulb interneuron differentiation	0.00046024675558152236	242.4242	11	15	2
GO:0001501	skeletal system development	0.00046024675558152236	12.3916	538	15	5
GO:0030182	neuron differentiation	0.00048523902066982414	6.4635	1444	15	7
GO:0021872	forebrain generation of neurons	0.0005421922537533063	44.9438	89	15	3
GO:0009058	biosynthetic process	0.0006086421831729119	1.8799	10639	15	15
GO:0032352	positive regulation of hormone metabolic process	0.0006086421831729119	205.1282	13	15	2
GO:0048699	generation of neurons	0.0006255041633037978	6.1283	1523	15	7
GO:0009887	animal organ morphogenesis	0.0006255041633037978	8.0	1000	15	6
GO:0002087	regulation of respiratory gaseous exchange by nervous system process	0.0006612157643948697	190.4762	14	15	2
GO:0045165	cell fate commitment	0.0007151529127754946	17.9574	297	15	4
GO:0048935	peripheral nervous system neuron development	0.0007251198146645815	177.7778	15	15	2
GO:0048856	anatomical structure development	0.0007251198146645815	2.69	5948	15	12
GO:0048562	embryonic organ morphogenesis	0.0007547389768584413	17.4863	305	15	4
GO:0048934	peripheral nervous system neuron differentiation	0.0008020686036197444	166.6667	16	15	2
GO:0044065	regulation of respiratory system process	0.0008944380546438925	156.8627	17	15	2
GO:0043009	chordate embryonic development	0.0010219739801858685	9.9651	669	15	5
