term_id	description	p_adjust	fold_enrichment	term_size	query_size	intersection_size
GO:0006357	regulation of transcription by RNA polymerase II	2.0881768205092144e-08	7.4405	2688	12	12
GO:0006366	transcription by RNA polymerase II	2.0881768205092144e-08	7.0746	2827	12	12
GO:0006355	regulation of DNA-templated transcription	9.499039146641711e-08	5.9084	3385	12	12
GO:2001141	regulation of RNA biosynthetic process	9.499039146641711e-08	5.8875	3397	12	12
GO:0006351	DNA-templated transcription	1.1772732358165349e-07	5.677	3523	12	12
GO:0051252	regulation of RNA metabolic process	1.3041043571969473e-07	5.4735	3654	12	12
GO:0001701	in utero embryonic development	1.3041043571969473e-07	28.8066	405	12	7
GO:0019219	regulation of nucleobase-containing compound metabolic process	2.9453318998136084e-07	5.0582	3954	12	12
GO:0045165	cell fate commitment	8.680624546894579e-07	33.67	297	12	6
GO:0007507	heart development	1.1300876160372667e-06	19.7406	591	12	7
GO:0060562	epithelial tube morphogenesis	1.2511264578482947e-06	30.03	333	12	6
GO:0048598	embryonic morphogenesis	1.2511264578482947e-06	18.7266	623	12	7
GO:0048729	tissue morphogenesis	1.2511264578482947e-06	19.0632	612	12	7
GO:0043009	chordate embryonic development	1.8985436430775322e-06	17.439	669	12	7
GO:0009792	embryo development ending in birth or egg hatching	2.127433012294545e-06	16.982	687	12	7
GO:0080090	regulation of primary metabolic process	3.770305267877648e-06	3.8351	5215	12	12
GO:0048645	animal organ formation	3.770305267877648e-06	96.6184	69	12	4
GO:0045944	positive regulation of transcription by RNA polymerase II	3.770305267877648e-06	10.7788	1237	12	8
GO:0001711	endodermal cell fate commitment	4.042480868567307e-06	333.3333	15	12	3
GO:0048568	embryonic organ development	5.0722374568256765e-06	21.8818	457	12	6
GO:0010468	regulation of gene expression	6.580044471080585e-06	3.6043	5549	12	12
GO:0035239	tube morphogenesis	7.2784500280714195e-06	13.3029	877	12	7
GO:0002009	morphogenesis of an epithelium	7.2784500280714195e-06	19.9601	501	12	6
