Motif Name	Consensus	P-value	Log P-value	q-value (Benjamini)	Num Target	Pct Target	Num Background	Pct Background
Sall1	N	1.8200e-06	-5.740	1.8200e-06	50	25.00%	100	10.00%
MR	N	2.5580e-05	-4.592	2.5580e-05	50	25.00%	100	10.00%
MR	N	8.9930e-05	-4.046	8.9930e-05	50	25.00%	100	10.00%
POU2F2	N	1.3080e-04	-3.883	1.3080e-04	50	25.00%	100	10.00%
ZNF225	N	1.3080e-04	-3.883	1.3080e-04	50	25.00%	100	10.00%
POU2F3	N	4.6370e-04	-3.334	4.6370e-04	50	25.00%	100	10.00%
AR	N	4.1560e-03	-2.381	4.1560e-03	50	25.00%	100	10.00%
Six-1	N	8.7120e-03	-2.060	8.7120e-03	50	25.00%	100	10.00%
HOXC11	N	9.3750e-03	-2.028	9.3750e-03	50	25.00%	100	10.00%
MOP4	N	9.3750e-03	-2.028	9.3750e-03	50	25.00%	100	10.00%
AR	N	1.3010e-02	-1.886	1.3010e-02	50	25.00%	100	10.00%
NFATc3	N	1.5330e-02	-1.814	1.5330e-02	50	25.00%	100	10.00%
FOXO1	N	1.5700e-02	-1.804	1.5700e-02	50	25.00%	100	10.00%
BCL-11A	N	2.4920e-02	-1.603	2.4920e-02	50	25.00%	100	10.00%
TEF-3	N	2.6580e-02	-1.575	2.6580e-02	50	25.00%	100	10.00%
AR	N	2.6580e-02	-1.575	2.6580e-02	50	25.00%	100	10.00%
foxl2	N	2.6580e-02	-1.575	2.6580e-02	50	25.00%	100	10.00%
HOXA10	N	2.6580e-02	-1.575	2.6580e-02	50	25.00%	100	10.00%
Oct-2	N	2.6580e-02	-1.575	2.6580e-02	50	25.00%	100	10.00%
NF-YB	N	2.6580e-02	-1.575	2.6580e-02	50	25.00%	100	10.00%
POU2F2	N	2.6580e-02	-1.575	2.6580e-02	50	25.00%	100	10.00%
POU6F1	N	2.6580e-02	-1.575	2.6580e-02	50	25.00%	100	10.00%
HOXD11	N	2.6580e-02	-1.575	2.6580e-02	50	25.00%	100	10.00%
HOXA10	N	2.6580e-02	-1.575	2.6580e-02	50	25.00%	100	10.00%
PR	N	3.1210e-02	-1.506	3.1210e-02	50	25.00%	100	10.00%
LHX4	N	3.3800e-02	-1.471	3.3800e-02	50	25.00%	100	10.00%
Erg	N	3.4720e-02	-1.459	3.4720e-02	50	25.00%	100	10.00%
POU1F1	N	3.4720e-02	-1.459	3.4720e-02	50	25.00%	100	10.00%
MEL1	N	3.4720e-02	-1.459	3.4720e-02	50	25.00%	100	10.00%
Cdx-2	N	3.5200e-02	-1.453	3.5200e-02	50	25.00%	100	10.00%
HIC-1	N	3.5200e-02	-1.453	3.5200e-02	50	25.00%	100	10.00%
Oct-1	N	3.5200e-02	-1.453	3.5200e-02	50	25.00%	100	10.00%
isx	N	4.2480e-02	-1.372	4.2480e-02	50	25.00%	100	10.00%
NR3C1	N	4.2800e-02	-1.369	4.2800e-02	50	25.00%	100	10.00%
FOXO1	N	4.5010e-02	-1.347	4.5010e-02	50	25.00%	100	10.00%
AR	N	4.5010e-02	-1.347	4.5010e-02	50	25.00%	100	10.00%
Alx-4	N	4.9050e-02	-1.309	4.9050e-02	50	25.00%	100	10.00%
