Motif Name	Consensus	P-value	Log P-value	q-value (Benjamini)	Num Target	Pct Target	Num Background	Pct Background
CP2	N	1.6620e-03	-2.779	1.6620e-03	50	25.00%	100	10.00%
ZNF219	N	3.5610e-03	-2.448	3.5610e-03	50	25.00%	100	10.00%
HOXB2:ETV7	N	3.7490e-03	-2.426	3.7490e-03	50	25.00%	100	10.00%
AP-2gamma	N	4.2840e-03	-2.368	4.2840e-03	50	25.00%	100	10.00%
TWIST	N	6.7900e-03	-2.168	6.7900e-03	50	25.00%	100	10.00%
Sp2	N	8.3000e-03	-2.081	8.3000e-03	50	25.00%	100	10.00%
NF1C	N	8.3000e-03	-2.081	8.3000e-03	50	25.00%	100	10.00%
HINFP	N	9.8360e-03	-2.007	9.8360e-03	50	25.00%	100	10.00%
AP-2	N	1.1210e-02	-1.950	1.1210e-02	50	25.00%	100	10.00%
ZNF37A	N	1.2080e-02	-1.918	1.2080e-02	50	25.00%	100	10.00%
ZNF850	N	1.2080e-02	-1.918	1.2080e-02	50	25.00%	100	10.00%
AP2	N	1.2080e-02	-1.918	1.2080e-02	50	25.00%	100	10.00%
AP-2	N	1.2080e-02	-1.918	1.2080e-02	50	25.00%	100	10.00%
EGR1	N	1.2080e-02	-1.918	1.2080e-02	50	25.00%	100	10.00%
RERE	N	1.2080e-02	-1.918	1.2080e-02	50	25.00%	100	10.00%
Egr-1	N	1.2080e-02	-1.918	1.2080e-02	50	25.00%	100	10.00%
Egr-1	N	1.2080e-02	-1.918	1.2080e-02	50	25.00%	100	10.00%
Churchill	N	1.2080e-02	-1.918	1.2080e-02	50	25.00%	100	10.00%
EGR-1	N	1.2610e-02	-1.899	1.2610e-02	50	25.00%	100	10.00%
ZIC4	N	1.2610e-02	-1.899	1.2610e-02	50	25.00%	100	10.00%
p53	N	1.2610e-02	-1.899	1.2610e-02	50	25.00%	100	10.00%
ZNF253	N	1.2740e-02	-1.895	1.2740e-02	50	25.00%	100	10.00%
NF-kappaB	N	1.2840e-02	-1.891	1.2840e-02	50	25.00%	100	10.00%
EGR1	N	1.4690e-02	-1.833	1.4690e-02	50	25.00%	100	10.00%
ZIC4	N	1.4960e-02	-1.825	1.4960e-02	50	25.00%	100	10.00%
ETF	N	1.6810e-02	-1.774	1.6810e-02	50	25.00%	100	10.00%
Egr-1	N	1.6810e-02	-1.774	1.6810e-02	50	25.00%	100	10.00%
HA95	N	1.6810e-02	-1.774	1.6810e-02	50	25.00%	100	10.00%
AP-2gamma	N	1.6810e-02	-1.774	1.6810e-02	50	25.00%	100	10.00%
ZBTB10	N	1.6810e-02	-1.774	1.6810e-02	50	25.00%	100	10.00%
ZXDL	N	1.6810e-02	-1.774	1.6810e-02	50	25.00%	100	10.00%
Egr-1	N	1.6810e-02	-1.774	1.6810e-02	50	25.00%	100	10.00%
