Motif Name	Consensus	P-value	Log P-value	q-value (Benjamini)	Num Target	Pct Target	Num Background	Pct Background
Sall1	N	3.4980e-07	-6.456	3.4980e-07	50	25.00%	100	10.00%
POU2F3	N	3.4980e-07	-6.456	3.4980e-07	50	25.00%	100	10.00%
POU2F2	N	6.2650e-06	-5.203	6.2650e-06	50	25.00%	100	10.00%
MR	N	1.0100e-05	-4.996	1.0100e-05	50	25.00%	100	10.00%
MOP4	N	1.4930e-05	-4.826	1.4930e-05	50	25.00%	100	10.00%
FOXO1	N	3.3720e-05	-4.472	3.3720e-05	50	25.00%	100	10.00%
MR	N	6.5970e-05	-4.181	6.5970e-05	50	25.00%	100	10.00%
POU2F3	N	9.0640e-05	-4.043	9.0640e-05	50	25.00%	100	10.00%
foxo4	N	2.9430e-04	-3.531	2.9430e-04	50	25.00%	100	10.00%
PR	N	3.5200e-04	-3.453	3.5200e-04	50	25.00%	100	10.00%
PR	N	7.4440e-04	-3.128	7.4440e-04	50	25.00%	100	10.00%
CLOCK	N	1.0460e-03	-2.980	1.0460e-03	50	25.00%	100	10.00%
USF2	N	3.4090e-03	-2.467	3.4090e-03	50	25.00%	100	10.00%
PR	N	5.6900e-03	-2.245	5.6900e-03	50	25.00%	100	10.00%
GR	N	5.6900e-03	-2.245	5.6900e-03	50	25.00%	100	10.00%
HOXB2:ETV7	N	6.1870e-03	-2.209	6.1870e-03	50	25.00%	100	10.00%
ZNF225	N	7.1700e-03	-2.144	7.1700e-03	50	25.00%	100	10.00%
PR	N	7.1700e-03	-2.144	7.1700e-03	50	25.00%	100	10.00%
POU3F3	N	9.3220e-03	-2.030	9.3220e-03	50	25.00%	100	10.00%
POU2F2	N	9.3220e-03	-2.030	9.3220e-03	50	25.00%	100	10.00%
Oct-1	N	9.3220e-03	-2.030	9.3220e-03	50	25.00%	100	10.00%
ER71:C/EBPdelta	N	9.3220e-03	-2.030	9.3220e-03	50	25.00%	100	10.00%
foxj3	N	9.3220e-03	-2.030	9.3220e-03	50	25.00%	100	10.00%
hoxa9	N	9.3220e-03	-2.030	9.3220e-03	50	25.00%	100	10.00%
Rev-ErbAaLPHA	N	1.1550e-02	-1.937	1.1550e-02	50	25.00%	100	10.00%
GR	N	1.2250e-02	-1.912	1.2250e-02	50	25.00%	100	10.00%
HOXA10	N	1.2250e-02	-1.912	1.2250e-02	50	25.00%	100	10.00%
AR	N	1.4060e-02	-1.852	1.4060e-02	50	25.00%	100	10.00%
Elk-1:ETV7	N	1.5220e-02	-1.818	1.5220e-02	50	25.00%	100	10.00%
PR	N	1.9080e-02	-1.719	1.9080e-02	50	25.00%	100	10.00%
ZNF660	N	1.9080e-02	-1.719	1.9080e-02	50	25.00%	100	10.00%
znf587	N	1.9080e-02	-1.719	1.9080e-02	50	25.00%	100	10.00%
FOXA2	N	2.0240e-02	-1.694	2.0240e-02	50	25.00%	100	10.00%
znf417	N	2.1670e-02	-1.664	2.1670e-02	50	25.00%	100	10.00%
Sox-10	N	2.2300e-02	-1.652	2.2300e-02	50	25.00%	100	10.00%
PARP	N	2.8170e-02	-1.550	2.8170e-02	50	25.00%	100	10.00%
HOXD11	N	2.8170e-02	-1.550	2.8170e-02	50	25.00%	100	10.00%
POU3F1	N	3.1210e-02	-1.506	3.1210e-02	50	25.00%	100	10.00%
