Motif Name	Consensus	P-value	Log P-value	q-value (Benjamini)	Num Target	Pct Target	Num Background	Pct Background
Sall1	N	8.8680e-04	-3.052	8.8680e-04	50	25.00%	100	10.00%
POU2F2	N	2.1350e-03	-2.671	2.1350e-03	50	25.00%	100	10.00%
POU2F3	N	5.9440e-03	-2.226	5.9440e-03	50	25.00%	100	10.00%
ZNF647	N	5.9440e-03	-2.226	5.9440e-03	50	25.00%	100	10.00%
ZNF225	N	6.2390e-03	-2.205	6.2390e-03	50	25.00%	100	10.00%
MR	N	1.1180e-02	-1.952	1.1180e-02	50	25.00%	100	10.00%
MR	N	1.7360e-02	-1.760	1.7360e-02	50	25.00%	100	10.00%
AR	N	2.2580e-02	-1.646	2.2580e-02	50	25.00%	100	10.00%
AR	N	4.1810e-02	-1.379	4.1810e-02	50	25.00%	100	10.00%
HOXA10	N	4.1810e-02	-1.379	4.1810e-02	50	25.00%	100	10.00%
Six-1	N	4.1810e-02	-1.379	4.1810e-02	50	25.00%	100	10.00%
PR	N	4.1810e-02	-1.379	4.1810e-02	50	25.00%	100	10.00%
HOXA10	N	4.1810e-02	-1.379	4.1810e-02	50	25.00%	100	10.00%
MOP4	N	4.1810e-02	-1.379	4.1810e-02	50	25.00%	100	10.00%
POU2F2	N	4.1810e-02	-1.379	4.1810e-02	50	25.00%	100	10.00%
HOXC11	N	4.1810e-02	-1.379	4.1810e-02	50	25.00%	100	10.00%
FOXO1	N	4.5530e-02	-1.342	4.5530e-02	50	25.00%	100	10.00%
Churchill	N	4.9610e-02	-1.304	4.9610e-02	50	25.00%	100	10.00%
