Motif Name	Consensus	P-value	Log P-value	q-value (Benjamini)	Num Target	Pct Target	Num Background	Pct Background
Sall1	N	3.5400e-09	-8.451	3.5400e-09	50	25.00%	100	10.00%
MOP4	N	2.0780e-06	-5.682	2.0780e-06	50	25.00%	100	10.00%
AR	N	2.2000e-04	-3.658	2.2000e-04	50	25.00%	100	10.00%
ZNF225	N	2.2000e-04	-3.658	2.2000e-04	50	25.00%	100	10.00%
FOXO1	N	2.6670e-04	-3.574	2.6670e-04	50	25.00%	100	10.00%
MR	N	3.2670e-04	-3.486	3.2670e-04	50	25.00%	100	10.00%
HNF-4alpha	N	4.9260e-04	-3.308	4.9260e-04	50	25.00%	100	10.00%
MR	N	5.9890e-04	-3.223	5.9890e-04	50	25.00%	100	10.00%
Six-1	N	7.4960e-04	-3.125	7.4960e-04	50	25.00%	100	10.00%
foxo4	N	1.2420e-03	-2.906	1.2420e-03	50	25.00%	100	10.00%
PR	N	1.5430e-03	-2.812	1.5430e-03	50	25.00%	100	10.00%
ZNF647	N	1.5960e-03	-2.797	1.5960e-03	50	25.00%	100	10.00%
SP8	N	1.8200e-03	-2.740	1.8200e-03	50	25.00%	100	10.00%
AR	N	2.3280e-03	-2.633	2.3280e-03	50	25.00%	100	10.00%
PR	N	2.3280e-03	-2.633	2.3280e-03	50	25.00%	100	10.00%
Fli-1	N	2.7710e-03	-2.557	2.7710e-03	50	25.00%	100	10.00%
Erg	N	2.7710e-03	-2.557	2.7710e-03	50	25.00%	100	10.00%
POU2F3	N	3.4230e-03	-2.466	3.4230e-03	50	25.00%	100	10.00%
AR	N	4.4770e-03	-2.349	4.4770e-03	50	25.00%	100	10.00%
KLF14	N	5.5300e-03	-2.257	5.5300e-03	50	25.00%	100	10.00%
POU2F2	N	5.5300e-03	-2.257	5.5300e-03	50	25.00%	100	10.00%
AP-2rep	N	5.5300e-03	-2.257	5.5300e-03	50	25.00%	100	10.00%
CPBP	N	5.5300e-03	-2.257	5.5300e-03	50	25.00%	100	10.00%
AR	N	5.9800e-03	-2.223	5.9800e-03	50	25.00%	100	10.00%
AR	N	7.8570e-03	-2.105	7.8570e-03	50	25.00%	100	10.00%
TTF-1	N	8.9450e-03	-2.048	8.9450e-03	50	25.00%	100	10.00%
E2A	N	9.1770e-03	-2.037	9.1770e-03	50	25.00%	100	10.00%
HIC-1	N	1.1650e-02	-1.934	1.1650e-02	50	25.00%	100	10.00%
Six-2	N	1.2930e-02	-1.888	1.2930e-02	50	25.00%	100	10.00%
MTF-1	N	1.2930e-02	-1.888	1.2930e-02	50	25.00%	100	10.00%
Six-1	N	1.4090e-02	-1.851	1.4090e-02	50	25.00%	100	10.00%
SAP-1a	N	1.5190e-02	-1.818	1.5190e-02	50	25.00%	100	10.00%
ER71	N	1.5190e-02	-1.818	1.5190e-02	50	25.00%	100	10.00%
Pit-1	N	1.5240e-02	-1.817	1.5240e-02	50	25.00%	100	10.00%
RelA-p65	N	1.5240e-02	-1.817	1.5240e-02	50	25.00%	100	10.00%
CREB1	N	1.6010e-02	-1.796	1.6010e-02	50	25.00%	100	10.00%
BCL-11A	N	1.8120e-02	-1.742	1.8120e-02	50	25.00%	100	10.00%
PR	N	2.0250e-02	-1.694	2.0250e-02	50	25.00%	100	10.00%
JunD	N	2.2820e-02	-1.642	2.2820e-02	50	25.00%	100	10.00%
Nkx3-2	N	2.5910e-02	-1.587	2.5910e-02	50	25.00%	100	10.00%
Rev-ErbAaLPHA	N	2.5910e-02	-1.587	2.5910e-02	50	25.00%	100	10.00%
PEA3	N	2.6440e-02	-1.578	2.6440e-02	50	25.00%	100	10.00%
CREB1	N	2.6890e-02	-1.570	2.6890e-02	50	25.00%	100	10.00%
c-Ets-2	N	2.7120e-02	-1.567	2.7120e-02	50	25.00%	100	10.00%
Elk-1	N	2.7120e-02	-1.567	2.7120e-02	50	25.00%	100	10.00%
foxj3	N	2.7120e-02	-1.567	2.7120e-02	50	25.00%	100	10.00%
PR	N	3.8510e-02	-1.414	3.8510e-02	50	25.00%	100	10.00%
ZNF254	N	3.8510e-02	-1.414	3.8510e-02	50	25.00%	100	10.00%
AR	N	3.8510e-02	-1.414	3.8510e-02	50	25.00%	100	10.00%
nerf	N	3.8510e-02	-1.414	3.8510e-02	50	25.00%	100	10.00%
PR	N	3.9160e-02	-1.407	3.9160e-02	50	25.00%	100	10.00%
foxl2	N	3.9160e-02	-1.407	3.9160e-02	50	25.00%	100	10.00%
ATF-2	N	3.9160e-02	-1.407	3.9160e-02	50	25.00%	100	10.00%
CLOCKBMAL	N	4.0940e-02	-1.388	4.0940e-02	50	25.00%	100	10.00%
TEF-3:Max	N	4.1710e-02	-1.380	4.1710e-02	50	25.00%	100	10.00%
NF-KAPPAB1	N	4.2530e-02	-1.371	4.2530e-02	50	25.00%	100	10.00%
ZNF511	N	4.4810e-02	-1.349	4.4810e-02	50	25.00%	100	10.00%
GR	N	4.5760e-02	-1.340	4.5760e-02	50	25.00%	100	10.00%
meis1:TBR2	N	4.5760e-02	-1.340	4.5760e-02	50	25.00%	100	10.00%
CLOCK:BMAL	N	4.8750e-02	-1.312	4.8750e-02	50	25.00%	100	10.00%
ATF2	N	4.8750e-02	-1.312	4.8750e-02	50	25.00%	100	10.00%
HOXD13	N	4.8750e-02	-1.312	4.8750e-02	50	25.00%	100	10.00%
HOXB6	N	4.8870e-02	-1.311	4.8870e-02	50	25.00%	100	10.00%
REST	N	4.8870e-02	-1.311	4.8870e-02	50	25.00%	100	10.00%
