Motif Name	Consensus	P-value	Log P-value	q-value (Benjamini)	Num Target	Pct Target	Num Background	Pct Background
Sall1	N	3.7130e-08	-7.430	3.7130e-08	50	25.00%	100	10.00%
MOP4	N	3.6730e-05	-4.435	3.6730e-05	50	25.00%	100	10.00%
ZNF225	N	7.7090e-05	-4.113	7.7090e-05	50	25.00%	100	10.00%
POU2F2	N	5.3010e-04	-3.276	5.3010e-04	50	25.00%	100	10.00%
POU2F3	N	5.3010e-04	-3.276	5.3010e-04	50	25.00%	100	10.00%
FOXO1	N	5.5880e-04	-3.253	5.5880e-04	50	25.00%	100	10.00%
MR	N	5.5880e-04	-3.253	5.5880e-04	50	25.00%	100	10.00%
MR	N	1.4060e-03	-2.852	1.4060e-03	50	25.00%	100	10.00%
AR	N	1.4060e-03	-2.852	1.4060e-03	50	25.00%	100	10.00%
Six-1	N	2.4640e-03	-2.608	2.4640e-03	50	25.00%	100	10.00%
PR	N	3.6040e-03	-2.443	3.6040e-03	50	25.00%	100	10.00%
ZNF647	N	3.6040e-03	-2.443	3.6040e-03	50	25.00%	100	10.00%
HNF-4alpha	N	4.0090e-03	-2.397	4.0090e-03	50	25.00%	100	10.00%
AR	N	4.7630e-03	-2.322	4.7630e-03	50	25.00%	100	10.00%
AR	N	4.8700e-03	-2.312	4.8700e-03	50	25.00%	100	10.00%
Nkx3-2	N	6.0770e-03	-2.216	6.0770e-03	50	25.00%	100	10.00%
Erg	N	6.1950e-03	-2.208	6.1950e-03	50	25.00%	100	10.00%
AP-2rep	N	1.5430e-02	-1.812	1.5430e-02	50	25.00%	100	10.00%
CPBP	N	1.5430e-02	-1.812	1.5430e-02	50	25.00%	100	10.00%
SP8	N	1.7630e-02	-1.754	1.7630e-02	50	25.00%	100	10.00%
foxo4	N	1.8550e-02	-1.732	1.8550e-02	50	25.00%	100	10.00%
Fli-1	N	2.4150e-02	-1.617	2.4150e-02	50	25.00%	100	10.00%
NR3C1	N	2.4150e-02	-1.617	2.4150e-02	50	25.00%	100	10.00%
Churchill	N	2.5650e-02	-1.591	2.5650e-02	50	25.00%	100	10.00%
PR	N	2.8170e-02	-1.550	2.8170e-02	50	25.00%	100	10.00%
KLF14	N	3.2000e-02	-1.495	3.2000e-02	50	25.00%	100	10.00%
AR	N	3.2000e-02	-1.495	3.2000e-02	50	25.00%	100	10.00%
c-Krox	N	3.2000e-02	-1.495	3.2000e-02	50	25.00%	100	10.00%
USF2	N	3.3170e-02	-1.479	3.3170e-02	50	25.00%	100	10.00%
Erm	N	3.3980e-02	-1.469	3.3980e-02	50	25.00%	100	10.00%
AR	N	3.5640e-02	-1.448	3.5640e-02	50	25.00%	100	10.00%
HIC-1	N	3.7790e-02	-1.423	3.7790e-02	50	25.00%	100	10.00%
Six-2	N	3.7830e-02	-1.422	3.7830e-02	50	25.00%	100	10.00%
Pit-1	N	4.8700e-02	-1.312	4.8700e-02	50	25.00%	100	10.00%
CREB1	N	4.8700e-02	-1.312	4.8700e-02	50	25.00%	100	10.00%
E2A	N	4.8700e-02	-1.312	4.8700e-02	50	25.00%	100	10.00%
POU2F2	N	4.8700e-02	-1.312	4.8700e-02	50	25.00%	100	10.00%
CLOCK:BMAL	N	4.8700e-02	-1.312	4.8700e-02	50	25.00%	100	10.00%
Rev-ErbAaLPHA	N	4.9940e-02	-1.302	4.9940e-02	50	25.00%	100	10.00%
