Motif Name	Consensus	P-value	Log P-value	q-value (Benjamini)	Num Target	Pct Target	Num Background	Pct Background
Sall1	N	5.1910e-09	-8.285	5.1910e-09	50	25.00%	100	10.00%
MOP4	N	5.0320e-06	-5.298	5.0320e-06	50	25.00%	100	10.00%
FOXO1	N	1.1180e-04	-3.952	1.1180e-04	50	25.00%	100	10.00%
MR	N	1.1180e-04	-3.952	1.1180e-04	50	25.00%	100	10.00%
MR	N	1.9560e-04	-3.709	1.9560e-04	50	25.00%	100	10.00%
AR	N	1.9560e-04	-3.709	1.9560e-04	50	25.00%	100	10.00%
ZNF225	N	1.9560e-04	-3.709	1.9560e-04	50	25.00%	100	10.00%
HNF-4alpha	N	6.7780e-04	-3.169	6.7780e-04	50	25.00%	100	10.00%
foxo4	N	7.5200e-04	-3.124	7.5200e-04	50	25.00%	100	10.00%
Six-1	N	1.0540e-03	-2.977	1.0540e-03	50	25.00%	100	10.00%
ZNF647	N	1.9790e-03	-2.704	1.9790e-03	50	25.00%	100	10.00%
Fli-1	N	2.3280e-03	-2.633	2.3280e-03	50	25.00%	100	10.00%
PR	N	2.6600e-03	-2.575	2.6600e-03	50	25.00%	100	10.00%
SP8	N	2.6600e-03	-2.575	2.6600e-03	50	25.00%	100	10.00%
AR	N	3.0930e-03	-2.510	3.0930e-03	50	25.00%	100	10.00%
PR	N	3.4370e-03	-2.464	3.4370e-03	50	25.00%	100	10.00%
POU2F3	N	3.7840e-03	-2.422	3.7840e-03	50	25.00%	100	10.00%
Erg	N	3.7840e-03	-2.422	3.7840e-03	50	25.00%	100	10.00%
AR	N	6.2920e-03	-2.201	6.2920e-03	50	25.00%	100	10.00%
AR	N	7.6370e-03	-2.117	7.6370e-03	50	25.00%	100	10.00%
AP-2rep	N	8.2850e-03	-2.082	8.2850e-03	50	25.00%	100	10.00%
CPBP	N	8.2850e-03	-2.082	8.2850e-03	50	25.00%	100	10.00%
AR	N	8.4330e-03	-2.074	8.4330e-03	50	25.00%	100	10.00%
KLF14	N	8.4330e-03	-2.074	8.4330e-03	50	25.00%	100	10.00%
Pit-1	N	1.0080e-02	-1.997	1.0080e-02	50	25.00%	100	10.00%
POU2F2	N	1.1110e-02	-1.954	1.1110e-02	50	25.00%	100	10.00%
TTF-1	N	1.2700e-02	-1.896	1.2700e-02	50	25.00%	100	10.00%
E2A	N	1.2700e-02	-1.896	1.2700e-02	50	25.00%	100	10.00%
HIC-1	N	2.0810e-02	-1.682	2.0810e-02	50	25.00%	100	10.00%
ER71	N	2.1240e-02	-1.673	2.1240e-02	50	25.00%	100	10.00%
SAP-1a	N	2.1240e-02	-1.673	2.1240e-02	50	25.00%	100	10.00%
MTF-1	N	2.1240e-02	-1.673	2.1240e-02	50	25.00%	100	10.00%
