motif	fisher_p_blood	fisher_p_liver	fisher_p_lymph	fisher_p_vitro	fisher_p_vivo	fisher_p_all	best_pval	best_qval	best_condition	mean_fold	max_fold	n_conditions_tested	fisher_p_best_pair	fisher_best_pair	fisher_q_best_pair
ERb	0.9698850818634569	0.9698850818634569	0.006261928582897101	0.18959868843486136	0.7410362271866149	0.4297887394904905	0.001	0.0516	late_vitro_lymph	1.275974098744257	2.9072847682119205	18	0.006261928582897101	lymph	1.0
Hoxa10	0.02750727597688997	0.9698850818634569	0.6848673126214759	0.42828000614632517	0.42828000614632517	0.429788739490491	0.01	0.9166	late_vivo_blood	1.1650801461077747	1.550578034682081	18	0.02750727597688997	blood	1.0
Tcfcp2l1	0.02750727597688997	1.0	0.6848673126214759	0.42828000614632517	0.7410362271866149	0.6482766213474064	0.001	0.2935	late_vitro_blood	1.4843684393230085	3.896551724137931	18	0.02750727597688997	blood	1.0
Sox3	0.02750727597688997	0.9698850818634569	0.10350143927804016	0.02061266860252952	0.7410362271866149	0.12172224528679378	0.001	0.2729	early_vitro_lymph	1.049453963125413	1.510850439882698	18	0.02750727597688997	blood	1.0
LHX9	0.10350143927804016	1.0	1.0	0.9546691413265357	0.9546691413265357	0.9933442530200104	0.01	1.0	mid_vivo_blood	1.0441216246678409	1.3661588683351469	18	0.10350143927804016	blood	1.0
GATA3	1.0	0.10350143927804016	1.0	0.9546691413265357	0.9546691413265357	0.9933442530200104	0.1	1.0	mid_vitro_liver	1.4679438653828614	2.1881188118811883	18	0.10350143927804016	liver	1.0
NFkB-p65-Rel	1.0	0.6848673126214759	0.10350143927804016	0.9546691413265357	0.42828000614632517	0.840088681631872	0.01	0.7204	late_vitro_lymph	1.7863328076676703	4.571428571428571	18	0.10350143927804016	lymph	1.0
ZBED2	0.9698850818634569	0.9698850818634569	0.10350143927804016	0.9546691413265357	0.42828000614632517	0.840088681631872	0.01	1.0	early_vitro_lymph	1.233111230814783	2.9829059829059834	18	0.10350143927804016	lymph	1.0
Brn2	0.10350143927804016	1.0	1.0	0.9546691413265357	0.9546691413265357	0.9933442530200104	0.1	1.0	early_vivo_blood	1.1860410378731878	2.191176470588235	18	0.10350143927804016	blood	1.0
AR-halfsite	0.10350143927804016	0.9698850818634569	1.0	0.9546691413265357	0.7410362271866149	0.953852266883397	0.01	0.9166	late_vivo_blood	1.0327194300993092	1.226980728051392	18	0.10350143927804016	blood	1.0
