k	ablation_type	delta_mean	delta_std	seed
5	targeted	4.973871440887451	6.250962176774219	-1
5	top_activation	6.731421276926994	7.226808485765305	-1
5	random	4.60787765905261	6.803486629569183	0
5	random	4.35084229722619	6.088051987905402	1
5	random	4.408998450487852	6.150515718527765	2
5	random	4.309435490518808	6.037159803998547	3
5	random	4.579954693764448	6.794091815475478	4
10	targeted	8.114068894684316	8.91988776406008	-1
10	top_activation	22.712365408837794	17.63831453071345	-1
10	random	4.573202016502619	6.4059618996224446	0
10	random	4.46863245382905	6.151024919559202	1
10	random	4.515900601446629	6.297122926116045	2
10	random	4.3629299987852574	6.1622996097619644	3
10	random	4.469527179896832	6.270679583432656	4
25	targeted	12.360929126143455	8.752040893048546	-1
25	top_activation	26.794998949915172	18.112558076038635	-1
25	random	4.863622328191996	6.901296139373486	0
25	random	4.552432485371828	6.498597802036811	1
25	random	4.606507767885923	6.3477639418118335	2
25	random	4.334150536805391	5.918996498019614	3
25	random	4.277960213273763	6.175197620218735	4
50	targeted	12.741883313655853	9.924916663499328	-1
50	top_activation	14.624128796756267	16.427038569173693	-1
50	random	4.72294884160161	6.685695282127187	0
50	random	4.599472917169333	6.231594034537157	1
50	random	5.218551995903254	7.750584561034883	2
50	random	4.918413730412722	6.92779557240024	3
50	random	4.545733689963818	6.159369163947115	4
100	targeted	13.602704513669014	9.886557893151448	-1
100	top_activation	28.139592723846434	8.399655227726058	-1
100	random	5.216321031451225	7.196202088039594	0
100	random	4.785760527402163	6.075647199555332	1
100	random	4.855267775803805	6.386852438156446	2
100	random	5.490346693247557	7.873552313597889	3
100	random	5.608550366312265	8.54821046645088	4
