model	layer	pair	n_significant	pct_significant	max_abs_cds	d_latent
enformer	early	blood	5	0.081	1470.1914	6144
enformer	early	liver	0	0.0	143.6836	6144
enformer	early	lymph	0	0.0	197.4766	6144
enformer	mid	blood	4	0.065	2065.8467	6144
enformer	mid	liver	0	0.0	401.8198	6144
enformer	mid	lymph	1	0.016	759.6886	6144
enformer	late	blood	63	1.025	2069.5781	6144
enformer	late	liver	0	0.0	209.7422	6144
enformer	late	lymph	0	0.0	496.6016	6144
hyenadna	early	blood	30	2.93	0.0443	1024
hyenadna	early	liver	0	0.0	0.0141	1024
hyenadna	early	lymph	0	0.0	0.0137	1024
hyenadna	mid	blood	32	3.125	0.1092	1024
hyenadna	mid	liver	0	0.0	0.0439	1024
hyenadna	mid	lymph	0	0.0	0.0324	1024
hyenadna	late	blood	56	5.469	0.329	1024
hyenadna	late	liver	0	0.0	0.1917	1024
hyenadna	late	lymph	0	0.0	0.0866	1024
nucleotide_transformer	early	blood	20	0.391	32.2341	5120
nucleotide_transformer	early	liver	0	0.0	6.6285	5120
nucleotide_transformer	early	lymph	0	0.0	11.8106	5120
nucleotide_transformer	mid	blood	68	1.328	52.9607	5120
nucleotide_transformer	mid	liver	0	0.0	7.4693	5120
nucleotide_transformer	mid	lymph	0	0.0	5.9679	5120
nucleotide_transformer	late	blood	23	0.449	26.2073	5120
nucleotide_transformer	late	liver	0	0.0	10.9219	5120
nucleotide_transformer	late	lymph	0	0.0	5.3593	5120
