feature_id	cds	vitro_mean	vivo_mean	t_stat	pval	pval_bonf	significant	pair	layer	model
2526	1470.1914	56123.51	54653.32	14.848667	0.0	0.0	True	blood	early	enformer
3078	-359.62988	8822.484	9182.114	-5.4869657	5.6078676e-08	0.00034454738	True	blood	early	enformer
2832	-363.68262	8995.679	9359.361	-5.345338	1.1997022e-07	0.00073709706	True	blood	early	enformer
384	-348.2295	8922.448	9270.678	-5.239957	2.093004e-07	0.0012859416	True	blood	early	enformer
4904	-308.5879	8911.222	9219.81	-4.756052	2.3708494e-06	0.014566499	True	blood	early	enformer
1632	-208.20312	8149.2607	8357.464	-3.9934685	7.17467e-05	0.4408117	False	blood	early	enformer
398	-216.04688	8665.331	8881.378	-3.7244973	0.00021090051	1.0	False	blood	early	enformer
1690	15.377823	155.74721	140.36938	2.9443371	0.003334047	1.0	False	blood	early	enformer
3993	14.450027	164.81462	150.3646	2.8088872	0.0050974563	1.0	False	blood	early	enformer
1485	14.356018	152.84381	138.4878	2.772739	0.0056932657	1.0	False	blood	early	enformer
1815	13.632492	141.69023	128.05774	2.7400095	0.006287441	1.0	False	blood	early	enformer
1607	13.485825	194.38356	180.89774	2.654718	0.008101947	1.0	False	blood	early	enformer
346	13.028137	143.08441	130.05627	2.642768	0.008390839	1.0	False	blood	early	enformer
5910	13.290909	147.43904	134.14813	2.587526	0.00984987	1.0	False	blood	early	enformer
3624	13.098389	146.6913	133.59291	2.5637093	0.010545825	1.0	False	blood	early	enformer
444	12.745132	264.4873	251.74217	2.5493708	0.01098675	1.0	False	blood	early	enformer
1630	12.74176	143.6716	130.92984	2.5299146	0.011608684	1.0	False	blood	early	enformer
2918	12.290741	185.18199	172.89125	2.4006596	0.016602514	1.0	False	blood	early	enformer
1270	11.234756	143.63727	132.40251	2.2627738	0.02392807	1.0	False	blood	early	enformer
2901	10.006477	121.77532	111.768845	2.252914	0.024548946	1.0	False	blood	early	enformer
645	9.666801	130.13904	120.47224	2.0332754	0.042370938	1.0	False	blood	early	enformer
3167	45.852245	48.12881	2.2765644	1.9013397	0.057781793	1.0	False	blood	early	enformer
6017	7.99942	124.29119	116.29177	1.7586288	0.0790411	1.0	False	blood	early	enformer
3003	7.824478	122.58178	114.7573	1.7101468	0.08764544	1.0	False	blood	early	enformer
1939	1.0559325	3.2636957	2.2077632	1.4691393	0.14224862	1.0	False	blood	early	enformer
4542	0.7568171	2.0112967	1.2544796	1.4326389	0.152416	1.0	False	blood	early	enformer
2012	0.77580845	2.1322274	1.356419	1.393261	0.16399248	1.0	False	blood	early	enformer
1321	0.71669626	2.00926	1.2925637	1.3596257	0.17439133	1.0	False	blood	early	enformer
3696	0.7629471	2.2520692	1.4891222	1.3405446	0.18050855	1.0	False	blood	early	enformer
4817	-3.3303185	33.729794	37.060112	-1.3154173	0.18876252	1.0	False	blood	early	enformer
3686	-3.527073	38.182594	41.709667	-1.313605	0.18937169	1.0	False	blood	early	enformer
3851	0.6747441	1.8662852	1.1915411	1.3034363	0.19286418	1.0	False	blood	early	enformer
5055	-3.507164	40.49963	44.006794	-1.2693781	0.20469165	1.0	False	blood	early	enformer
2876	0.8607106	2.9154565	2.054746	1.2684171	0.20507102	1.0	False	blood	early	enformer
6020	1.0774028	4.085537	3.0081341	1.265491	0.20611477	1.0	False	blood	early	enformer
3095	-3.413353	38.477985	41.89134	-1.2626377	0.20710318	1.0	False	blood	early	enformer
5521	0.71916044	2.2573607	1.5382003	1.259472	0.20828149	1.0	False	blood	early	enformer
1999	-3.3304024	35.913826	39.24423	-1.2588918	0.20845379	1.0	False	blood	early	enformer
3792	0.8263562	2.8465014	2.0201452	1.2469394	0.21283647	1.0	False	blood	early	enformer
4910	-3.2187157	35.903187	39.121902	-1.2295282	0.21925253	1.0	False	blood	early	enformer
343	5.050453	105.03227	99.98182	1.2275442	0.21999723	1.0	False	blood	early	enformer
4803	0.89451694	3.2894938	2.3949769	1.2206447	0.222628	1.0	False	blood	early	enformer
2157	0.31264877	0.54393446	0.23128568	1.2136385	0.22533084	1.0	False	blood	early	enformer
2169	-3.1530495	35.51072	38.66377	-1.2101506	0.2265955	1.0	False	blood	early	enformer
620	0.2957505	0.51924825	0.22349776	1.1852245	0.23636599	1.0	False	blood	early	enformer
93	0.29805005	0.52421325	0.2261632	1.1840398	0.23683392	1.0	False	blood	early	enformer
