feature_id	cds	vitro_mean	vivo_mean	t_stat	pval	pval_bonf	significant	pair	layer	model
2526	143.6836	54704.203	54560.52	2.1973157	0.028156787	1.0	False	liver	early	enformer
2918	-10.827454	149.49278	160.32024	-2.0343213	0.04215638	1.0	False	liver	early	enformer
1607	-10.692902	157.5744	168.2673	-2.0243404	0.043174084	1.0	False	liver	early	enformer
444	-10.2934265	228.66006	238.95349	-1.9943738	0.046354275	1.0	False	liver	early	enformer
3993	-9.903313	127.9065	137.80981	-1.8630018	0.06272471	1.0	False	liver	early	enformer
3463	-7.2363205	79.82649	87.06281	-1.8337	0.06695823	1.0	False	liver	early	enformer
343	-7.4653244	83.549576	91.0149	-1.830845	0.06738454	1.0	False	liver	early	enformer
6017	-8.371536	97.59909	105.97063	-1.8267138	0.06800682	1.0	False	liver	early	enformer
1270	-9.216133	111.62482	120.84095	-1.8153851	0.06973132	1.0	False	liver	early	enformer
3003	-8.316185	96.13365	104.44984	-1.8124647	0.07017976	1.0	False	liver	early	enformer
86	-7.13752	79.53844	86.67596	-1.8066261	0.0710831	1.0	False	liver	early	enformer
2327	-7.008362	77.24493	84.25329	-1.7965153	0.07267483	1.0	False	liver	early	enformer
346	-8.960159	109.55805	118.51821	-1.7858634	0.074391074	1.0	False	liver	early	enformer
2901	-7.838295	93.72948	101.56777	-1.7712408	0.07679045	1.0	False	liver	early	enformer
1625	-6.7839737	75.67316	82.45713	-1.7655995	0.07772842	1.0	False	liver	early	enformer
2196	-6.5446396	71.90707	78.451706	-1.7585433	0.078920476	1.0	False	liver	early	enformer
645	-8.214317	101.26428	109.4786	-1.7180512	0.086062066	1.0	False	liver	early	enformer
1690	-9.153954	118.8096	127.963554	-1.7093273	0.0876674	1.0	False	liver	early	enformer
1485	-9.017494	117.259056	126.27655	-1.6988077	0.089632966	1.0	False	liver	early	enformer
3624	-8.774445	112.95102	121.725464	-1.6876217	0.09176204	1.0	False	liver	early	enformer
4809	-5.9520264	65.24073	71.19276	-1.6851656	0.09222576	1.0	False	liver	early	enformer
1630	-8.582291	110.62687	119.20916	-1.6780083	0.093624145	1.0	False	liver	early	enformer
5910	-8.777573	113.373886	122.15146	-1.6776464	0.09369482	1.0	False	liver	early	enformer
1198	-5.5648003	58.931583	64.49638	-1.6730014	0.094594635	1.0	False	liver	early	enformer
1815	-8.354897	107.983154	116.33805	-1.6650306	0.09618595	1.0	False	liver	early	enformer
2475	-5.7241096	62.937023	68.66113	-1.6622831	0.096725136	1.0	False	liver	early	enformer
26	-5.6511497	61.71908	67.37023	-1.6599641	0.097190626	1.0	False	liver	early	enformer
1871	-5.9604263	67.20736	73.167786	-1.6472594	0.09977667	1.0	False	liver	early	enformer
948	-5.492729	59.02513	64.51786	-1.645564	0.100122385	1.0	False	liver	early	enformer
5224	-5.3035393	56.636974	61.940514	-1.643975	0.10044983	1.0	False	liver	early	enformer
906	-5.398327	57.248257	62.646584	-1.6412214	0.101019844	1.0	False	liver	early	enformer
301	-5.2410927	55.99085	61.23194	-1.6332594	0.10268257	1.0	False	liver	early	enformer
545	-6.109123	71.3277	77.43682	-1.6279798	0.103802584	1.0	False	liver	early	enformer
5856	-5.0396194	55.73067	60.77029	-1.546548	0.12224158	1.0	False	liver	early	enformer
2479	-4.5363426	52.746105	57.282448	-1.430461	0.15284914	1.0	False	liver	early	enformer
5476	-4.272129	51.39161	55.66374	-1.3690484	0.17124438	1.0	False	liver	early	enformer
3053	-4.2942886	51.60677	55.90106	-1.3665152	0.17203704	1.0	False	liver	early	enformer
4047	-4.066345	49.05843	53.124775	-1.3348888	0.18216865	1.0	False	liver	early	enformer
4488	-4.034111	47.971222	52.005333	-1.3334666	0.18263383	1.0	False	liver	early	enformer
5499	-4.066334	50.509937	54.57627	-1.3239266	0.18578285	1.0	False	liver	early	enformer
5884	-4.010376	49.178177	53.188553	-1.3155068	0.1885939	1.0	False	liver	early	enformer
3332	-3.969677	48.624107	52.593784	-1.3041661	0.1924295	1.0	False	liver	early	enformer
1295	-3.9440575	48.466637	52.410694	-1.3040179	0.19247991	1.0	False	liver	early	enformer
