feature_id	cds	vitro_mean	vivo_mean	t_stat	pval	pval_bonf	significant	pair	layer	model
2526	-197.47656	54608.38	54805.855	-2.712255	0.0068633994	1.0	False	lymph	early	enformer
2035	0.052210897	0.052210897	0.0	1.3944947	0.1634006	1.0	False	lymph	early	enformer
4651	0.050625596	0.050625596	0.0	1.3925976	0.16397375	1.0	False	lymph	early	enformer
4040	0.05015079	0.05015079	0.0	1.3925099	0.16400024	1.0	False	lymph	early	enformer
3682	0.053958617	0.053958617	0.0	1.3924071	0.16403139	1.0	False	lymph	early	enformer
1837	0.052236035	0.052236035	0.0	1.3918347	0.16420461	1.0	False	lymph	early	enformer
1834	0.048923384	0.048923384	0.0	1.3901978	0.16470087	1.0	False	lymph	early	enformer
644	0.052052226	0.052052226	0.0	1.3892305	0.16499466	1.0	False	lymph	early	enformer
191	0.04891705	0.04891705	0.0	1.3882397	0.16529599	1.0	False	lymph	early	enformer
1127	0.0535548	0.0535548	0.0	1.3878984	0.16539986	1.0	False	lymph	early	enformer
1209	0.053996272	0.053996272	0.0	1.386966	0.16568398	1.0	False	lymph	early	enformer
1518	0.04757628	0.04757628	0.0	1.3866057	0.16579387	1.0	False	lymph	early	enformer
6122	0.045260776	0.045260776	0.0	1.3863968	0.1658576	1.0	False	lymph	early	enformer
1696	0.043308053	0.043308053	0.0	1.3836068	0.16671054	1.0	False	lymph	early	enformer
5741	0.042889427	0.042889427	0.0	1.3823019	0.16711058	1.0	False	lymph	early	enformer
4610	0.04809102	0.04809102	0.0	1.380953	0.16752486	1.0	False	lymph	early	enformer
4299	0.05260179	0.05260179	0.0	1.3808059	0.16757007	1.0	False	lymph	early	enformer
5711	0.04528793	0.04528793	0.0	1.3806218	0.16762671	1.0	False	lymph	early	enformer
3289	0.04377752	0.04377752	0.0	1.3804957	0.1676655	1.0	False	lymph	early	enformer
4740	0.044445388	0.044445388	0.0	1.3800706	0.16779631	1.0	False	lymph	early	enformer
5432	0.04511666	0.04511666	0.0	1.3797566	0.16789298	1.0	False	lymph	early	enformer
2991	0.045107115	0.045107115	0.0	1.3786217	0.16824271	1.0	False	lymph	early	enformer
3473	0.041426122	0.041426122	0.0	1.3778278	0.16848768	1.0	False	lymph	early	enformer
919	0.04430901	0.04430901	0.0	1.3773917	0.16862237	1.0	False	lymph	early	enformer
5096	0.042946532	0.042946532	0.0	1.3757886	0.1691182	1.0	False	lymph	early	enformer
2533	0.055407733	0.055407733	0.0	1.3744992	0.16951779	1.0	False	lymph	early	enformer
2464	0.05113617	0.05113617	0.0	1.3733386	0.16987804	1.0	False	lymph	early	enformer
2215	0.04111598	0.04111598	0.0	1.3724855	0.1701432	1.0	False	lymph	early	enformer
4649	0.04152925	0.04152925	0.0	1.3696339	0.17103185	1.0	False	lymph	early	enformer
1778	0.042715102	0.042715102	0.0	1.3646438	0.1725953	1.0	False	lymph	early	enformer
1495	0.044686254	0.044686254	0.0	1.3615979	0.17355487	1.0	False	lymph	early	enformer
4979	0.043662813	0.043662813	0.0	1.3611798	0.1736869	1.0	False	lymph	early	enformer
455	0.04237719	0.04237719	0.0	1.3582641	0.17460968	1.0	False	lymph	early	enformer
3849	-1.0802715	3.0480955	4.128367	-1.1353887	0.25669932	1.0	False	lymph	early	enformer
2013	-0.8093951	2.0026112	2.8120062	-1.1066848	0.2689085	1.0	False	lymph	early	enformer
3243	-1.0308349	2.95924	3.9900749	-1.0919591	0.27532375	1.0	False	lymph	early	enformer
4616	-1.0666437	3.2067199	4.2733636	-1.0798458	0.28067762	1.0	False	lymph	early	enformer
2703	-0.9555433	2.8508942	3.8064375	-1.036001	0.30065036	1.0	False	lymph	early	enformer
956	-0.7375921	1.9665989	2.704191	-1.0262266	0.30523002	1.0	False	lymph	early	enformer
4998	-0.9868026	3.2802734	4.267076	-1.0073725	0.3141894	1.0	False	lymph	early	enformer
3263	-0.74439967	1.9672972	2.7116969	-1.006149	0.3147847	1.0	False	lymph	early	enformer
2481	0.01832068	0.01832068	0.0	1.0000173	0.31748354	1.0	False	lymph	early	enformer
