feature_id	cds	vitro_mean	vivo_mean	t_stat	pval	pval_bonf	significant	pair	layer	model
1690	-51.56949	397.68588	449.25537	-3.944912	8.3909734e-05	0.51554143	False	liver	late	enformer
1393	-90.90735	1141.081	1231.9884	-2.3486812	0.018990858	1.0	False	liver	late	enformer
57	32.7211	501.75168	469.03058	2.323993	0.020303618	1.0	False	liver	late	enformer
54	-37.202393	606.01733	643.2197	-2.2905874	0.022163112	1.0	False	liver	late	enformer
1915	209.74219	52828.344	52618.6	2.277901	0.022879185	1.0	False	liver	late	enformer
549	206.10547	52795.367	52589.26	2.2238905	0.026311915	1.0	False	liver	late	enformer
6003	190.86328	55169.277	54978.414	1.9932816	0.046419855	1.0	False	liver	late	enformer
623	181.80078	51541.316	51359.516	1.9764999	0.048292167	1.0	False	liver	late	enformer
3850	21.981796	94.02126	72.03947	1.9303492	0.05383533	1.0	False	liver	late	enformer
5330	-99.006836	1636.6256	1735.6324	-1.8779076	0.060617134	1.0	False	liver	late	enformer
6017	104.274506	492.2296	387.9551	1.822529	0.06865394	1.0	False	liver	late	enformer
4979	30.109344	71.934616	41.82527	1.7768091	0.07591795	1.0	False	liver	late	enformer
3596	20.802416	36.91439	16.111975	1.6463733	0.10006546	1.0	False	liver	late	enformer
889	15.402586	21.414686	6.0121	1.5809691	0.11427297	1.0	False	liver	late	enformer
1281	24.865967	497.94412	473.07816	1.5372933	0.124500096	1.0	False	liver	late	enformer
1100	20.90332	262.77805	241.87473	1.4758224	0.1402721	1.0	False	liver	late	enformer
1953	1.5433604	1.9108933	0.36753294	1.4536552	0.1464533	1.0	False	liver	late	enformer
2548	1.7493881	2.181295	0.43190682	1.445126	0.14882697	1.0	False	liver	late	enformer
1657	39.056824	949.08716	910.03033	1.4351976	0.15149832	1.0	False	liver	late	enformer
460	29.414368	593.44086	564.0265	1.3997481	0.16184312	1.0	False	liver	late	enformer
6076	0.8549312	0.8549312	0.0	1.3789842	0.16841604	1.0	False	liver	late	enformer
5650	42.06964	1012.4233	970.35364	1.3757504	0.16915932	1.0	False	liver	late	enformer
2786	1.840336	2.444682	0.6043459	1.3598064	0.17423184	1.0	False	liver	late	enformer
3036	9.553558	30.903826	21.350267	1.3040706	0.1925154	1.0	False	liver	late	enformer
3477	18.696411	495.9169	477.2205	1.2806259	0.20058286	1.0	False	liver	late	enformer
1129	17.889587	491.80435	473.91476	1.231163	0.21851231	1.0	False	liver	late	enformer
3689	7.3323402	21.697287	14.364946	1.2002797	0.23032467	1.0	False	liver	late	enformer
4593	9.653435	40.68278	31.029346	1.1676894	0.24319607	1.0	False	liver	late	enformer
5099	4.0253544	7.938266	3.9129117	1.1504064	0.250289	1.0	False	liver	late	enformer
4930	1.4654398	2.1074343	0.6419944	1.1302018	0.25866532	1.0	False	liver	late	enformer
5052	31.585083	777.761	746.1759	1.1187886	0.26345953	1.0	False	liver	late	enformer
5450	29.605225	742.749	713.1438	1.0944504	0.27398154	1.0	False	liver	late	enformer
968	28.993408	748.3571	719.3637	1.0819075	0.27951464	1.0	False	liver	late	enformer
