feature_id	cds	vitro_mean	vivo_mean	t_stat	pval	pval_bonf	significant	pair	layer	model
1861	401.81982	2202.3577	1800.5378	2.7194555	0.006634646	1.0	False	liver	mid	enformer
2230	-276.04004	6390.078	6666.118	-1.8878216	0.059317075	1.0	False	liver	mid	enformer
5099	140.4375	36293.504	36153.066	1.4746625	0.14055745	1.0	False	liver	mid	enformer
1658	-165.11377	6863.5884	7028.702	-1.2173418	0.22373343	1.0	False	liver	mid	enformer
3086	35.02793	100.05582	65.027885	0.94686466	0.34392348	1.0	False	liver	mid	enformer
5685	35.028137	100.05653	65.0284	0.9468635	0.3439241	1.0	False	liver	mid	enformer
3932	35.027893	100.05616	65.02827	0.94685984	0.34392577	1.0	False	liver	mid	enformer
2958	-28.488579	70.37459	98.86317	-0.7998387	0.4239373	1.0	False	liver	mid	enformer
4089	-28.488884	70.37561	98.864494	-0.799836	0.42393884	1.0	False	liver	mid	enformer
5415	-28.483864	70.364525	98.84839	-0.79983	0.42394224	1.0	False	liver	mid	enformer
1535	-28.483536	70.363945	98.84748	-0.7998277	0.4239437	1.0	False	liver	mid	enformer
4288	-28.483833	70.364716	98.84855	-0.7998274	0.42394385	1.0	False	liver	mid	enformer
4047	-28.483742	70.3647	98.84844	-0.7998254	0.42394504	1.0	False	liver	mid	enformer
441	-28.487686	70.41312	98.9008	-0.7994323	0.4241727	1.0	False	liver	mid	enformer
3536	-28.477715	70.39077	98.868484	-0.7994146	0.424183	1.0	False	liver	mid	enformer
1075	-28.480583	70.39751	98.87809	-0.799414	0.42418337	1.0	False	liver	mid	enformer
4491	-28.480621	70.397606	98.87823	-0.79941386	0.42418346	1.0	False	liver	mid	enformer
3754	-28.480553	70.397545	98.8781	-0.79941285	0.42418402	1.0	False	liver	mid	enformer
996	-28.480362	70.397194	98.877556	-0.7994114	0.4241849	1.0	False	liver	mid	enformer
3726	-28.475044	70.38697	98.862015	-0.79938275	0.42420152	1.0	False	liver	mid	enformer
1469	-28.474312	70.38556	98.85987	-0.7993786	0.424204	1.0	False	liver	mid	enformer
3999	-28.479996	70.39986	98.87985	-0.799377	0.42420477	1.0	False	liver	mid	enformer
6133	-28.474724	70.38681	98.861534	-0.7993764	0.4242052	1.0	False	liver	mid	enformer
3246	-28.480148	70.402954	98.8831	-0.7993486	0.42422134	1.0	False	liver	mid	enformer
999	-28.471756	70.38333	98.85509	-0.79934293	0.42422467	1.0	False	liver	mid	enformer
4037	-28.470856	70.381226	98.85208	-0.799342	0.42422497	1.0	False	liver	mid	enformer
3263	-28.46836	70.37537	98.84373	-0.7993381	0.4242273	1.0	False	liver	mid	enformer
5490	-28.470749	70.38138	98.85213	-0.79933786	0.42422742	1.0	False	liver	mid	enformer
4480	-28.468254	70.37516	98.843414	-0.7993375	0.42422763	1.0	False	liver	mid	enformer
2206	-28.470802	70.38166	98.85246	-0.79933655	0.42422822	1.0	False	liver	mid	enformer
5230	-28.467674	70.37383	98.84151	-0.7993363	0.42422834	1.0	False	liver	mid	enformer
1828	-28.46791	70.37458	98.84249	-0.7993348	0.42422915	1.0	False	liver	mid	enformer
933	-28.468155	70.3756	98.84376	-0.7993307	0.4242316	1.0	False	liver	mid	enformer
1433	-28.473251	70.390396	98.86365	-0.799312	0.42424253	1.0	False	liver	mid	enformer
3214	-28.473167	70.39033	98.863495	-0.7993107	0.4242433	1.0	False	liver	mid	enformer
6087	-28.468338	70.378426	98.84676	-0.7993089	0.42424428	1.0	False	liver	mid	enformer
