feature_id	cds	vitro_mean	vivo_mean	t_stat	pval	pval_bonf	significant	pair	layer	model
1861	759.6886	1995.9762	1236.2876	5.142547	3.5045494e-07	0.0021531952	True	lymph	mid	enformer
5099	-283.1328	36260.363	36543.496	-2.5807433	0.010093459	1.0	False	lymph	mid	enformer
1658	322.6875	6777.672	6454.9844	1.8986403	0.058103308	1.0	False	lymph	mid	enformer
2230	229.7959	6335.4087	6105.613	1.3125814	0.1898194	1.0	False	lymph	mid	enformer
5861	26.24266	89.98904	63.746376	0.699286	0.48459944	1.0	False	lymph	mid	enformer
1712	26.242714	89.98949	63.746773	0.6992833	0.4846011	1.0	False	lymph	mid	enformer
214	26.242393	89.99528	63.752884	0.6992136	0.4846446	1.0	False	lymph	mid	enformer
3774	26.242767	89.997444	63.754677	0.6992054	0.48464972	1.0	False	lymph	mid	enformer
4350	26.24281	89.99811	63.7553	0.6992002	0.48465306	1.0	False	lymph	mid	enformer
3188	26.237583	89.98819	63.750607	0.6991174	0.48470476	1.0	False	lymph	mid	enformer
830	26.241886	90.00346	63.761578	0.69911426	0.48470667	1.0	False	lymph	mid	enformer
313	26.237152	89.990005	63.752853	0.6990855	0.48472476	1.0	False	lymph	mid	enformer
5645	26.234009	89.98089	63.74688	0.6990682	0.4847354	1.0	False	lymph	mid	enformer
5011	26.23441	89.98463	63.750217	0.69904387	0.48475066	1.0	False	lymph	mid	enformer
1833	26.23553	89.99308	63.75755	0.6989991	0.48477852	1.0	False	lymph	mid	enformer
1072	26.234211	89.9895	63.75529	0.6989877	0.48478574	1.0	False	lymph	mid	enformer
2934	26.23714	90.00044	63.7633	0.6989804	0.48479027	1.0	False	lymph	mid	enformer
6023	26.239647	90.011505	63.77186	0.69895667	0.4848051	1.0	False	lymph	mid	enformer
2057	26.236042	89.999886	63.763844	0.6989473	0.48481083	1.0	False	lymph	mid	enformer
4437	26.236774	90.00272	63.76595	0.69894385	0.48481312	1.0	False	lymph	mid	enformer
424	26.237057	90.006195	63.76914	0.6989191	0.4848286	1.0	False	lymph	mid	enformer
5939	26.234978	89.99936	63.76438	0.69891524	0.4848309	1.0	False	lymph	mid	enformer
5695	26.233238	89.99481	63.761574	0.69890225	0.484839	1.0	False	lymph	mid	enformer
3940	26.231995	89.99275	63.760757	0.6988789	0.4848537	1.0	False	lymph	mid	enformer
2959	26.234608	90.00215	63.767544	0.6988751	0.4848559	1.0	False	lymph	mid	enformer
4953	26.231739	89.99228	63.76054	0.6988748	0.48485625	1.0	False	lymph	mid	enformer
2453	26.236553	90.00967	63.773113	0.69886816	0.48486024	1.0	False	lymph	mid	enformer
4274	26.232204	89.99656	63.764355	0.6988488	0.48487252	1.0	False	lymph	mid	enformer
5419	26.23914	90.02061	63.781467	0.6988436	0.48487577	1.0	False	lymph	mid	enformer
624	26.23291	89.99987	63.76696	0.6988388	0.4848788	1.0	False	lymph	mid	enformer
1257	26.233063	90.000656	63.767593	0.69883615	0.48488045	1.0	False	lymph	mid	enformer
1798	26.23602	90.01184	63.77582	0.69882864	0.48488513	1.0	False	lymph	mid	enformer
570	26.236141	90.012596	63.776455	0.69882536	0.4848872	1.0	False	lymph	mid	enformer
4714	26.233437	90.0034	63.769966	0.69882375	0.4848882	1.0	False	lymph	mid	enformer
3276	26.235783	90.01168	63.775898	0.69882196	0.48488933	1.0	False	lymph	mid	enformer
3154	26.230076	89.99317	63.763096	0.69880825	0.48489788	1.0	False	lymph	mid	enformer
799	26.233719	90.00691	63.773193	0.69879764	0.48490453	1.0	False	lymph	mid	enformer
1566	26.230663	89.997375	63.766712	0.69878674	0.48491135	1.0	False	lymph	mid	enformer
1464	26.233864	90.0129	63.779037	0.6987428	0.4849386	1.0	False	lymph	mid	enformer
3196	26.231186	90.00972	63.778534	0.6986798	0.48497808	1.0	False	lymph	mid	enformer
3934	26.23146	90.01711	63.785652	0.6986142	0.48501906	1.0	False	lymph	mid	enformer
410	26.233559	90.0245	63.79094	0.6986117	0.48502067	1.0	False	lymph	mid	enformer
3150	26.22609	90.004425	63.778336	0.6985587	0.4850538	1.0	False	lymph	mid	enformer
4863	26.226742	90.00689	63.780148	0.6985566	0.48505506	1.0	False	lymph	mid	enformer
512	26.22926	90.016495	63.787235	0.69854456	0.48506263	1.0	False	lymph	mid	enformer
5015	26.221142	90.0036	63.78246	0.69839334	0.485157	1.0	False	lymph	mid	enformer
5430	21.844158	85.568695	63.724537	0.58618677	0.55793816	1.0	False	lymph	mid	enformer
1883	21.84394	85.57413	63.730186	0.5861332	0.5579741	1.0	False	lymph	mid	enformer
4337	21.843708	85.574005	63.730297	0.58612657	0.5579786	1.0	False	lymph	mid	enformer
375	21.847015	85.59912	63.752106	0.5860249	0.5580469	1.0	False	lymph	mid	enformer
4822	21.833916	85.54805	63.714134	0.5860226	0.5580485	1.0	False	lymph	mid	enformer
2482	21.8465	85.59739	63.75089	0.58602226	0.5580487	1.0	False	lymph	mid	enformer
434	21.833961	85.548325	63.714363	0.5860218	0.5580491	1.0	False	lymph	mid	enformer
5142	21.846302	85.596756	63.750454	0.586021	0.55804956	1.0	False	lymph	mid	enformer
1480	21.846245	85.596596	63.75035	0.58602047	0.55805	1.0	False	lymph	mid	enformer
5214	21.846523	85.597824	63.7513	0.58601934	0.55805063	1.0	False	lymph	mid	enformer
3414	21.834675	85.55146	63.716785	0.5860191	0.5580508	1.0	False	lymph	mid	enformer
525	21.836544	85.55859	63.72205	0.5860177	0.55805176	1.0	False	lymph	mid	enformer
