feature_id	cds	vitro_mean	vivo_mean	t_stat	pval	pval_bonf	significant	pair	layer	model
77	0.044340506	0.15099135	0.106650844	8.298401	4.3931073e-16	4.4985418e-13	True	blood	early	hyenadna
1018	-0.04194653	0.12793136	0.16987789	-7.923149	8.463414e-15	8.666536e-12	True	blood	early	hyenadna
521	0.038373332	0.074648716	0.036275383	7.876714	1.3042359e-14	1.3355376e-11	True	blood	early	hyenadna
546	-0.008381516	0.29400826	0.30238977	-7.7918677	2.2499228e-14	2.303921e-11	True	blood	early	hyenadna
313	0.03681712	0.19713187	0.16031475	7.318337	5.780869e-13	5.91961e-10	True	blood	early	hyenadna
822	-0.039337635	0.12561886	0.1649565	-7.2143455	1.30623e-12	1.3375795e-09	True	blood	early	hyenadna
740	0.029989257	0.20701593	0.17702667	6.820737	1.6754148e-11	1.7156248e-08	True	blood	early	hyenadna
970	-0.03161654	0.19278032	0.22439685	-6.7786593	2.6036171e-11	2.666104e-08	True	blood	early	hyenadna
828	0.039462186	0.124441184	0.084979	6.7357583	3.2166925e-11	3.293893e-08	True	blood	early	hyenadna
526	0.00799188	0.34762153	0.33962965	6.582248	8.4253e-11	8.627507e-08	True	blood	early	hyenadna
647	-0.02767758	0.21151991	0.2391975	-6.357904	3.7080397e-10	3.7970327e-07	True	blood	early	hyenadna
282	0.034963973	0.105344355	0.07038038	6.347014	3.792197e-10	3.8832098e-07	True	blood	early	hyenadna
356	-0.03230311	0.16884533	0.20114844	-6.3353877	4.153984e-10	4.2536797e-07	True	blood	early	hyenadna
397	0.029208958	0.1990187	0.16980974	6.2705913	5.641217e-10	5.776606e-07	True	blood	early	hyenadna
702	0.024463445	0.21359207	0.18912862	6.24331	6.5598293e-10	6.717265e-07	True	blood	early	hyenadna
135	-0.031785592	0.15457584	0.18636143	-6.0800138	1.9274735e-09	1.9737329e-06	True	blood	early	hyenadna
611	-0.029947162	0.16486955	0.19481671	-5.9370513	4.520904e-09	4.629406e-06	True	blood	early	hyenadna
517	0.031396717	0.14782979	0.11643307	5.924983	4.6143662e-09	4.725111e-06	True	blood	early	hyenadna
609	-0.027413152	0.05174139	0.07915454	-5.896125	5.323805e-09	5.4515763e-06	True	blood	early	hyenadna
765	-0.032038942	0.13172634	0.16376528	-5.871908	6.4373906e-09	6.591888e-06	True	blood	early	hyenadna
681	-0.029940337	0.09399432	0.12393466	-5.692468	1.7574967e-08	1.7996766e-05	True	blood	early	hyenadna
340	0.025159063	0.05261899	0.027459929	5.5198627	4.806742e-08	4.922104e-05	True	blood	early	hyenadna
781	0.026553404	0.07209881	0.045545403	5.2108626	2.455514e-07	0.00025144464	True	blood	early	hyenadna
998	0.02074708	0.2247183	0.20397122	5.088649	4.409946e-07	0.00045157847	True	blood	early	hyenadna
871	-0.026048258	0.13702764	0.1630759	-4.9356127	9.809789e-07	0.0010045224	True	blood	early	hyenadna
453	-0.018461138	0.19989519	0.21835633	-4.8770313	1.3458299e-06	0.0013781298	True	blood	early	hyenadna
396	0.026999012	0.12559964	0.098600626	4.7788386	2.106275e-06	0.0021568255	True	blood	early	hyenadna
68	0.014026169	0.021678025	0.0076518557	4.684172	3.4407685e-06	0.003523347	True	blood	early	hyenadna
26	-0.02111299	0.05991662	0.08102961	-4.3058505	1.859665e-05	0.019042969	True	blood	early	hyenadna
824	-0.0040661097	0.29083064	0.29489675	-4.140781	3.885588e-05	0.03978842	True	blood	early	hyenadna
606	-0.021073312	0.17572722	0.19680053	-4.0506587	5.629958e-05	0.05765077	False	blood	early	hyenadna
706	-0.015229844	0.034681182	0.049911026	-3.8814178	0.00011156218	0.11423967	False	blood	early	hyenadna
772	0.013376206	0.22179762	0.20842141	3.8809648	0.00011192511	0.11461131	False	blood	early	hyenadna
535	-0.0063542426	0.26397774	0.27033198	-3.78113	0.000168916	0.17296998	False	blood	early	hyenadna
245	-0.019817717	0.10052	0.12033772	-3.6979253	0.00023220872	0.23778173	False	blood	early	hyenadna
505	0.0031427443	0.31422374	0.311081	3.671345	0.00025860954	0.26481616	False	blood	early	hyenadna
48	-0.011580721	0.2428387	0.25441942	-3.6612408	0.0002697604	0.27623466	False	blood	early	hyenadna
349	-0.013682365	0.03227365	0.045956016	-3.5627818	0.00038656313	0.39584064	False	blood	early	hyenadna
334	-0.017005533	0.14995725	0.16696279	-3.359745	0.00081865117	0.8382988	False	blood	early	hyenadna
346	-0.017742686	0.087046124	0.10478881	-3.3572426	0.0008239037	0.8436774	False	blood	early	hyenadna
476	0.006993591	0.0101141855	0.0031205944	3.3456118	0.00087049353	0.8913854	False	blood	early	hyenadna
141	-0.0031490624	0.26837215	0.2715212	-3.3055046	0.000998044	1.0	False	blood	early	hyenadna
157	-0.006493628	0.25448734	0.26098096	-3.2837422	0.001076042	1.0	False	blood	early	hyenadna
27	-0.014705744	0.049467828	0.06417357	-3.2810264	0.0010767526	1.0	False	blood	early	hyenadna
506	0.013777293	0.04451048	0.030733187	3.2687266	0.001131052	1.0	False	blood	early	hyenadna
136	-0.017274097	0.1208912	0.1381653	-3.2447417	0.0012253748	1.0	False	blood	early	hyenadna
738	0.006412971	0.008508633	0.0020956623	3.1493034	0.001717797	1.0	False	blood	early	hyenadna
11	0.008622345	0.018284323	0.009661978	3.0809546	0.0021469076	1.0	False	blood	early	hyenadna
508	-0.011538759	0.20685208	0.21839084	-3.0677755	0.0022379009	1.0	False	blood	early	hyenadna
907	0.0054967105	0.24647804	0.24098133	3.0317674	0.0025022966	1.0	False	blood	early	hyenadna
391	-0.0008186103	0.0	0.0008186103	-3.0017178	0.0027106232	1.0	False	blood	early	hyenadna
568	-0.00746426	0.23342267	0.24088693	-2.933523	0.003454508	1.0	False	blood	early	hyenadna
664	0.0057205977	0.0090719	0.0033513017	2.8997514	0.003863225	1.0	False	blood	early	hyenadna
102	0.0061842888	0.010526974	0.004342685	2.8752236	0.004170253	1.0	False	blood	early	hyenadna
472	0.005445808	0.27156797	0.26612216	2.8307707	0.0047427886	1.0	False	blood	early	hyenadna
969	-0.0067623965	0.010663427	0.017425824	-2.798465	0.0052380217	1.0	False	blood	early	hyenadna
645	0.0043072607	0.0060807494	0.0017734886	2.6918592	0.007297508	1.0	False	blood	early	hyenadna
633	-0.0006060678	0.0	0.0006060678	-2.648506	0.0081346305	1.0	False	blood	early	hyenadna
549	-0.0042341575	0.004430567	0.008664724	-2.5626812	0.01053356	1.0	False	blood	early	hyenadna
170	0.0069434047	0.24231303	0.23536962	2.545414	0.011088252	1.0	False	blood	early	hyenadna
388	0.0036211433	0.0049170223	0.001295879	2.5064676	0.0124539975	1.0	False	blood	early	hyenadna
450	-0.002610594	0.2599619	0.2625725	-2.4840543	0.013219861	1.0	False	blood	early	hyenadna
806	-0.002986523	0.0024628125	0.0054493356	-2.4563625	0.014184375	1.0	False	blood	early	hyenadna
657	-0.00051854405	0.0	0.00051854405	-2.45182	0.014280132	1.0	False	blood	early	hyenadna
571	-0.011898473	0.14886925	0.16076772	-2.3538415	0.018828833	1.0	False	blood	early	hyenadna
317	0.004555735	0.007990511	0.003434776	2.345074	0.019325051	1.0	False	blood	early	hyenadna
556	-0.0030671656	0.26788485	0.27095202	-2.3019423	0.021587942	1.0	False	blood	early	hyenadna
254	0.012287393	0.111422196	0.0991348	2.3019378	0.021597644	1.0	False	blood	early	hyenadna
773	0.00643791	0.018712042	0.012274132	2.2750642	0.023197927	1.0	False	blood	early	hyenadna
587	0.011860684	0.09401021	0.08214953	2.2705865	0.023442905	1.0	False	blood	early	hyenadna
795	0.0029852523	0.0041232198	0.0011379675	2.2420864	0.025313057	1.0	False	blood	early	hyenadna
153	-0.00045016373	0.0	0.00045016373	-2.2372127	0.025358438	1.0	False	blood	early	hyenadna
298	0.0046219733	0.00940163	0.0047796564	2.2315748	0.025974292	1.0	False	blood	early	hyenadna
426	-0.006326884	0.24407178	0.25039867	-2.2064862	0.027630918	1.0	False	blood	early	hyenadna
24	0.008726448	0.22314852	0.21442208	2.1523967	0.031663258	1.0	False	blood	early	hyenadna
610	0.0061383694	0.2255328	0.21939443	2.1382403	0.03276797	1.0	False	blood	early	hyenadna
487	0.0053299107	0.013701772	0.008371862	2.1242204	0.034002792	1.0	False	blood	early	hyenadna
466	0.009398311	0.18643293	0.17703462	2.1161563	0.034633145	1.0	False	blood	early	hyenadna
