feature_id	cds	vitro_mean	vivo_mean	t_stat	pval	pval_bonf	significant	pair	layer	model
926	0.012544081	0.23005237	0.21750829	3.5770044	0.0003586975	0.36730623	False	liver	early	hyenadna
376	0.0053729024	0.009998242	0.00462534	2.5340648	0.011439079	1.0	False	liver	early	hyenadna
298	0.0041682385	0.0063550123	0.0021867736	2.4959476	0.012751247	1.0	False	liver	early	hyenadna
249	0.012935773	0.16905394	0.15611817	2.427865	0.015323865	1.0	False	liver	early	hyenadna
397	-0.01412046	0.15329614	0.1674166	-2.422179	0.015577395	1.0	False	liver	early	hyenadna
487	0.004993583	0.009227043	0.00423346	2.3948448	0.01682502	1.0	False	liver	early	hyenadna
706	0.012068905	0.06443575	0.052366845	2.3739336	0.017759787	1.0	False	liver	early	hyenadna
211	0.011234604	0.048313618	0.037079014	2.289088	0.022254512	1.0	False	liver	early	hyenadna
839	-0.002385199	0.28301886	0.28540406	-2.2848372	0.022476986	1.0	False	liver	early	hyenadna
426	-0.0073872656	0.2433228	0.25071007	-2.0580347	0.039825175	1.0	False	liver	early	hyenadna
697	-0.00085116416	0.0	0.00085116416	-2.0028024	0.045455463	1.0	False	liver	early	hyenadna
378	0.0052405084	0.01368412	0.008443612	1.9896233	0.046894085	1.0	False	liver	early	hyenadna
170	-0.006951034	0.22760887	0.23455991	-1.9655179	0.04960477	1.0	False	liver	early	hyenadna
68	0.0040830807	0.009304031	0.00522095	1.9350052	0.05327007	1.0	False	liver	early	hyenadna
506	0.007631844	0.03258454	0.024952697	1.9189749	0.05524081	1.0	False	liver	early	hyenadna
702	-0.009032816	0.18063684	0.18966965	-1.7920103	0.07338959	1.0	False	liver	early	hyenadna
391	0.0019805986	0.002731338	0.0007507394	1.7721643	0.07674185	1.0	False	liver	early	hyenadna
303	-0.01012747	0.083628856	0.093756326	-1.7180041	0.086043715	1.0	False	liver	early	hyenadna
969	0.005770875	0.02334374	0.017572865	1.6733408	0.09453848	1.0	False	liver	early	hyenadna
950	-0.0049004555	0.24195608	0.24685654	-1.6243514	0.1045888	1.0	False	liver	early	hyenadna
459	-0.0034893155	0.260612	0.26410133	-1.5746317	0.11565486	1.0	False	liver	early	hyenadna
609	0.008853264	0.09272518	0.083871916	1.5539109	0.120464325	1.0	False	liver	early	hyenadna
647	-0.005584717	0.24124561	0.24683033	-1.5474709	0.122040294	1.0	False	liver	early	hyenadna
32	0.003912556	0.013661127	0.009748571	1.50929	0.1315143	1.0	False	liver	early	hyenadna
102	0.0025730748	0.0060215225	0.0034484477	1.4985986	0.13429433	1.0	False	liver	early	hyenadna
1018	0.0072913617	0.18172646	0.1744351	1.4660958	0.14286582	1.0	False	liver	early	hyenadna
189	0.005577812	0.027121872	0.02154406	1.4656523	0.14301665	1.0	False	liver	early	hyenadna
201	0.0015232743	0.002562965	0.0010396907	1.4238827	0.15483533	1.0	False	liver	early	hyenadna
633	-0.00042853644	0.0	0.00042853644	-1.4146816	0.15745865	1.0	False	liver	early	hyenadna
1002	-0.0004362071	0.0	0.0004362071	-1.4146396	0.15747094	1.0	False	liver	early	hyenadna
1005	-0.007608548	0.16861753	0.17622608	-1.411014	0.1584999	1.0	False	liver	early	hyenadna
145	-0.0048351884	0.21867055	0.22350574	-1.3241434	0.18572193	1.0	False	liver	early	hyenadna
210	0.0044414513	0.021796903	0.017355451	1.3205359	0.18692106	1.0	False	liver	early	hyenadna
621	-0.0006962253	0.0	0.0006962253	-1.3170733	0.18810166	1.0	False	liver	early	hyenadna
951	0.0042411797	0.020038225	0.015797045	1.3161917	0.18837413	1.0	False	liver	early	hyenadna
48	-0.0035617352	0.25466532	0.25822705	-1.312561	0.18959531	1.0	False	liver	early	hyenadna
587	-0.0069120377	0.07209405	0.07900609	-1.2741443	0.20284621	1.0	False	liver	early	hyenadna
491	-0.004602134	0.22063811	0.22524025	-1.2729086	0.20331116	1.0	False	liver	early	hyenadna
824	-0.0011321008	0.29432878	0.29546088	-1.2718086	0.20368683	1.0	False	liver	early	hyenadna
765	0.0066229403	0.17010304	0.1634801	1.1983248	0.23101486	1.0	False	liver	early	hyenadna
356	-0.005868152	0.19806504	0.2039332	-1.1875547	0.23524636	1.0	False	liver	early	hyenadna
184	-0.00358136	0.24959682	0.25317818	-1.1673851	0.243286	1.0	False	liver	early	hyenadna
772	-0.0049732625	0.20248494	0.2074582	-1.1589208	0.24672541	1.0	False	liver	early	hyenadna
154	0.005716093	0.055836886	0.050120793	1.1529056	0.24917784	1.0	False	liver	early	hyenadna
317	0.0015773941	0.0038376967	0.0022603027	1.1255666	0.26061398	1.0	False	liver	early	hyenadna
450	-0.0011801124	0.261727	0.26290712	-1.1152054	0.2650169	1.0	False	liver	early	hyenadna
77	-0.0064013153	0.09310536	0.099506676	-1.0963361	0.27314302	1.0	False	liver	early	hyenadna
409	0.001825497	0.0059762048	0.0041507077	1.041428	0.297909	1.0	False	liver	early	hyenadna
349	0.004886303	0.053064328	0.048178025	1.0039406	0.3156086	1.0	False	liver	early	hyenadna
737	-0.0002503229	0.0	0.0002503229	-1.0000197	0.31753156	1.0	False	liver	early	hyenadna
475	-0.0004986534	0.0	0.0004986534	-1.0000167	0.31753302	1.0	False	liver	early	hyenadna
215	-0.00021562527	0.0	0.00021562527	-1.0000155	0.3175336	1.0	False	liver	early	hyenadna
