feature_id	cds	vitro_mean	vivo_mean	t_stat	pval	pval_bonf	significant	pair	layer	model
317	-0.0044798013	0.0024401573	0.0069199586	-2.062248	0.03974089	1.0	False	lymph	early	hyenadna
303	-0.013684146	0.091023475	0.10470762	-2.0143576	0.04440686	1.0	False	lymph	early	hyenadna
740	-0.011444107	0.17308725	0.18453136	-1.9680188	0.049485154	1.0	False	lymph	early	hyenadna
371	0.0033646377	0.006804489	0.0034398513	1.9288993	0.05407154	1.0	False	lymph	early	hyenadna
1010	0.0005030197	0.0005030197	0.0	1.7330215	0.0833231	1.0	False	lymph	early	hyenadna
516	0.0054131933	0.01865594	0.013242748	1.7080077	0.08806719	1.0	False	lymph	early	hyenadna
506	-0.007839913	0.028960535	0.036800448	-1.6407229	0.101395346	1.0	False	lymph	early	hyenadna
397	-0.010214984	0.16489802	0.175113	-1.6309329	0.10339535	1.0	False	lymph	early	hyenadna
969	0.0055729114	0.023086986	0.017514074	1.5172203	0.12966493	1.0	False	lymph	early	hyenadna
609	0.0091587305	0.084963635	0.075804904	1.4611213	0.1444762	1.0	False	lymph	early	hyenadna
48	0.0047080815	0.25795394	0.25324586	1.4590292	0.14510898	1.0	False	lymph	early	hyenadna
772	-0.0065128803	0.20434764	0.21086052	-1.4210892	0.15575974	1.0	False	lymph	early	hyenadna
216	0.00032794892	0.00032794892	0.0	1.4147449	0.15737681	1.0	False	lymph	early	hyenadna
807	0.0003513707	0.0003513707	0.0	1.4147233	0.15738316	1.0	False	lymph	early	hyenadna
697	0.0003355173	0.0003355173	0.0	1.4146601	0.1574017	1.0	False	lymph	early	hyenadna
327	0.00034870172	0.00034870172	0.0	1.413358	0.15778393	1.0	False	lymph	early	hyenadna
282	-0.008395977	0.06389837	0.07229435	-1.3465796	0.17861886	1.0	False	lymph	early	hyenadna
450	0.0018290579	0.26300684	0.26117778	1.3166438	0.18858433	1.0	False	lymph	early	hyenadna
68	-0.0032133493	0.0049481415	0.008161491	-1.3107263	0.1905337	1.0	False	lymph	early	hyenadna
313	-0.008609429	0.15601647	0.1646259	-1.3035307	0.19286507	1.0	False	lymph	early	hyenadna
472	0.004033953	0.2668438	0.26280984	1.2914532	0.1971266	1.0	False	lymph	early	hyenadna
261	-0.0044831485	0.2134743	0.21795745	-1.2906595	0.19725709	1.0	False	lymph	early	hyenadna
459	0.0037742853	0.26215836	0.25838408	1.2853738	0.19922014	1.0	False	lymph	early	hyenadna
309	0.00796248	0.15612613	0.14816365	1.2721335	0.20381215	1.0	False	lymph	early	hyenadna
