feature_id	cds	vitro_mean	vivo_mean	t_stat	pval	pval_bonf	significant	pair	layer	model
806	0.0739188	0.15252282	0.07860402	9.497315	4.1775943e-20	4.2778565e-17	True	blood	late	hyenadna
745	-0.03259045	0.5740006	0.60659105	-8.944591	2.7012402e-18	2.76607e-15	True	blood	late	hyenadna
720	-0.039194822	0.3714558	0.4106506	-8.805739	8.4466796e-18	8.6494e-15	True	blood	late	hyenadna
374	0.02880323	1.2119944	1.1831912	8.570051	6.929131e-17	7.09543e-14	True	blood	late	hyenadna
941	0.021244215	0.037558302	0.016314087	8.571857	7.702229e-17	7.887082e-14	True	blood	late	hyenadna
1020	-0.0460428	0.8552875	0.9013303	-7.6513805	5.6163577e-14	5.7511503e-11	True	blood	late	hyenadna
560	-0.021744728	0.6566264	0.67837113	-7.0890064	3.0318708e-12	3.1046357e-09	True	blood	late	hyenadna
34	-0.030541182	0.74528444	0.7758256	-7.063083	3.551422e-12	3.636656e-09	True	blood	late	hyenadna
729	-0.021129727	1.0203134	1.0414431	-6.894019	1.0760396e-11	1.10186456e-08	True	blood	late	hyenadna
40	-0.035045028	1.0405601	1.0756052	-6.738898	3.170173e-11	3.2462573e-08	True	blood	late	hyenadna
329	-0.036076248	0.5090753	0.54515153	-6.7287054	3.1822135e-11	3.2585866e-08	True	blood	late	hyenadna
785	-0.046161354	0.48871267	0.534874	-6.598906	7.624687e-11	7.8076795e-08	True	blood	late	hyenadna
604	-0.001010336	0.0	0.001010336	-6.4400606	1.4221072e-10	1.4562377e-07	True	blood	late	hyenadna
913	-0.066735625	1.1414549	1.2081906	-6.444275	2.0753654e-10	2.1251742e-07	True	blood	late	hyenadna
142	0.009580042	0.013959597	0.0043795547	6.4637947	2.0888237e-10	2.1389555e-07	True	blood	late	hyenadna
770	-0.04243651	0.44778877	0.4902253	-6.4248986	2.225015e-10	2.2784154e-07	True	blood	late	hyenadna
325	-0.026752807	0.10776063	0.13451344	-6.365138	3.285604e-10	3.3644585e-07	True	blood	late	hyenadna
