feature_id	cds	vitro_mean	vivo_mean	t_stat	pval	pval_bonf	significant	pair	layer	model
545	0.109184906	0.32655445	0.21736954	8.82231	6.978042e-18	7.145515e-15	True	blood	mid	hyenadna
522	-0.09828214	0.1803117	0.27859384	-8.099097	1.9668022e-15	2.0140055e-12	True	blood	mid	hyenadna
856	-0.09217827	0.14714323	0.2393215	-7.9824862	4.543354e-15	4.6523944e-12	True	blood	mid	hyenadna
977	-0.08196682	0.309763	0.39172983	-6.5421457	1.1149571e-10	1.14171606e-07	True	blood	mid	hyenadna
516	-0.080954134	0.30961448	0.3905686	-6.4873323	1.5784311e-10	1.6163135e-07	True	blood	mid	hyenadna
814	-0.07734963	0.3407323	0.41808194	-6.4125357	2.5550817e-10	2.6164037e-07	True	blood	mid	hyenadna
651	-0.07385658	0.16350618	0.23736276	-6.1922674	9.2501024e-10	9.472105e-07	True	blood	mid	hyenadna
576	-0.0779641	0.3161465	0.3941106	-6.1661158	1.1393012e-09	1.1666444e-06	True	blood	mid	hyenadna
694	-0.06860384	0.41777408	0.48637792	-6.0388575	2.4864122e-09	2.546086e-06	True	blood	mid	hyenadna
405	0.044840507	0.059126336	0.014285829	6.048203	2.5574813e-09	2.618861e-06	True	blood	mid	hyenadna
226	-0.07010202	0.17285673	0.24295875	-5.869289	6.3109113e-09	6.462373e-06	True	blood	mid	hyenadna
434	-0.06440663	0.29303825	0.35744488	-5.0892935	4.5104818e-07	0.00046187334	True	blood	mid	hyenadna
372	0.05849023	0.16246104	0.10397081	5.063404	5.227011e-07	0.0005352459	True	blood	mid	hyenadna
659	-0.050603867	0.4488837	0.49948758	-4.988878	7.6331395e-07	0.0007816335	True	blood	mid	hyenadna
485	-0.06319484	0.2831476	0.34634244	-4.9522676	8.990135e-07	0.00092058984	True	blood	mid	hyenadna
407	-0.04924053	0.4606374	0.5098779	-4.858016	1.455429e-06	0.0014903593	True	blood	mid	hyenadna
230	-0.05206538	0.12066644	0.17273182	-4.818427	1.7083992e-06	0.0017494007	True	blood	mid	hyenadna
1007	0.0452372	0.10481834	0.05958114	4.692945	3.2396754e-06	0.0033174276	True	blood	mid	hyenadna
938	-0.05157152	0.13176581	0.18333733	-4.6598153	3.6691506e-06	0.0037572102	True	blood	mid	hyenadna
347	0.058289677	0.24228592	0.18399625	4.6599154	3.7239467e-06	0.0038133215	True	blood	mid	hyenadna
914	-0.053652436	0.36731493	0.42096737	-4.492431	8.140629e-06	0.008336004	True	blood	mid	hyenadna
991	-0.048333585	0.4311681	0.4795017	-4.476686	8.796313e-06	0.009007424	True	blood	mid	hyenadna
249	0.05353993	0.18737033	0.1338304	4.4665647	9.175066e-06	0.009395268	True	blood	mid	hyenadna
224	0.04780045	0.47965917	0.43185872	4.40575	1.1863783e-05	0.012148513	True	blood	mid	hyenadna
775	-0.041924	0.47962034	0.52154434	-4.344144	1.5991094e-05	0.01637488	True	blood	mid	hyenadna
785	-0.049075037	0.4231154	0.47219044	-4.317615	1.7918577e-05	0.018348623	True	blood	mid	hyenadna
14	-0.028978527	0.52319044	0.55216897	-4.2984667	1.9688465e-05	0.020160988	True	blood	mid	hyenadna
721	-0.046864152	0.13911326	0.18597741	-4.200444	2.9462883e-05	0.030169992	True	blood	mid	hyenadna
133	0.028958116	0.05131488	0.022356763	4.161173	3.585987e-05	0.036720507	True	blood	mid	hyenadna
502	0.028227977	0.04863513	0.020407151	4.15356	3.7072834e-05	0.037962582	True	blood	mid	hyenadna
176	0.02682754	0.04305184	0.016224299	4.133453	4.0483996e-05	0.04145561	True	blood	mid	hyenadna
558	-0.051310956	0.31892052	0.37023148	-4.1020436	4.526994e-05	0.046356417	True	blood	mid	hyenadna
671	0.015121162	0.6061207	0.59099954	4.0018477	6.653608e-05	0.068132944	False	blood	mid	hyenadna
258	-0.047299743	0.18746918	0.23476893	-3.9179792	9.672572e-05	0.09904714	False	blood	mid	hyenadna
935	-0.042892396	0.4259765	0.4688689	-3.9097207	0.000100930025	0.103352346	False	blood	mid	hyenadna
49	0.019031284	0.025015753	0.005984469	3.8689408	0.000121168276	0.124076314	False	blood	mid	hyenadna
166	0.044200033	0.44469142	0.4004914	3.8595119	0.00012226586	0.12520024	False	blood	mid	hyenadna
571	0.025038745	0.0413351	0.016296353	3.8559928	0.00012681892	0.12986258	False	blood	mid	hyenadna
