feature_id	cds	vitro_mean	vivo_mean	t_stat	pval	pval_bonf	significant	pair	layer	model
2472	-32.23407	118.768295	151.00237	-9.840951	2.0008495e-21	1.024435e-17	True	blood	early	nucleotide_transformer
537	19.957191	119.49793	99.54074	6.6040697	7.0348574e-11	3.6018469e-07	True	blood	early	nucleotide_transformer
4891	20.351929	121.323555	100.97163	6.5566607	9.6057266e-11	4.918132e-07	True	blood	early	nucleotide_transformer
4300	19.946663	110.960175	91.01351	6.29893	4.8483506e-10	2.4823555e-06	True	blood	early	nucleotide_transformer
4368	20.18164	110.31035	90.12871	6.2932415	5.03097e-10	2.5758568e-06	True	blood	early	nucleotide_transformer
1943	19.193367	118.50903	99.31567	6.1570053	1.1500958e-09	5.8884907e-06	True	blood	early	nucleotide_transformer
185	19.32679	108.98748	89.66069	6.079774	1.8330609e-09	9.385272e-06	True	blood	early	nucleotide_transformer
2461	18.924828	119.718864	100.79404	5.953103	3.894282e-09	1.9938723e-05	True	blood	early	nucleotide_transformer
664	7.643097	178.42734	170.78424	5.815552	9.097257e-09	4.6577956e-05	True	blood	early	nucleotide_transformer
5030	15.7714615	131.1605	115.389046	5.6860404	1.7847757e-08	9.138051e-05	True	blood	early	nucleotide_transformer
197	17.391937	111.29389	93.901955	5.532717	4.225833e-08	0.00021636265	True	blood	early	nucleotide_transformer
3251	4.526123	190.25082	185.7247	5.482884	5.998159e-08	0.0003071057	True	blood	early	nucleotide_transformer
5102	14.286919	131.03752	116.7506	5.389292	9.133071e-08	0.00046761325	True	blood	early	nucleotide_transformer
2904	4.3249817	190.28978	185.9648	5.3393736	1.2900477e-07	0.00066050445	True	blood	early	nucleotide_transformer
3620	15.459584	28.842447	13.382863	5.1786084	2.970215e-07	0.0015207501	True	blood	early	nucleotide_transformer
1025	3.8814087	189.95288	186.07147	4.8628063	1.4539935e-06	0.007444447	True	blood	early	nucleotide_transformer
4455	30.522343	48.540607	18.018265	4.72908	2.816785e-06	0.014421939	True	blood	early	nucleotide_transformer
354	12.370247	128.60114	116.23089	4.5078955	7.4797695e-06	0.03829642	True	blood	early	nucleotide_transformer
1939	3.372818	194.70662	191.3338	4.483495	8.698321e-06	0.044535402	True	blood	early	nucleotide_transformer
1727	11.729843	134.66264	122.9328	4.451916	9.669571e-06	0.049508207	True	blood	early	nucleotide_transformer
224	4.6736145	159.60547	154.93185	4.3246326	1.7320825e-05	0.08868262	False	blood	early	nucleotide_transformer
4969	7.2467804	150.08191	142.83513	4.289581	1.9960387e-05	0.102197185	False	blood	early	nucleotide_transformer
1097	-0.9590844	0.0	0.9590844	-4.256868	2.147966e-05	0.10997586	False	blood	early	nucleotide_transformer
1627	-0.9582041	0.0	0.9582041	-4.2568583	2.1480566e-05	0.109980494	False	blood	early	nucleotide_transformer
271	-10.381287	126.08707	136.46835	-4.248336	2.43971e-05	0.124913156	False	blood	early	nucleotide_transformer
2722	6.6018677	155.06923	148.46736	4.165579	3.435867e-05	0.17591639	False	blood	early	nucleotide_transformer
3361	-0.9055298	0.0	0.9055298	-4.1361213	3.646402e-05	0.18669577	False	blood	early	nucleotide_transformer
2599	-0.90527505	0.0	0.90527505	-4.1361146	3.6465084e-05	0.18670124	False	blood	early	nucleotide_transformer
4787	-0.9049517	0.0	0.9049517	-4.1361117	3.6465557e-05	0.18670365	False	blood	early	nucleotide_transformer
4325	-0.90584457	0.0	0.90584457	-4.1360683	3.6472407e-05	0.18673873	False	blood	early	nucleotide_transformer
3637	-0.8520001	0.0	0.8520001	-4.011841	6.1978804e-05	0.3173315	False	blood	early	nucleotide_transformer
4314	-0.85119927	0.0	0.85119927	-4.011841	6.1978804e-05	0.3173315	False	blood	early	nucleotide_transformer
4789	-0.8521646	0.0	0.8521646	-4.01184	6.1979175e-05	0.31733337	False	blood	early	nucleotide_transformer
1676	-0.85155886	0.0	0.85155886	-4.0118313	6.1981365e-05	0.3173446	False	blood	early	nucleotide_transformer
1193	-0.8515139	0.0	0.8515139	-4.0118313	6.1981365e-05	0.3173446	False	blood	early	nucleotide_transformer
3944	-0.8514479	0.0	0.8514479	-4.0118284	6.198205e-05	0.3173481	False	blood	early	nucleotide_transformer
968	-0.85137975	0.0	0.85137975	-4.0118275	6.198237e-05	0.31734973	False	blood	early	nucleotide_transformer
2514	-0.85132545	0.0	0.85132545	-4.011826	6.198268e-05	0.31735134	False	blood	early	nucleotide_transformer
4014	-0.8513521	0.0	0.8513521	-4.011826	6.198268e-05	0.31735134	False	blood	early	nucleotide_transformer
4214	5.6082764	154.98134	149.37306	4.006835	6.75016e-05	0.34560817	False	blood	early	nucleotide_transformer
4483	-0.7990339	0.0	0.7990339	-3.883636	0.00010551843	0.54025435	False	blood	early	nucleotide_transformer
2846	-0.79891926	0.0	0.79891926	-3.8836331	0.00010551978	0.54026127	False	blood	early	nucleotide_transformer
381	-0.79885775	0.0	0.79885775	-3.883632	0.0001055202	0.5402634	False	blood	early	nucleotide_transformer
655	-0.798746	0.0	0.798746	-3.8836308	0.00010552078	0.5402664	False	blood	early	nucleotide_transformer
2441	-0.798861	0.0	0.798861	-3.8836215	0.00010552487	0.5402874	False	blood	early	nucleotide_transformer
3954	-0.79874694	0.0	0.79874694	-3.88362	0.00010552548	0.5402905	False	blood	early	nucleotide_transformer
604	-0.7986061	0.0	0.7986061	-3.883615	0.000105527666	0.5403017	False	blood	early	nucleotide_transformer
2297	-0.79946566	0.0	0.79946566	-3.8836148	0.00010552767	0.5403017	False	blood	early	nucleotide_transformer
3402	-0.79933095	0.0	0.79933095	-3.8836143	0.000105527826	0.54030246	False	blood	early	nucleotide_transformer
104	-0.7982973	0.0	0.7982973	-3.8836112	0.00010552927	0.54030985	False	blood	early	nucleotide_transformer
3154	-0.7992874	0.0	0.7992874	-3.88361	0.00010552974	0.5403123	False	blood	early	nucleotide_transformer
2940	-0.7981907	0.0	0.7981907	-3.8836088	0.000105530286	0.54031503	False	blood	early	nucleotide_transformer
4489	-0.79818726	0.0	0.79818726	-3.883608	0.000105530584	0.5403166	False	blood	early	nucleotide_transformer
2020	-0.79816586	0.0	0.79816586	-3.8836074	0.000105530875	0.5403181	False	blood	early	nucleotide_transformer
2490	2.8008423	188.26953	185.46869	3.885007	0.00011294744	0.5782909	False	blood	early	nucleotide_transformer
2818	-0.74476427	0.0	0.74476427	-3.7512708	0.00017985557	0.9208605	False	blood	early	nucleotide_transformer
4659	-0.7456869	0.0	0.7456869	-3.7511768	0.00017992254	0.92120343	False	blood	early	nucleotide_transformer
2957	-0.7456471	0.0	0.7456471	-3.7511766	0.00017992256	0.9212035	False	blood	early	nucleotide_transformer
382	-0.7456535	0.0	0.7456535	-3.7511764	0.00017992275	0.92120445	False	blood	early	nucleotide_transformer
1279	-0.74581224	0.0	0.74581224	-3.7511747	0.00017992398	0.92121077	False	blood	early	nucleotide_transformer
352	-0.7454821	0.0	0.7454821	-3.751173	0.00017992518	0.9212169	False	blood	early	nucleotide_transformer
3931	-0.7455357	0.0	0.7455357	-3.7511718	0.0001799262	0.9212221	False	blood	early	nucleotide_transformer
320	-0.7453741	0.0	0.7453741	-3.751171	0.00017992665	0.9212244	False	blood	early	nucleotide_transformer
827	-0.74515116	0.0	0.74515116	-3.7511685	0.00017992857	0.92123425	False	blood	early	nucleotide_transformer
1538	-0.7462394	0.0	0.7462394	-3.7511685	0.00017992857	0.92123425	False	blood	early	nucleotide_transformer
3205	-0.7452225	0.0	0.7452225	-3.7511685	0.00017992857	0.92123425	False	blood	early	nucleotide_transformer
3233	-0.7452275	0.0	0.7452275	-3.7511678	0.000179929	0.9212365	False	blood	early	nucleotide_transformer
3881	-0.7450219	0.0	0.7450219	-3.7511647	0.0001799312	0.9212477	False	blood	early	nucleotide_transformer
1034	-0.7461332	0.0	0.7461332	-3.7511587	0.0001799356	0.92127025	False	blood	early	nucleotide_transformer
3550	2.598465	172.6022	170.00374	3.761929	0.000182744	0.9356493	False	blood	early	nucleotide_transformer
4421	4.9723053	156.55252	151.58022	3.7243063	0.0002100439	1.0	False	blood	early	nucleotide_transformer
184	5.026306	526.5091	521.4828	3.7146587	0.00022232255	1.0	False	blood	early	nucleotide_transformer
3408	10.491707	120.30151	109.80981	3.6694655	0.00025854266	1.0	False	blood	early	nucleotide_transformer
3545	-0.6929471	0.0	0.6929471	-3.6140263	0.00030730484	1.0	False	blood	early	nucleotide_transformer
2679	-0.6929476	0.0	0.6929476	-3.614026	0.00030730484	1.0	False	blood	early	nucleotide_transformer
5099	-0.6916805	0.0	0.6916805	-3.6140223	0.00030730924	1.0	False	blood	early	nucleotide_transformer
310	-0.69224215	0.0	0.69224215	-3.6140156	0.00030731724	1.0	False	blood	early	nucleotide_transformer
4939	-0.6921814	0.0	0.6921814	-3.6140137	0.00030731928	1.0	False	blood	early	nucleotide_transformer
759	-0.6921902	0.0	0.6921902	-3.6140134	0.00030731963	1.0	False	blood	early	nucleotide_transformer
4881	-0.692172	0.0	0.692172	-3.6140134	0.00030731963	1.0	False	blood	early	nucleotide_transformer
3773	-0.6921987	0.0	0.6921987	-3.6140132	0.00030732006	1.0	False	blood	early	nucleotide_transformer
4344	-0.6921027	0.0	0.6921027	-3.6140122	0.00030732082	1.0	False	blood	early	nucleotide_transformer
1987	-0.69207746	0.0	0.69207746	-3.6140115	0.0003073221	1.0	False	blood	early	nucleotide_transformer
3764	-0.6920763	0.0	0.6920763	-3.6140115	0.0003073221	1.0	False	blood	early	nucleotide_transformer
3014	-0.6915149	0.0	0.6915149	-3.6140108	0.0003073229	1.0	False	blood	early	nucleotide_transformer
1515	-0.69199955	0.0	0.69199955	-3.6140096	0.00030732396	1.0	False	blood	early	nucleotide_transformer
1237	-0.6914807	0.0	0.6914807	-3.6140094	0.00030732443	1.0	False	blood	early	nucleotide_transformer
4225	-0.6914986	0.0	0.6914986	-3.6140091	0.0003073245	1.0	False	blood	early	nucleotide_transformer
2864	-0.692093	0.0	0.692093	-3.6140091	0.0003073245	1.0	False	blood	early	nucleotide_transformer
4522	-0.69196016	0.0	0.69196016	-3.614009	0.00030732522	1.0	False	blood	early	nucleotide_transformer
5095	-0.6921513	0.0	0.6921513	-3.6140058	0.00030732882	1.0	False	blood	early	nucleotide_transformer
3683	-0.6913294	0.0	0.6913294	-3.6140053	0.00030732926	1.0	False	blood	early	nucleotide_transformer
4703	-0.6917916	0.0	0.6917916	-3.6140046	0.00030733005	1.0	False	blood	early	nucleotide_transformer
409	-0.69181156	0.0	0.69181156	-3.6140044	0.0003073304	1.0	False	blood	early	nucleotide_transformer
3465	2.4252625	175.16563	172.74037	3.4879434	0.0005189307	1.0	False	blood	early	nucleotide_transformer
3091	-0.63881284	0.0	0.63881284	-3.4716146	0.0005259325	1.0	False	blood	early	nucleotide_transformer
1354	-0.63880324	0.0	0.63880324	-3.4716141	0.00052593386	1.0	False	blood	early	nucleotide_transformer
4044	-0.63881546	0.0	0.63881546	-3.4716144	0.00052593386	1.0	False	blood	early	nucleotide_transformer
3782	-0.6387952	0.0	0.6387952	-3.4716144	0.00052593386	1.0	False	blood	early	nucleotide_transformer
3389	-0.6387507	0.0	0.6387507	-3.471613	0.0005259366	1.0	False	blood	early	nucleotide_transformer
731	-0.63872796	0.0	0.63872796	-3.4716127	0.00052593707	1.0	False	blood	early	nucleotide_transformer
1582	-0.638556	0.0	0.638556	-3.4716082	0.00052594574	1.0	False	blood	early	nucleotide_transformer
2051	-0.6385336	0.0	0.6385336	-3.4716067	0.0005259485	1.0	False	blood	early	nucleotide_transformer
