feature_id	cds	vitro_mean	vivo_mean	t_stat	pval	pval_bonf	significant	pair	layer	model
3465	1.8071289	173.58507	171.77794	3.2215667	0.0013017039	1.0	False	liver	early	nucleotide_transformer
2904	1.7999573	186.9195	185.11954	3.00164	0.0027361899	1.0	False	liver	early	nucleotide_transformer
1025	1.6230774	186.88121	185.25813	2.7726853	0.0056382846	1.0	False	liver	early	nucleotide_transformer
2490	1.3209534	186.08244	184.76149	2.572326	0.0102069555	1.0	False	liver	early	nucleotide_transformer
297	1.1655579	174.80449	173.63893	2.4837554	0.013117631	1.0	False	liver	early	nucleotide_transformer
3251	1.4919891	186.3016	184.80962	2.4433155	0.014686283	1.0	False	liver	early	nucleotide_transformer
3550	1.2895355	170.68349	169.39395	2.4343612	0.0150378905	1.0	False	liver	early	nucleotide_transformer
2069	-0.64631575	0.0	0.64631575	-2.2403572	0.02527646	1.0	False	liver	early	nucleotide_transformer
2016	-0.64698666	0.0	0.64698666	-2.240329	0.025278287	1.0	False	liver	early	nucleotide_transformer
2612	-0.64673597	0.0	0.64673597	-2.240329	0.025278287	1.0	False	liver	early	nucleotide_transformer
3570	-0.6467636	0.0	0.6467636	-2.2403286	0.025278306	1.0	False	liver	early	nucleotide_transformer
2892	-0.64673245	0.0	0.64673245	-2.2403283	0.025278334	1.0	False	liver	early	nucleotide_transformer
1742	-0.64674145	0.0	0.64674145	-2.2403276	0.02527838	1.0	False	liver	early	nucleotide_transformer
4588	-0.6466445	0.0	0.6466445	-2.2403271	0.025278412	1.0	False	liver	early	nucleotide_transformer
1763	-0.6466926	0.0	0.6466926	-2.240327	0.025278434	1.0	False	liver	early	nucleotide_transformer
1210	-0.6465874	0.0	0.6465874	-2.2403266	0.025278442	1.0	False	liver	early	nucleotide_transformer
774	-0.646786	0.0	0.646786	-2.2403235	0.025278643	1.0	False	liver	early	nucleotide_transformer
1041	-0.64668816	0.0	0.64668816	-2.2403216	0.025278771	1.0	False	liver	early	nucleotide_transformer
338	-0.6465166	0.0	0.6465166	-2.2403178	0.025279019	1.0	False	liver	early	nucleotide_transformer
3409	1.2334116	1.3626833	0.1292717	2.1682026	0.030498441	1.0	False	liver	early	nucleotide_transformer
1939	1.1394501	191.63402	190.49457	2.121813	0.034034554	1.0	False	liver	early	nucleotide_transformer
4969	3.707306	146.00034	142.29303	2.065344	0.039077103	1.0	False	liver	early	nucleotide_transformer
3620	4.7442856	14.980989	10.236704	2.0315223	0.04245039	1.0	False	liver	early	nucleotide_transformer
1725	0.90831	0.90831	0.0	2.0050364	0.045410108	1.0	False	liver	early	nucleotide_transformer
5075	0.9082753	0.9082753	0.0	2.0050364	0.045410108	1.0	False	liver	early	nucleotide_transformer
157	0.9080647	0.9080647	0.0	2.005034	0.045410357	1.0	False	liver	early	nucleotide_transformer
3702	-0.5172101	0.0	0.5172101	-2.002885	0.04544658	1.0	False	liver	early	nucleotide_transformer
2969	-0.5172154	0.0	0.5172154	-2.002885	0.04544658	1.0	False	liver	early	nucleotide_transformer
2085	-0.51724863	0.0	0.51724863	-2.0028849	0.045446604	1.0	False	liver	early	nucleotide_transformer
2185	-0.5171301	0.0	0.5171301	-2.0028844	0.04544663	1.0	False	liver	early	nucleotide_transformer
1386	-0.5171762	0.0	0.5171762	-2.0028844	0.04544663	1.0	False	liver	early	nucleotide_transformer
4877	-0.517158	0.0	0.517158	-2.0028841	0.045446668	1.0	False	liver	early	nucleotide_transformer
5107	-0.5171132	0.0	0.5171132	-2.0028841	0.045446668	1.0	False	liver	early	nucleotide_transformer
4145	-0.5170946	0.0	0.5170946	-2.0028837	0.04544673	1.0	False	liver	early	nucleotide_transformer
3542	-0.5170803	0.0	0.5170803	-2.0028837	0.04544673	1.0	False	liver	early	nucleotide_transformer
4836	-0.51706743	0.0	0.51706743	-2.0028837	0.04544673	1.0	False	liver	early	nucleotide_transformer
2319	-0.5170966	0.0	0.5170966	-2.0028834	0.045446757	1.0	False	liver	early	nucleotide_transformer
1573	-0.51704425	0.0	0.51704425	-2.0028832	0.045446783	1.0	False	liver	early	nucleotide_transformer
4159	-0.51701105	0.0	0.51701105	-2.0028832	0.045446783	1.0	False	liver	early	nucleotide_transformer
3846	-0.51726425	0.0	0.51726425	-2.002883	0.04544682	1.0	False	liver	early	nucleotide_transformer
2603	-0.5170194	0.0	0.5170194	-2.0028827	0.045446835	1.0	False	liver	early	nucleotide_transformer
1347	-0.51696837	0.0	0.51696837	-2.0028825	0.045446847	1.0	False	liver	early	nucleotide_transformer
3242	-0.51693577	0.0	0.51693577	-2.0028818	0.04544691	1.0	False	liver	early	nucleotide_transformer
2592	-0.51679593	0.0	0.51679593	-2.00288	0.045447107	1.0	False	liver	early	nucleotide_transformer
1923	-0.51726544	0.0	0.51726544	-2.0028775	0.04544738	1.0	False	liver	early	nucleotide_transformer
4107	-0.5174979	0.0	0.5174979	-2.002868	0.04544841	1.0	False	liver	early	nucleotide_transformer
561	-0.5174915	0.0	0.5174915	-2.0028672	0.045448493	1.0	False	liver	early	nucleotide_transformer
3396	-0.51747894	0.0	0.51747894	-2.002867	0.04544853	1.0	False	liver	early	nucleotide_transformer
3510	-0.51737744	0.0	0.51737744	-2.002867	0.04544853	1.0	False	liver	early	nucleotide_transformer
482	-0.5174905	0.0	0.5174905	-2.0028667	0.04544853	1.0	False	liver	early	nucleotide_transformer
4403	-0.5174479	0.0	0.5174479	-2.002867	0.04544853	1.0	False	liver	early	nucleotide_transformer
858	-0.51737714	0.0	0.51737714	-2.0028663	0.045448586	1.0	False	liver	early	nucleotide_transformer
2976	-0.5174932	0.0	0.5174932	-2.0028663	0.045448586	1.0	False	liver	early	nucleotide_transformer
