feature_id	cds	vitro_mean	vivo_mean	t_stat	pval	pval_bonf	significant	pair	layer	model
4508	6.775345	196.1634	189.38806	5.896047	5.7246154e-09	2.9310031e-05	True	blood	late	nucleotide_transformer
561	-20.572296	351.8943	372.46658	-5.7298493	1.4222338e-08	7.281837e-05	True	blood	late	nucleotide_transformer
1037	-22.793823	478.2335	501.0273	-5.5559754	3.7401154e-08	0.0001914939	True	blood	late	nucleotide_transformer
2289	17.002419	27.427765	10.425347	5.540795	4.4101327e-08	0.0002257988	True	blood	late	nucleotide_transformer
2264	-22.980736	121.646996	144.62773	-5.5258846	4.514093e-08	0.00023112155	True	blood	late	nucleotide_transformer
1295	-22.984589	478.46085	501.44543	-5.46	6.3085324e-08	0.00032299687	True	blood	late	nucleotide_transformer
3239	26.207283	111.98251	85.77523	5.460499	6.447778e-08	0.00033012623	True	blood	late	nucleotide_transformer
4588	-21.558594	423.02847	444.58707	-5.427359	7.5436134e-08	0.000386233	True	blood	late	nucleotide_transformer
2150	-20.503296	340.0369	360.5402	-5.419164	7.897615e-08	0.00040435788	True	blood	late	nucleotide_transformer
3854	-20.182007	357.6523	377.83432	-5.3546596	1.11809534e-07	0.00057246484	True	blood	late	nucleotide_transformer
3796	-21.38861	346.99393	368.38254	-5.347186	1.1603326e-07	0.0005940903	True	blood	late	nucleotide_transformer
4246	-20.608673	391.47205	412.08072	-5.299977	1.4900566e-07	0.00076290895	True	blood	late	nucleotide_transformer
3476	-19.714325	370.83267	390.547	-5.2720184	1.7280324e-07	0.0008847526	True	blood	late	nucleotide_transformer
373	-20.394531	402.00534	422.39987	-5.2477436	1.9573889e-07	0.0010021832	True	blood	late	nucleotide_transformer
246	-18.83664	395.77197	414.6086	-5.1765685	2.8458763e-07	0.0014570886	True	blood	late	nucleotide_transformer
1620	24.332153	129.38393	105.05177	5.150421	3.3117877e-07	0.0016956353	True	blood	late	nucleotide_transformer
157	-18.756622	321.7838	340.54044	-5.108687	4.0206345e-07	0.002058565	True	blood	late	nucleotide_transformer
2019	-19.654938	425.87653	445.53146	-5.1062107	4.097941e-07	0.002098146	True	blood	late	nucleotide_transformer
2852	16.839916	29.712975	12.873057	5.0098023	7.0382043e-07	0.0036035606	True	blood	late	nucleotide_transformer
4987	-9.39362	9.569317	18.962936	-4.9051604	1.0846128e-06	0.0055532176	True	blood	late	nucleotide_transformer
3187	-13.307508	24.79017	38.09768	-4.845699	1.4854039e-06	0.007605268	True	blood	late	nucleotide_transformer
104	-16.842957	320.69003	337.533	-4.737821	2.5349675e-06	0.012979033	True	blood	late	nucleotide_transformer
717	-13.522743	28.484123	42.006866	-4.680023	3.3183346e-06	0.016989874	True	blood	late	nucleotide_transformer
1244	-8.053979	8.346066	16.400045	-4.4120545	1.1318117e-05	0.057948757	False	blood	late	nucleotide_transformer
1119	-12.114456	198.72046	210.83492	-4.2367725	2.5680858e-05	0.131486	False	blood	late	nucleotide_transformer
