feature_id	cds	vitro_mean	vivo_mean	t_stat	pval	pval_bonf	significant	pair	layer	model
1297	10.921856	40.064323	29.142467	3.1251185	0.0018231735	1.0	False	liver	late	nucleotide_transformer
4903	2.5422044	3.227426	0.68522155	2.3363016	0.019743823	1.0	False	liver	late	nucleotide_transformer
2387	2.1763136	2.3690448	0.19273123	2.2471867	0.024964511	1.0	False	liver	late	nucleotide_transformer
819	1.725554	2.2017376	0.47618362	2.0919924	0.036774207	1.0	False	liver	late	nucleotide_transformer
4631	-0.70504695	0.0	0.70504695	-1.9539491	0.050972678	1.0	False	liver	late	nucleotide_transformer
4588	-8.163239	435.15765	443.3209	-1.8257848	0.06812261	1.0	False	liver	late	nucleotide_transformer
1444	-0.40610757	0.0	0.40610757	-1.7337158	0.08326234	1.0	False	liver	late	nucleotide_transformer
368	0.8290689	0.8290689	0.0	1.7155063	0.08677128	1.0	False	liver	late	nucleotide_transformer
1037	-7.8120117	491.79483	499.60684	-1.6953288	0.09026312	1.0	False	liver	late	nucleotide_transformer
373	-7.499542	413.48663	420.98618	-1.687543	0.09174883	1.0	False	liver	late	nucleotide_transformer
1295	-8.040863	492.15128	500.19214	-1.6836674	0.09249722	1.0	False	liver	late	nucleotide_transformer
4246	-7.216278	403.5997	410.81598	-1.6549253	0.0981897	1.0	False	liver	late	nucleotide_transformer
2019	-6.968994	437.28238	444.25137	-1.6334903	0.10261665	1.0	False	liver	late	nucleotide_transformer
246	-6.544342	406.76453	413.30887	-1.6040938	0.10894429	1.0	False	liver	late	nucleotide_transformer
1705	-5.6733093	121.779366	127.452675	-1.5933659	0.111347474	1.0	False	liver	late	nucleotide_transformer
3476	-6.605194	382.68015	389.28534	-1.5812303	0.11407791	1.0	False	liver	late	nucleotide_transformer
324	-5.5178604	125.21932	130.73718	-1.5402405	0.12377029	1.0	False	liver	late	nucleotide_transformer
2150	-6.40271	353.03833	359.44104	-1.5322592	0.12571102	1.0	False	liver	late	nucleotide_transformer
3854	-6.228882	370.43958	376.66846	-1.5165938	0.12961815	1.0	False	liver	late	nucleotide_transformer
2840	-6.011261	78.05026	84.06152	-1.4841934	0.13801451	1.0	False	liver	late	nucleotide_transformer
540	-1.3284606	1.3673283	2.6957889	-1.4431272	0.14918002	1.0	False	liver	late	nucleotide_transformer
2998	1.5172119	3.5675552	2.0503433	1.4431998	0.14927787	1.0	False	liver	late	nucleotide_transformer
3393	1.5174325	3.568408	2.0509756	1.4430437	0.14932176	1.0	False	liver	late	nucleotide_transformer
3894	0.47386593	0.47386593	0.0	1.4154093	0.1574699	1.0	False	liver	late	nucleotide_transformer
4495	0.47345695	0.47345695	0.0	1.4154081	0.15747027	1.0	False	liver	late	nucleotide_transformer
2215	0.47336712	0.47336712	0.0	1.4154073	0.1574705	1.0	False	liver	late	nucleotide_transformer
364	0.47320986	0.47320986	0.0	1.4154067	0.15747069	1.0	False	liver	late	nucleotide_transformer
2214	0.47332212	0.47332212	0.0	1.4154066	0.15747072	1.0	False	liver	late	nucleotide_transformer
3743	0.4731037	0.4731037	0.0	1.415406	0.1574709	1.0	False	liver	late	nucleotide_transformer
4771	0.47307813	0.47307813	0.0	1.4154056	0.157471	1.0	False	liver	late	nucleotide_transformer
2518	0.47315106	0.47315106	0.0	1.4154054	0.15747108	1.0	False	liver	late	nucleotide_transformer
1232	0.47567514	0.47567514	0.0	1.415396	0.15747385	1.0	False	liver	late	nucleotide_transformer
5016	0.4748485	0.4748485	0.0	1.4153917	0.15747514	1.0	False	liver	late	nucleotide_transformer
2499	0.47487444	0.47487444	0.0	1.4153912	0.15747523	1.0	False	liver	late	nucleotide_transformer
1764	-0.57651854	0.23890804	0.8154266	-1.4092122	0.15896167	1.0	False	liver	late	nucleotide_transformer
1566	0.52391446	0.52391446	0.0	1.4102986	0.15897232	1.0	False	liver	late	nucleotide_transformer
3796	-6.180969	361.26822	367.4492	-1.404828	0.16031663	1.0	False	liver	late	nucleotide_transformer
4219	-0.7446237	0.48133487	1.2259586	-1.4037663	0.160579	1.0	False	liver	late	nucleotide_transformer
2289	3.2840796	13.956987	10.672908	1.3935418	0.16373648	1.0	False	liver	late	nucleotide_transformer
2560	1.4158827	3.3298278	1.9139451	1.392934	0.16394974	1.0	False	liver	late	nucleotide_transformer
2261	1.4162424	3.3307126	1.9144702	1.3929127	0.1639562	1.0	False	liver	late	nucleotide_transformer
1730	-0.95158094	0.9523353	1.9039162	-1.3715997	0.17038415	1.0	False	liver	late	nucleotide_transformer
4395	-4.9872284	114.21156	119.19879	-1.368033	0.17155929	1.0	False	liver	late	nucleotide_transformer
2843	1.0920637	1.0920637	0.0	1.3660331	0.1724429	1.0	False	liver	late	nucleotide_transformer
1484	0.57956654	0.715689	0.13612245	1.3341802	0.18256135	1.0	False	liver	late	nucleotide_transformer
1040	0.57985604	0.71605927	0.13620323	1.3341469	0.18257223	1.0	False	liver	late	nucleotide_transformer
4303	0.68136334	0.9527398	0.2713764	1.329658	0.18401217	1.0	False	liver	late	nucleotide_transformer
4024	-3.77034	146.7282	150.49854	-1.3217944	0.18650085	1.0	False	liver	late	nucleotide_transformer
94	1.3848214	3.5701509	2.1853294	1.3061373	0.19179969	1.0	False	liver	late	nucleotide_transformer
5071	-0.98773146	1.1919403	2.1796718	-1.3026296	0.19289644	1.0	False	liver	late	nucleotide_transformer
157	-5.316681	334.25797	339.57465	-1.3020141	0.1931427	1.0	False	liver	late	nucleotide_transformer
