feature_id	cds	vitro_mean	vivo_mean	t_stat	pval	pval_bonf	significant	pair	layer	model
1730	1.388238	1.388238	0.0	3.621877	0.00030345065	1.0	False	lymph	late	nucleotide_transformer
4219	1.3906977	1.3906977	0.0	3.6218288	0.00030350676	1.0	False	lymph	late	nucleotide_transformer
3290	1.2850777	1.2850777	0.0	3.4784184	0.00052062643	1.0	False	lymph	late	nucleotide_transformer
1184	1.285764	1.285764	0.0	3.4784143	0.0005206344	1.0	False	lymph	late	nucleotide_transformer
4891	1.1803153	1.1803153	0.0	3.3290977	0.0008950717	1.0	False	lymph	late	nucleotide_transformer
3494	1.176978	1.176978	0.0	3.3290927	0.0008950893	1.0	False	lymph	late	nucleotide_transformer
1538	2.0910554	2.4610898	0.37003434	3.3231773	0.0009102867	1.0	False	lymph	late	nucleotide_transformer
5112	1.0714914	1.0714914	0.0	3.1730022	0.0015431609	1.0	False	lymph	late	nucleotide_transformer
221	1.0713178	1.0713178	0.0	3.1729963	0.0015431935	1.0	False	lymph	late	nucleotide_transformer
2633	1.0734718	1.0734718	0.0	3.1729589	0.0015433902	1.0	False	lymph	late	nucleotide_transformer
2057	1.0731037	1.0731037	0.0	3.1729515	0.0015434292	1.0	False	lymph	late	nucleotide_transformer
3863	1.0735787	1.0735787	0.0	3.1729507	0.0015434332	1.0	False	lymph	late	nucleotide_transformer
947	1.0735439	1.0735439	0.0	3.1729481	0.0015434478	1.0	False	lymph	late	nucleotide_transformer
4422	0.9662183	0.9662183	0.0	3.0090292	0.0026700278	1.0	False	lymph	late	nucleotide_transformer
1298	0.96381927	0.96381927	0.0	3.0090218	0.002670093	1.0	False	lymph	late	nucleotide_transformer
4237	0.96247876	0.96247876	0.0	3.0090191	0.0026701165	1.0	False	lymph	late	nucleotide_transformer
3699	0.96400887	0.96400887	0.0	3.0090165	0.00267014	1.0	False	lymph	late	nucleotide_transformer
3506	0.9626381	0.9626381	0.0	3.0090125	0.0026701768	1.0	False	lymph	late	nucleotide_transformer
3917	0.9625564	0.9625564	0.0	3.0090106	0.002670193	1.0	False	lymph	late	nucleotide_transformer
2536	0.9647429	0.9647429	0.0	3.0090063	0.0026702299	1.0	False	lymph	late	nucleotide_transformer
2178	0.9643069	0.9643069	0.0	3.0089962	0.0026703188	1.0	False	lymph	late	nucleotide_transformer
3377	0.9674823	0.9674823	0.0	3.0089862	0.0026704036	1.0	False	lymph	late	nucleotide_transformer
4795	0.96670955	0.96670955	0.0	3.0089846	0.0026704196	1.0	False	lymph	late	nucleotide_transformer
3957	0.85890037	0.85890037	0.0	2.8358788	0.0046390425	1.0	False	lymph	late	nucleotide_transformer
238	0.8582309	0.8582309	0.0	2.8358765	0.0046390817	1.0	False	lymph	late	nucleotide_transformer
4963	0.8581049	0.8581049	0.0	2.8358746	0.0046391063	1.0	False	lymph	late	nucleotide_transformer
2750	0.8582822	0.8582822	0.0	2.835872	0.004639145	1.0	False	lymph	late	nucleotide_transformer
310	0.85618985	0.85618985	0.0	2.8358572	0.0046393555	1.0	False	lymph	late	nucleotide_transformer
825	0.8563981	0.8563981	0.0	2.8358567	0.0046393652	1.0	False	lymph	late	nucleotide_transformer
3564	0.85567695	0.85567695	0.0	2.835854	0.004639404	1.0	False	lymph	late	nucleotide_transformer
3130	0.85535574	0.85535574	0.0	2.8358495	0.0046394677	1.0	False	lymph	late	nucleotide_transformer
3732	0.8558982	0.8558982	0.0	2.835846	0.0046395157	1.0	False	lymph	late	nucleotide_transformer
2147	0.85317796	0.85317796	0.0	2.8358407	0.004639595	1.0	False	lymph	late	nucleotide_transformer
4968	0.8558772	0.8558772	0.0	2.8358343	0.0046396875	1.0	False	lymph	late	nucleotide_transformer
2144	1.5595039	1.9299719	0.37046802	2.6684628	0.0077046524	1.0	False	lymph	late	nucleotide_transformer
2733	1.5592725	1.9301348	0.37086225	2.6667979	0.0077427956	1.0	False	lymph	late	nucleotide_transformer
2373	1.561019	1.9329356	0.37191665	2.6643922	0.007798215	1.0	False	lymph	late	nucleotide_transformer
4213	0.74860936	0.74860936	0.0	2.6517045	0.008103629	1.0	False	lymph	late	nucleotide_transformer
