feature_id	cds	vitro_mean	vivo_mean	t_stat	pval	pval_bonf	significant	pair	layer	model
2268	45.690796	118.83252	73.14172	10.142393	9.750135e-23	4.992069e-19	True	blood	mid	nucleotide_transformer
2932	17.52893	819.82996	802.301	9.073554	1.1322646e-18	5.7971947e-15	True	blood	mid	nucleotide_transformer
3498	46.46557	78.298	31.832426	9.072615	1.4077036e-18	7.207442e-15	True	blood	mid	nucleotide_transformer
3380	16.718567	836.60645	819.8879	8.961177	2.7919163e-18	1.4294611e-14	True	blood	mid	nucleotide_transformer
4841	52.960686	91.038925	38.07824	8.85489	8.170001e-18	4.1830404e-14	True	blood	mid	nucleotide_transformer
3831	49.587585	115.98772	66.40013	8.784463	1.2529683e-17	6.415198e-14	True	blood	mid	nucleotide_transformer
3321	32.506058	62.20144	29.69538	8.782261	1.2871685e-17	6.5903026e-14	True	blood	mid	nucleotide_transformer
4601	17.687439	932.5866	914.8992	8.720551	1.9105819e-17	9.7821795e-14	True	blood	mid	nucleotide_transformer
1353	37.825333	59.104767	21.279434	8.730447	2.2496973e-17	1.151845e-13	True	blood	mid	nucleotide_transformer
3909	50.079254	159.21791	109.13866	8.632966	3.8793345e-17	1.9862192e-13	True	blood	mid	nucleotide_transformer
2524	43.890877	77.38287	33.491997	8.393077	3.0128528e-16	1.5425806e-12	True	blood	mid	nucleotide_transformer
221	24.019732	34.300045	10.2803135	8.366421	3.8672777e-16	1.9800461e-12	True	blood	mid	nucleotide_transformer
891	16.836731	943.9363	927.09955	8.327559	4.1329313e-16	2.1160608e-12	True	blood	mid	nucleotide_transformer
3366	38.093803	54.733715	16.639914	8.352584	4.430956e-16	2.2686495e-12	True	blood	mid	nucleotide_transformer
2408	22.576294	758.6478	736.07153	8.228522	9.43199e-16	4.829179e-12	True	blood	mid	nucleotide_transformer
2572	28.042442	59.86067	31.818226	7.856055	1.5160946e-14	7.7624046e-11	True	blood	mid	nucleotide_transformer
4173	22.95494	36.493835	13.538895	7.832161	1.9795441e-14	1.0135266e-10	True	blood	mid	nucleotide_transformer
242	43.368446	92.72372	49.35527	7.823885	2.0240779e-14	1.0363279e-10	True	blood	mid	nucleotide_transformer
2635	26.50278	60.33927	33.83649	7.663268	6.007881e-14	3.076035e-10	True	blood	mid	nucleotide_transformer
42	26.615467	62.520397	35.90493	7.6417437	6.957845e-14	3.5624168e-10	True	blood	mid	nucleotide_transformer
340	40.344746	79.5684	39.22365	7.5272126	1.7200256e-13	8.806531e-10	True	blood	mid	nucleotide_transformer
3008	25.662952	58.126823	32.46387	7.4810257	2.2083632e-13	1.130682e-09	True	blood	mid	nucleotide_transformer
4175	26.564674	64.865036	38.30036	7.4715986	2.3269787e-13	1.1914131e-09	True	blood	mid	nucleotide_transformer
1785	22.82373	38.243008	15.419278	7.460465	2.769601e-13	1.4180357e-09	True	blood	mid	nucleotide_transformer
2379	27.043873	86.50715	59.463276	7.1025186	2.8745047e-12	1.4717464e-08	True	blood	mid	nucleotide_transformer
2994	26.130386	78.34984	52.21945	7.05192	4.052175e-12	2.0747136e-08	True	blood	mid	nucleotide_transformer
2813	25.093033	32.808422	7.7153897	7.0776677	4.1184534e-12	2.1086482e-08	True	blood	mid	nucleotide_transformer
421	23.31095	51.63044	28.31949	6.9527507	8.279525e-12	4.2391164e-08	True	blood	mid	nucleotide_transformer
2205	25.17313	73.34076	48.16763	6.9370475	8.798277e-12	4.504718e-08	True	blood	mid	nucleotide_transformer
3263	21.434845	45.65556	24.220715	6.9425077	8.850318e-12	4.5313627e-08	True	blood	mid	nucleotide_transformer
317	42.23443	123.0957	80.861275	6.932871	9.391602e-12	4.8085003e-08	True	blood	mid	nucleotide_transformer
2236	24.706146	72.83895	48.132805	6.807441	2.0671858e-11	1.05839916e-07	True	blood	mid	nucleotide_transformer
2997	26.325676	84.76602	58.440346	6.806004	2.0787453e-11	1.0643176e-07	True	blood	mid	nucleotide_transformer
1338	15.982282	23.551231	7.5689497	6.6143556	7.998245e-11	4.0951016e-07	True	blood	mid	nucleotide_transformer
517	22.690067	56.587296	33.89723	6.543095	1.15655825e-10	5.9215785e-07	True	blood	mid	nucleotide_transformer
3250	19.689518	37.629078	17.93956	6.509522	1.4794663e-10	7.5748676e-07	True	blood	mid	nucleotide_transformer
3792	20.573824	49.721313	29.14749	6.4704933	1.8188694e-10	9.312611e-07	True	blood	mid	nucleotide_transformer
1498	-16.81318	18.103975	34.917156	-6.421949	2.0793435e-10	1.0646239e-06	True	blood	mid	nucleotide_transformer
4786	24.345661	87.95932	63.61366	6.3741755	3.2111006e-10	1.6440835e-06	True	blood	mid	nucleotide_transformer
1177	18.653658	35.566765	16.913107	6.3048563	5.243119e-10	2.684477e-06	True	blood	mid	nucleotide_transformer
1160	18.74005	42.761063	24.021013	6.2816	5.865902e-10	3.003342e-06	True	blood	mid	nucleotide_transformer
1303	21.948586	67.054855	45.10627	5.967528	3.7657104e-09	1.9280436e-05	True	blood	mid	nucleotide_transformer
384	16.107313	34.94954	18.842226	5.7875066	1.0831483e-08	5.5457196e-05	True	blood	mid	nucleotide_transformer
4326	19.33435	58.7642	39.429848	5.7184186	1.565634e-08	8.016046e-05	True	blood	mid	nucleotide_transformer
3424	26.850807	105.73521	78.8844	5.355582	1.1288245e-07	0.0005779581	True	blood	mid	nucleotide_transformer
4745	11.112065	13.053762	1.9416969	5.326286	1.4377628e-07	0.00073613453	True	blood	mid	nucleotide_transformer
1840	12.687627	15.197083	2.5094566	5.309025	1.572229e-07	0.0008049812	True	blood	mid	nucleotide_transformer
2874	9.004719	11.425561	2.4208426	5.2390847	2.2414778e-07	0.0011476367	True	blood	mid	nucleotide_transformer
4214	-15.214233	81.32599	96.54022	-4.9989944	7.1938655e-07	0.0036832592	True	blood	mid	nucleotide_transformer
2629	-14.919609	81.56311	96.48272	-4.905733	1.1440171e-06	0.0058573675	True	blood	mid	nucleotide_transformer
875	-14.781639	81.53822	96.31986	-4.860767	1.426763e-06	0.0073050265	True	blood	mid	nucleotide_transformer
3628	10.018223	11.4661	1.4478767	4.8437862	1.6425493e-06	0.008409852	True	blood	mid	nucleotide_transformer
1705	-14.672943	81.56571	96.238655	-4.8227854	1.7171296e-06	0.008791704	True	blood	mid	nucleotide_transformer
72	9.83736	11.278194	1.4408344	4.8264775	1.785373e-06	0.00914111	True	blood	mid	nucleotide_transformer
2085	7.5871916	9.871193	2.2840014	4.7779346	2.228239e-06	0.011408584	True	blood	mid	nucleotide_transformer
1057	-14.388245	80.96997	95.358215	-4.7057405	3.014164e-06	0.015432519	True	blood	mid	nucleotide_transformer
707	8.663036	13.409312	4.746276	4.7023497	3.159662e-06	0.016177468	True	blood	mid	nucleotide_transformer
472	-14.178902	79.62271	93.80161	-4.621749	4.4787116e-06	0.022931004	True	blood	mid	nucleotide_transformer
1767	-14.164604	79.3855	93.5501	-4.6125264	4.675864e-06	0.023940425	True	blood	mid	nucleotide_transformer
2023	-14.101227	79.85185	93.95308	-4.6008697	4.938419e-06	0.025284704	True	blood	mid	nucleotide_transformer
688	-14.096428	79.13302	93.22945	-4.586507	5.2789646e-06	0.0270283	True	blood	mid	nucleotide_transformer
2453	-14.06974	79.33995	93.40969	-4.5836463	5.350057e-06	0.027392292	True	blood	mid	nucleotide_transformer
3269	-13.959602	79.37632	93.33592	-4.545206	6.39367e-06	0.03273559	True	blood	mid	nucleotide_transformer
5026	-13.936348	79.88702	93.823364	-4.5442905	6.42197e-06	0.032880485	True	blood	mid	nucleotide_transformer
161	-13.927391	79.62375	93.55114	-4.538287	6.6016833e-06	0.033800617	True	blood	mid	nucleotide_transformer
4851	8.726446	10.190489	1.4640428	4.523282	7.3999536e-06	0.037887763	True	blood	mid	nucleotide_transformer
4107	-13.741325	80.12558	93.866905	-4.484104	8.466573e-06	0.043348853	True	blood	mid	nucleotide_transformer
1431	-13.6957245	79.11289	92.80862	-4.455093	9.6583135e-06	0.049450565	True	blood	mid	nucleotide_transformer
2049	13.407438	43.268307	29.860868	4.417478	1.1498513e-05	0.058872387	False	blood	mid	nucleotide_transformer
1963	-13.353165	79.3516	92.704765	-4.345975	1.5767517e-05	0.080729686	False	blood	mid	nucleotide_transformer
922	-13.177422	81.589386	94.76681	-4.32186	1.7557704e-05	0.08989544	False	blood	mid	nucleotide_transformer
499	7.6726837	8.641736	0.9690524	4.2490206	2.5092631e-05	0.12847427	False	blood	mid	nucleotide_transformer
4640	-12.715698	80.97065	93.68635	-4.1663227	3.4544548e-05	0.17686808	False	blood	mid	nucleotide_transformer
3136	6.4372263	9.5081625	3.070936	4.112526	4.437703e-05	0.22721039	False	blood	mid	nucleotide_transformer
3889	-12.384285	83.951294	96.33558	-4.1059413	4.4703313e-05	0.22888096	False	blood	mid	nucleotide_transformer
2847	7.2203317	7.991728	0.77139634	4.112595	4.4946686e-05	0.23012704	False	blood	mid	nucleotide_transformer
686	-12.258812	84.45525	96.714066	-4.072479	5.1480045e-05	0.26357782	False	blood	mid	nucleotide_transformer
2901	-12.199661	83.445175	95.64484	-4.0354095	6.010146e-05	0.30771947	False	blood	mid	nucleotide_transformer
4585	-12.148018	84.46059	96.608604	-4.034894	6.0244736e-05	0.30845305	False	blood	mid	nucleotide_transformer
4707	-11.973679	84.96744	96.94112	-3.9847672	7.416164e-05	0.37970757	False	blood	mid	nucleotide_transformer
2710	-11.972107	84.24141	96.21352	-3.9697323	7.888325e-05	0.40388224	False	blood	mid	nucleotide_transformer
1703	-11.928398	84.22101	96.14941	-3.9559	8.3488005e-05	0.42745858	False	blood	mid	nucleotide_transformer
695	-11.913376	83.96253	95.87591	-3.9469268	8.660625e-05	0.443424	False	blood	mid	nucleotide_transformer
1661	-11.951416	81.936264	93.88768	-3.9283772	9.337398e-05	0.4780748	False	blood	mid	nucleotide_transformer
4280	-11.769127	85.29978	97.06891	-3.9157896	9.834267e-05	0.50351447	False	blood	mid	nucleotide_transformer
534	-11.687187	85.203606	96.89079	-3.8929849	0.00010786032	0.55224484	False	blood	mid	nucleotide_transformer
2068	-11.635536	85.19667	96.83221	-3.875824	0.00011558867	0.591814	False	blood	mid	nucleotide_transformer
3162	-11.606537	85.71151	97.31805	-3.8745785	0.000116181334	0.59484845	False	blood	mid	nucleotide_transformer
3230	-11.656357	84.71699	96.373344	-3.8730185	0.00011688999	0.59847677	False	blood	mid	nucleotide_transformer
3943	-11.674805	84.21479	95.889595	-3.870734	0.00011795836	0.6039468	False	blood	mid	nucleotide_transformer
4259	-11.559608	85.69099	97.250595	-3.8595731	0.00012339886	0.63180214	False	blood	mid	nucleotide_transformer
821	-11.625465	84.19589	95.82136	-3.854994	0.00012565004	0.6433282	False	blood	mid	nucleotide_transformer
