alpha	beta	gap_closure_median	gap_closure_mean	gap_closure_std	gap_closure_ci_lo	gap_closure_ci_hi	frac_above_0.5	n_windows	rand_gc_median	ablation_type
1.5	0.0	0.08154290914535522	0.05908751472830773	1.036555495341258	2.7060508728027344e-05	0.24731865525245667	0.29	200	-0.031741827726364136	steering
1.5	0.25	0.0521896630525589	0.061242415010929106	0.791961782274616	0.0	0.17255344986915588	0.265	200	-0.02514946460723877	steering
1.5	0.5	3.196299076080322e-05	-0.07986345753073693	0.9629564823264345	-0.000350266695022583	0.02642614282667635	0.185	200	-0.037569254636764526	steering
2.0	0.0	0.007958471775054932	-0.12165911525487899	1.9840426791650823	0.0	0.10738107562065125	0.295	200	-0.024604231119155884	steering
2.0	0.25	0.04100504517555237	-0.09332110479474068	1.8411745689152867	2.384185791015625e-07	0.1382828950881958	0.285	200	-0.023681432008743286	steering
2.0	0.5	0.11215189099311829	-0.06479957908391952	1.7617360250912237	0.00041687488555908203	0.1710740029811859	0.295	200	-0.024604231119155884	steering
3.0	0.0	0.0	-0.29473583817481996	2.497748501299354	-5.364418029785156e-07	0.0008144080638885498	0.315	200	-0.022490203380584717	steering
3.0	0.25	0.0	-0.300233351290226	2.5308358177385144	-6.02006912231445e-07	0.0020644962787628174	0.31	200	-0.022490203380584717	steering
3.0	0.5	0.0	-0.3015278984606266	2.5345659683579593	-5.960464477539062e-07	0.0050182342529296875	0.305	200	-0.024663418531417847	steering
5.0	0.0	0.0	-0.31209275290369987	2.468552131903742	-2.384185791015625e-07	0.012012332677841187	0.31	200	-0.031741827726364136	steering
5.0	0.25	0.0	-0.3275745245814323	2.5075350109565195	-2.384185791015625e-07	0.00934360921382904	0.31	200	-0.02739986777305603	steering
5.0	0.5	0.0	-0.33908219143748286	2.5499716674966213	-2.384185791015625e-07	0.008653031662106495	0.305	200	-0.02645796537399292	steering
		1.0	1.0	0.0	1.0	1.0	1.0	50		direct_context_swap
