#Name (cmd = mergePeaks /workspace/gene_expression_predictions/results/homer_sae/hyenadna_late_blood/bg.clean.pos /workspace/gene_expression_predictions/results/homer_sae/hyenadna_late_blood/target.clean..pos -d 200 -cobound 1 -prefix /workspace/gene_expression_predictions/results/homer_sae/hyenadna_late_blood/0.148176481555314.2.tmp)	chr	start	end	strand	stat	stat2	/workspace/gene_expression_predictions/results/homer_sae/hyenadna_late_blood/target.clean..pos
BG92	chr1	80011801	80142872	+	0.000	0.000	2
BG96	chr1	81224101	81355172	+	0.000	0.000	3
BG230	chr1	192452626	192583697	+	0.000	0.000	4
BG232	chr1	193664926	193795997	+	0.000	0.000	5
BG243	chr1	197604901	197735972	+	0.000	0.000	6
BG262	chr1	215789401	215920472	+	0.000	0.000	7
BG268	chr1	217607851	217738922	+	0.000	0.000	8
BG288	chr1	230640076	230771147	+	0.000	0.000	9
BG294	chr1	233670826	233801897	+	0.000	0.000	10
BG313	chr1	247915351	248046422	+	0.000	0.000	11
BG323	chr10	5152667	5283738	+	0.000	0.000	12
BG325	chr10	6971255	7102326	+	0.000	0.000	13
BG336	chr10	14851803	14982874	+	0.000	0.000	14
BG364	chr10	35462467	35593538	+	0.000	0.000	15
BG375	chr10	51526661	51657732	+	0.000	0.000	16
BG402	chr10	77289991	77421062	+	0.000	0.000	17
BG404	chr10	79714775	79845846	+	0.000	0.000	18
BG415	chr10	88504617	88635688	+	0.000	0.000	19
BG440	chr10	117905123	118036194	+	0.000	0.000	20
BG482	chr11	30630271	30761342	+	0.000	0.000	21
BG483	chr11	31236811	31367882	+	0.000	0.000	22
BG496	chr11	58834381	58965452	+	0.000	0.000	23
BG520	chr11	91890811	92021882	+	0.000	0.000	24
BG527	chr11	95833321	95964392	+	0.000	0.000	25
BG542	chr11	115242601	115373672	+	0.000	0.000	26
BG584	chr12	17590763	17721834	+	0.000	0.000	27
BG587	chr12	18803919	18934990	+	0.000	0.000	28
BG599	chr12	24869699	25000770	+	0.000	0.000	29
BG604	chr12	28205878	28336949	+	0.000	0.000	30
BG629	chr12	59141356	59272427	+	0.000	0.000	31
BG634	chr12	65207136	65338207	+	0.000	0.000	32
BG639	chr12	67936737	68067808	+	0.000	0.000	33
BG647	chr12	77641985	77773056	+	0.000	0.000	34
BG660	chr12	85830788	85961859	+	0.000	0.000	35
BG709	chr13	19695326	19826397	+	0.000	0.000	36
BG735	chr13	37572621	37703692	+	0.000	0.000	37
BG736	chr13	37875626	38006697	+	0.000	0.000	38
BG754	chr13	51813856	51944927	+	0.000	0.000	39
BG761	chr13	59691986	59823057	+	0.000	0.000	40
BG767	chr13	70903171	71034242	+	0.000	0.000	41
BG789	chr13	91507511	91638582	+	0.000	0.000	42
BG798	chr13	103930716	104061787	+	0.000	0.000	43
BG803	chr13	107869781	108000852	+	0.000	0.000	44
BG808	chr13	110899831	111030902	+	0.000	0.000	45
BG826	chr14	36344161	36475232	+	0.000	0.000	46
BG827	chr14	36949897	37080968	+	0.000	0.000	47
BG834	chr14	47853145	47984216	+	0.000	0.000	48
BG899	chr14	95100553	95231624	+	0.000	0.000	49
BG921	chr15	31831276	31962347	+	0.000	0.000	50
BG930	chr15	39106996	39238067	+	0.000	0.000	51
BG944	chr15	57902606	58033677	+	0.000	0.000	52
BG961	chr15	77910836	78041907	+	0.000	0.000	53
BG978	chr15	95190671	95321742	+	0.000	0.000	54
BG979	chr15	95493826	95624897	+	0.000	0.000	55
BG981	chr15	96403291	96534362	+	0.000	0.000	56
BG986	chr16	908125	1039196	+	0.000	0.000	57
BG988	chr16	8173117	8304188	+	0.000	0.000	58
BG1017	chr16	47827865	47958936	+	0.000	0.000	59
BG1041	chr16	59633477	59764548	+	0.000	0.000	60
BG1080	chr16	79309497	79440568	+	0.000	0.000	61
