#Name (cmd = mergePeaks /workspace/gene_expression_predictions/results/homer_sae/enformer_early_blood/bg.clean.pos /workspace/gene_expression_predictions/results/homer_sae/enformer_early_blood/target.clean..pos -d 200 -cobound 1 -prefix /workspace/gene_expression_predictions/results/homer_sae/enformer_early_blood/0.421274822744639.2.tmp)	chr	start	end	strand	stat	stat2	/workspace/gene_expression_predictions/results/homer_sae/enformer_early_blood/target.clean..pos
BG30	chr1	46976626	47107697	+	0.000	0.000	1
BG54	chr1	62130376	62261447	+	0.000	0.000	2
BG80	chr1	74859526	74990597	+	0.000	0.000	3
BG105	chr1	85770226	85901297	+	0.000	0.000	4
BG114	chr1	92134801	92265872	+	0.000	0.000	5
BG126	chr1	98499376	98630447	+	0.000	0.000	6
BG158	chr1	118502326	118633397	+	0.000	0.000	7
BG173	chr1	158205151	158336222	+	0.000	0.000	8
BG197	chr1	174268126	174399197	+	0.000	0.000	9
BG198	chr1	174571201	174702272	+	0.000	0.000	10
BG205	chr1	178208101	178339172	+	0.000	0.000	11
BG207	chr1	179420401	179551472	+	0.000	0.000	12
BG208	chr1	180329626	180460697	+	0.000	0.000	13
BG256	chr1	210940201	211071272	+	0.000	0.000	14
BG281	chr1	224275501	224406572	+	0.000	0.000	15
BG296	chr1	235186201	235317272	+	0.000	0.000	16
BG312	chr1	247006126	247137197	+	0.000	0.000	17
BG323	chr10	5152667	5283738	+	0.000	0.000	18
BG342	chr10	18488979	18620050	+	0.000	0.000	19
BG345	chr10	21823057	21954128	+	0.000	0.000	20
BG359	chr10	32431487	32562558	+	0.000	0.000	21
BG365	chr10	37887251	38018322	+	0.000	0.000	22
BG366	chr10	42433721	42564792	+	0.000	0.000	23
BG388	chr10	67590855	67721926	+	0.000	0.000	24
BG410	chr10	86382931	86514002	+	0.000	0.000	25
BG423	chr10	96688263	96819334	+	0.000	0.000	26
BG468	chr11	9401371	9532442	+	0.000	0.000	27
BG486	chr11	32753161	32884232	+	0.000	0.000	28
BG495	chr11	57924571	58055642	+	0.000	0.000	29
BG498	chr11	63383431	63514502	+	0.000	0.000	30
BG516	chr11	87948301	88079372	+	0.000	0.000	31
BG525	chr11	94316971	94448042	+	0.000	0.000	32
BG588	chr12	19410497	19541568	+	0.000	0.000	33
BG611	chr12	31845346	31976417	+	0.000	0.000	34
BG624	chr12	55501888	55632959	+	0.000	0.000	35
BG625	chr12	57928200	58059271	+	0.000	0.000	36
BG651	chr12	80068297	80199368	+	0.000	0.000	37
BG670	chr12	95536036	95667107	+	0.000	0.000	38
BG674	chr12	101298527	101429598	+	0.000	0.000	39
BG709	chr13	19695326	19826397	+	0.000	0.000	40
BG710	chr13	20907346	21038417	+	0.000	0.000	41
BG752	chr13	49086811	49217882	+	0.000	0.000	42
BG810	chr13	113626876	113757947	+	0.000	0.000	43
BG824	chr14	35132689	35263760	+	0.000	0.000	44
BG844	chr14	54819109	54950180	+	0.000	0.000	45
BG854	chr14	60876469	61007540	+	0.000	0.000	46
BG874	chr14	73294057	73425128	+	0.000	0.000	47
BG895	chr14	92071873	92202944	+	0.000	0.000	48
BG909	chr14	103580857	103711928	+	0.000	0.000	49
BG931	chr15	40622771	40753842	+	0.000	0.000	50
BG935	chr15	50626886	50757957	+	0.000	0.000	51
BG939	chr15	55477366	55608437	+	0.000	0.000	52
BG957	chr15	70938271	71069342	+	0.000	0.000	53
BG985	chr15	100344306	100475377	+	0.000	0.000	54
BG989	chr16	10292073	10423144	+	0.000	0.000	55
BG998	chr16	18465189	18596260	+	0.000	0.000	56
BG1001	chr16	22400393	22531464	+	0.000	0.000	57
BG1011	chr16	33297881	33428952	+	0.000	0.000	58
BG1031	chr16	53276609	53407680	+	0.000	0.000	59
BG1062	chr16	68109301	68240372	+	0.000	0.000	60
BG1093	chr17	606761	737832	+	0.000	0.000	61
BG1096	chr17	2427041	2558112	+	0.000	0.000	62
BG1123	chr17	27000821	27131892	+	0.000	0.000	63
BG1124	chr17	30641381	30772452	+	0.000	0.000	64
BG1144	chr17	58855721	58986792	+	0.000	0.000	65
BG1145	chr17	60676001	60807072	+	0.000	0.000	66
BG1147	chr17	62496281	62627352	+	0.000	0.000	67
BG1149	chr17	66136841	66267912	+	0.000	0.000	68
BG1151	chr17	67653741	67784812	+	0.000	0.000	69
BG1165	chr17	82519361	82650432	+	0.000	0.000	70
BG1175	chr18	12112001	12243072	+	0.000	0.000	71
BG1178	chr18	23012801	23143872	+	0.000	0.000	72
BG1236	chr19	303040	434111	+	0.000	0.000	73
BG1237	chr19	909118	1040189	+	0.000	0.000	74
