#Name (cmd = mergePeaks /workspace/gene_expression_predictions/results/homer_sae/nucleotide_transformer_late_blood/bg.clean.pos /workspace/gene_expression_predictions/results/homer_sae/nucleotide_transformer_late_blood/target.clean..pos -d 200 -cobound 1 -prefix /workspace/gene_expression_predictions/results/homer_sae/nucleotide_transformer_late_blood/0.275734507785277.2.tmp)	chr	start	end	strand	stat	stat2	/workspace/gene_expression_predictions/results/homer_sae/nucleotide_transformer_late_blood/target.clean..pos
BG61	chr1	66070351	66201422	+	0.000	0.000	1
BG92	chr1	80011801	80142872	+	0.000	0.000	2
BG194	chr1	172146601	172277672	+	0.000	0.000	3
BG230	chr1	192452626	192583697	+	0.000	0.000	4
BG243	chr1	197604901	197735972	+	0.000	0.000	5
BG256	chr1	210940201	211071272	+	0.000	0.000	6
BG262	chr1	215789401	215920472	+	0.000	0.000	7
BG265	chr1	216698626	216829697	+	0.000	0.000	8
BG268	chr1	217607851	217738922	+	0.000	0.000	9
BG281	chr1	224275501	224406572	+	0.000	0.000	10
BG297	chr1	235489276	235620347	+	0.000	0.000	11
BG313	chr1	247915351	248046422	+	0.000	0.000	12
BG325	chr10	6971255	7102326	+	0.000	0.000	13
BG336	chr10	14851803	14982874	+	0.000	0.000	14
BG338	chr10	16367293	16498364	+	0.000	0.000	15
BG364	chr10	35462467	35593538	+	0.000	0.000	16
BG402	chr10	77289991	77421062	+	0.000	0.000	17
BG430	chr10	106993595	107124666	+	0.000	0.000	18
BG440	chr10	117905123	118036194	+	0.000	0.000	19
BG483	chr11	31236811	31367882	+	0.000	0.000	20
BG496	chr11	58834381	58965452	+	0.000	0.000	21
BG520	chr11	91890811	92021882	+	0.000	0.000	22
BG527	chr11	95833321	95964392	+	0.000	0.000	23
BG529	chr11	96743131	96874202	+	0.000	0.000	24
BG537	chr11	108873931	109005002	+	0.000	0.000	25
BG542	chr11	115242601	115373672	+	0.000	0.000	26
BG555	chr11	128586481	128717552	+	0.000	0.000	27
BG563	chr12	1213157	1344228	+	0.000	0.000	28
BG587	chr12	18803919	18934990	+	0.000	0.000	29
BG596	chr12	23656543	23787614	+	0.000	0.000	30
BG604	chr12	28205878	28336949	+	0.000	0.000	31
BG660	chr12	85830788	85961859	+	0.000	0.000	32
BG666	chr12	91593279	91724350	+	0.000	0.000	33
BG674	chr12	101298527	101429598	+	0.000	0.000	34
BG709	chr13	19695326	19826397	+	0.000	0.000	35
BG718	chr13	26664441	26795512	+	0.000	0.000	36
