idx	chrom	start	end	K562	HepG2	GM12878	HSC	Liver	NaiveB
0	chr1	909225	1040297	True	True	True	True	True	True
1	chr1	1212300	1343372	True	True	True	True	True	True
2	chr1	1515375	1646447	True	True	True	True	True	True
3	chr1	1818450	1949522	True	True	True	True	True	True
4	chr1	2121525	2252597	True	True	True	True	True	True
5	chr1	2424600	2555672	True	True	True	True	True	True
6	chr1	2727675	2858747	False	True	False	False	True	True
7	chr1	3030750	3161822	False	True	False	True	False	False
8	chr1	3333825	3464897	False	True	True	True	True	True
9	chr1	3636900	3767972	True	True	True	True	True	True
10	chr1	3939975	4071047	False	False	True	False	False	True
11	chr1	4243050	4374122	False	True	True	False	False	False
12	chr1	4546125	4677197	False	True	True	False	True	False
13	chr1	4849200	4980272	False	False	False	False	False	False
14	chr1	5152275	5283347	False	False	False	False	False	False
15	chr1	5455350	5586422	False	False	True	False	True	False
16	chr1	5758425	5889497	True	True	False	False	False	False
17	chr1	6061500	6192572	True	True	True	True	False	True
18	chr1	6364575	6495647	True	True	True	True	True	True
19	chr1	6667650	6798722	True	True	True	True	True	True
20	chr1	6970725	7101797	False	True	False	True	True	False
21	chr1	7273800	7404872	False	False	False	False	True	False
22	chr1	7576875	7707947	True	True	True	True	True	True
23	chr1	7879950	8011022	True	True	True	True	True	True
24	chr1	8183025	8314097	True	True	True	True	True	False
25	chr1	8486100	8617172	True	True	True	True	True	True
26	chr1	8789175	8920247	True	True	True	True	True	True
27	chr1	9092250	9223322	True	True	True	True	True	True
28	chr1	9395325	9526397	True	True	True	True	True	True
29	chr1	9698400	9829472	True	True	True	True	True	True
30	chr1	10001475	10132547	True	True	True	True	True	True
31	chr1	10304550	10435622	True	True	True	True	True	True
32	chr1	10607625	10738697	True	True	True	True	True	True
33	chr1	10910700	11041772	True	True	True	True	True	True
34	chr1	11213775	11344847	True	True	True	True	True	True
35	chr1	11516850	11647922	True	False	True	True	True	True
36	chr1	11819925	11950997	True	True	True	True	True	True
37	chr1	12123000	12254072	True	True	True	True	True	True
38	chr1	12426075	12557147	True	True	True	True	True	True
39	chr1	12729150	12860222	True	True	False	False	False	False
40	chr1	13032225	13163297	False	False	False	False	False	False
41	chr1	13335300	13466372	False	False	False	False	False	False
42	chr1	13638375	13769447	True	True	True	True	True	True
43	chr1	13941450	14072522	False	False	False	True	False	False
44	chr1	14244525	14375597	True	False	False	False	False	False
45	chr1	14547600	14678672	True	False	True	False	False	True
46	chr1	14850675	14981747	True	True	True	True	True	True
47	chr1	15153750	15284822	True	True	True	False	True	False
48	chr1	15456825	15587897	True	True	True	True	True	True
49	chr1	15759900	15890972	True	True	True	True	True	True
50	chr1	16062975	16194047	True	True	True	True	True	True
51	chr1	16366050	16497122	True	True	True	True	True	True
52	chr1	16669125	16800197	True	True	True	True	True	True
53	chr1	16972200	17103272	True	True	True	True	True	True
54	chr1	17275275	17406347	True	True	True	True	True	True
55	chr1	17578350	17709422	False	True	False	True	True	True
56	chr1	17881425	18012497	False	False	False	False	True	False
57	chr1	18184500	18315572	False	False	True	False	False	False
58	chr1	18487575	18618647	True	True	False	False	True	False
59	chr1	18790650	18921722	True	True	True	True	True	True
60	chr1	19093725	19224797	True	True	True	True	True	True
61	chr1	19396800	19527872	True	True	True	True	True	True
62	chr1	19699875	19830947	True	True	True	True	True	True
63	chr1	20002950	20134022	True	True	True	False	True	True
64	chr1	20306025	20437097	True	True	True	True	True	True
65	chr1	20609100	20740172	True	True	True	True	True	True
66	chr1	20912175	21043247	True	False	True	False	True	True
67	chr1	21215250	21346322	True	True	True	True	True	True
68	chr1	21518325	21649397	True	True	True	True	True	True
69	chr1	21821400	21952472	True	True	True	True	True	True
70	chr1	22124475	22255547	True	True	True	False	False	True
71	chr1	22427550	22558622	True	True	True	False	True	True
72	chr1	22730625	22861697	True	False	True	True	True	True
73	chr1	23033700	23164772	True	True	True	True	True	True
74	chr1	23336775	23467847	True	True	True	True	True	True
75	chr1	23639850	23770922	True	True	True	True	True	True
76	chr1	23942925	24073997	True	True	True	True	True	True
77	chr1	24246000	24377072	True	False	True	True	True	True
78	chr1	24549075	24680147	True	True	True	True	True	True
79	chr1	24852150	24983222	False	True	True	True	True	True
