#Name (cmd = mergePeaks /workspace/gene_expression_predictions/results/homer_sae/hyenadna_early_blood/bg.clean.pos /workspace/gene_expression_predictions/results/homer_sae/hyenadna_early_blood/target.clean..pos -d 200 -cobound 1 -prefix /workspace/gene_expression_predictions/results/homer_sae/hyenadna_early_blood/0.0992863588771833.2.tmp)	chr	start	end	strand	stat	stat2	/workspace/gene_expression_predictions/results/homer_sae/hyenadna_early_blood/target.clean..pos
BG11	chr1	18487576	18618647	+	0.000	0.000	3
BG29	chr1	42430501	42561572	+	0.000	0.000	4
BG44	chr1	56978101	57109172	+	0.000	0.000	5
BG57	chr1	63948826	64079897	+	0.000	0.000	6
BG102	chr1	83042551	83173622	+	0.000	0.000	7
BG117	chr1	94862476	94993547	+	0.000	0.000	8
BG151	chr1	112137751	112268822	+	0.000	0.000	9
BG164	chr1	146082151	146213222	+	0.000	0.000	10
BG188	chr1	168509701	168640772	+	0.000	0.000	11
BG199	chr1	175480426	175611497	+	0.000	0.000	12
BG200	chr1	176692726	176823797	+	0.000	0.000	13
BG201	chr1	176995801	177126872	+	0.000	0.000	14
BG202	chr1	177298876	177429947	+	0.000	0.000	15
BG204	chr1	177905026	178036097	+	0.000	0.000	16
BG283	chr1	224881651	225012722	+	0.000	0.000	17
BG288	chr1	230640076	230771147	+	0.000	0.000	18
BG291	chr1	232458526	232589597	+	0.000	0.000	19
BG312	chr1	247006126	247137197	+	0.000	0.000	20
BG318	chr10	1515491	1646562	+	0.000	0.000	21
BG320	chr10	3940275	4071346	+	0.000	0.000	22
BG322	chr10	4849569	4980640	+	0.000	0.000	23
BG325	chr10	6971255	7102326	+	0.000	0.000	24
BG335	chr10	14245607	14376678	+	0.000	0.000	25
BG349	chr10	24550939	24682010	+	0.000	0.000	26
BG364	chr10	35462467	35593538	+	0.000	0.000	27
BG367	chr10	43646113	43777184	+	0.000	0.000	28
BG401	chr10	76986893	77117964	+	0.000	0.000	29
BG402	chr10	77289991	77421062	+	0.000	0.000	30
BG404	chr10	79714775	79845846	+	0.000	0.000	31
BG445	chr10	120633005	120764076	+	0.000	0.000	32
BG472	chr11	15770041	15901112	+	0.000	0.000	33
BG475	chr11	17589661	17720732	+	0.000	0.000	34
BG496	chr11	58834381	58965452	+	0.000	0.000	35
BG507	chr11	79456741	79587812	+	0.000	0.000	36
BG576	chr12	13344717	13475788	+	0.000	0.000	37
BG606	chr12	28812456	28943527	+	0.000	0.000	38
BG635	chr12	65510425	65641496	+	0.000	0.000	39
BG676	chr12	102511683	102642754	+	0.000	0.000	40
BG687	chr12	112823509	112954580	+	0.000	0.000	41
BG694	chr12	115856399	115987470	+	0.000	0.000	42
BG699	chr12	119192578	119323649	+	0.000	0.000	43
BG702	chr12	124045202	124176273	+	0.000	0.000	44
BG704	chr12	127078092	127209163	+	0.000	0.000	45
BG739	chr13	39996661	40127732	+	0.000	0.000	46
BG748	chr13	45753756	45884827	+	0.000	0.000	47
BG754	chr13	51813856	51944927	+	0.000	0.000	48
BG805	chr13	108778796	108909867	+	0.000	0.000	49
BG838	chr14	51487561	51618632	+	0.000	0.000	50
BG899	chr14	95100553	95231624	+	0.000	0.000	51
BG903	chr14	96917761	97048832	+	0.000	0.000	52
BG904	chr14	98129233	98260304	+	0.000	0.000	53
BG912	chr14	106003801	106134872	+	0.000	0.000	54
BG913	chr14	106609537	106740608	+	0.000	0.000	55
BG916	chr15	26071331	26202402	+	0.000	0.000	56
BG921	chr15	31831276	31962347	+	0.000	0.000	57
BG924	chr15	33650206	33781277	+	0.000	0.000	58
BG930	chr15	39106996	39238067	+	0.000	0.000	59
BG945	chr15	58205761	58336832	+	0.000	0.000	60
BG949	chr15	60934156	61065227	+	0.000	0.000	61
BG950	chr15	62753086	62884157	+	0.000	0.000	62
BG971	chr15	88218106	88349177	+	0.000	0.000	63
BG977	chr15	94584361	94715432	+	0.000	0.000	64
BG979	chr15	95493826	95624897	+	0.000	0.000	65
BG981	chr15	96403291	96534362	+	0.000	0.000	66
BG986	chr16	908125	1039196	+	0.000	0.000	67
BG993	chr16	15135401	15266472	+	0.000	0.000	68
BG998	chr16	18465189	18596260	+	0.000	0.000	69
BG1056	chr16	64476805	64607876	+	0.000	0.000	70
BG1060	chr16	65990345	66121416	+	0.000	0.000	71
BG1091	chr16	86271781	86402852	+	0.000	0.000	72
BG1092	chr16	89298861	89429932	+	0.000	0.000	73
BG1113	chr17	13045341	13176412	+	0.000	0.000	74
BG1122	chr17	21539981	21671052	+	0.000	0.000	75
BG1158	chr17	72811201	72942272	+	0.000	0.000	76
BG1164	chr17	80395701	80526772	+	0.000	0.000	77
BG1186	chr18	26949201	27080272	+	0.000	0.000	78
BG1206	chr18	49659201	49790272	+	0.000	0.000	79
BG1244	chr19	9697249	9828320	+	0.000	0.000	80
BG1250	chr19	13333717	13464788	+	0.000	0.000	81
BG1256	chr19	20909692	21040763	+	0.000	0.000	82
BG1267	chr19	37576837	37707908	+	0.000	0.000	83
BG1269	chr19	42728500	42859571	+	0.000	0.000	84
BG1272	chr19	44546734	44677805	+	0.000	0.000	85
BG1273	chr19	46061929	46193000	+	0.000	0.000	86
BG1276	chr19	51819670	51950741	+	0.000	0.000	87
BG1293	chr2	11512329	11643400	+	0.000	0.000	88
BG1294	chr2	12118241	12249312	+	0.000	0.000	89
BG1297	chr2	15450757	15581828	+	0.000	0.000	90
BG1298	chr2	15753713	15884784	+	0.000	0.000	91
BG1325	chr2	46352269	46483340	+	0.000	0.000	92
BG1326	chr2	47564093	47695164	+	0.000	0.000	93
BG1333	chr2	53623213	53754284	+	0.000	0.000	94
BG1354	chr2	70891705	71022776	+	0.000	0.000	95
BG1370	chr2	99672525	99803596	+	0.000	0.000	96
BG1371	chr2	100278437	100409508	+	0.000	0.000	97
BG1398	chr2	134512465	134643536	+	0.000	0.000	98
BG1427	chr2	158748945	158880016	+	0.000	0.000	99
BG1470	chr2	196618445	196749516	+	0.000	0.000	100
BG1477	chr2	202071653	202202724	+	0.000	0.000	101
BG1484	chr2	205707125	205838196	+	0.000	0.000	102
BG1502	chr2	222975617	223106688	+	0.000	0.000	103
BG1554	chr20	20932048	21063119	+	0.000	0.000	104
BG1561	chr20	30336301	30467372	+	0.000	0.000	105
BG1573	chr20	49448170	49579241	+	0.000	0.000	106
BG1588	chr20	62492779	62623850	+	0.000	0.000	107
BG1589	chr20	63099505	63230576	+	0.000	0.000	108
BG1590	chr20	63402868	63533939	+	0.000	0.000	109
BG1608	chr21	29641081	29772152	+	0.000	0.000	110
BG1626	chr21	44159161	44290232	+	0.000	0.000	111
BG1630	chr22	16693436	16824507	+	0.000	0.000	112
BG1633	chr22	20639157	20770228	+	0.000	0.000	113
BG1634	chr22	22156742	22287813	+	0.000	0.000	114
BG1636	chr22	22763776	22894847	+	0.000	0.000	115
BG1641	chr22	27316531	27447602	+	0.000	0.000	116
BG1651	chr22	42795898	42926969	+	0.000	0.000	117
BG1656	chr22	47652170	47783241	+	0.000	0.000	118
BG1660	chr3	3333034	3464105	+	0.000	0.000	119
BG1666	chr3	11211112	11342183	+	0.000	0.000	120
BG1668	chr3	16362163	16493234	+	0.000	0.000	121
BG1687	chr3	32421322	32552393	+	0.000	0.000	122
BG1688	chr3	33936337	34067408	+	0.000	0.000	123
BG1692	chr3	40602403	40733474	+	0.000	0.000	124
BG1695	chr3	44238439	44369510	+	0.000	0.000	125
BG1712	chr3	62721622	62852693	+	0.000	0.000	126
BG1752	chr3	114232132	114363203	+	0.000	0.000	127
BG1785	chr3	149380480	149511551	+	0.000	0.000	128
BG1832	chr4	4547446	4678517	+	0.000	0.000	129
BG1904	chr4	77609729	77740800	+	0.000	0.000	130
BG1955	chr4	102165932	102297003	+	0.000	0.000	131
BG1992	chr4	140667633	140798704	+	0.000	0.000	132
BG1997	chr4	143699263	143830334	+	0.000	0.000	133
BG2001	chr4	145821404	145952475	+	0.000	0.000	134
BG2044	chr5	2730205	2861276	+	0.000	0.000	135
BG2045	chr5	5460409	5591480	+	0.000	0.000	136
BG2049	chr5	9404037	9535108	+	0.000	0.000	137
BG2057	chr5	14257733	14388804	+	0.000	0.000	138
BG2072	chr5	36402721	36533792	+	0.000	0.000	139
BG2084	chr5	50963809	51094880	+	0.000	0.000	140
BG2092	chr5	54907437	55038508	+	0.000	0.000	141
BG2097	chr5	58244353	58375424	+	0.000	0.000	142
BG2104	chr5	60367845	60498916	+	0.000	0.000	143
BG2115	chr5	68861813	68992884	+	0.000	0.000	144
BG2133	chr5	86456461	86587532	+	0.000	0.000	145
BG2157	chr5	113151789	113282860	+	0.000	0.000	146
BG2178	chr5	133779997	133911068	+	0.000	0.000	147
BG2182	chr5	137116913	137247984	+	0.000	0.000	148
BG2186	chr5	141363897	141494968	+	0.000	0.000	149
BG2188	chr5	142880677	143011748	+	0.000	0.000	150
BG2190	chr5	143790745	143921816	+	0.000	0.000	151
BG2195	chr5	147431017	147562088	+	0.000	0.000	152
BG2204	chr5	159868613	159999684	+	0.000	0.000	153
BG2215	chr5	177766617	177897688	+	0.000	0.000	154
BG2223	chr6	6366193	6497264	+	0.000	0.000	155
BG2232	chr6	17885969	18017040	+	0.000	0.000	156
BG2241	chr6	26374225	26505296	+	0.000	0.000	157
BG2245	chr6	28496289	28627360	+	0.000	0.000	158
BG2246	chr6	29708897	29839968	+	0.000	0.000	159
BG2250	chr6	36378241	36509312	+	0.000	0.000	160
BG2277	chr6	55173665	55304736	+	0.000	0.000	161
BG2450	chr6	147635025	147766096	+	0.000	0.000	162
BG2468	chr6	164005233	164136304	+	0.000	0.000	163
BG2522	chr7	25474345	25605416	+	0.000	0.000	164
BG2545	chr7	38514783	38645854	+	0.000	0.000	165
BG2547	chr7	39424581	39555652	+	0.000	0.000	166
BG2553	chr7	41850709	41981780	+	0.000	0.000	167
BG2624	chr7	91889599	92020670	+	0.000	0.000	168
BG2643	chr7	107356165	107487236	+	0.000	0.000	169
BG2698	chr7	154968927	155099998	+	0.000	0.000	170
BG2703	chr8	606727	737798	+	0.000	0.000	171
BG2713	chr8	10314343	10445414	+	0.000	0.000	172
BG2752	chr8	41257369	41388440	+	0.000	0.000	173
BG2798	chr8	94042531	94173602	+	0.000	0.000	174
BG2824	chr8	118614934	118746005	+	0.000	0.000	175
BG2833	chr8	124075468	124206539	+	0.000	0.000	176
BG2834	chr8	124682194	124813265	+	0.000	0.000	177
BG2840	chr8	132569632	132700703	+	0.000	0.000	178
BG2841	chr8	132872995	133004066	+	0.000	0.000	179
BG2857	chr9	1	131072	+	0.000	0.000	180
BG2906	chr9	68828444	68959515	+	0.000	0.000	181
BG2929	chr9	85504939	85636010	+	0.000	0.000	182
BG2931	chr9	87020984	87152055	+	0.000	0.000	183
BG2932	chr9	87324193	87455264	+	0.000	0.000	184
BG2940	chr9	92175537	92306608	+	0.000	0.000	185
BG2945	chr9	95814045	95945116	+	0.000	0.000	186
BG2973	chr9	114916212	115047283	+	0.000	0.000	187
BG2984	chr9	121890019	122021090	+	0.000	0.000	188
BG2996	chr9	137353678	137484749	+	0.000	0.000	189
BG2998	chrX	7127305	7258376	+	0.000	0.000	190
BG3001	chrX	13363696	13494767	+	0.000	0.000	191
BG3004	chrX	17818261	17949332	+	0.000	0.000	192
BG3021	chrX	42466854	42597925	+	0.000	0.000	193
BG3029	chrX	47812332	47943403	+	0.000	0.000	194
BG3036	chrX	57909346	58040417	+	0.000	0.000	195
BG3061	chrX	101861054	101992125	+	0.000	0.000	196
BG3074	chrX	112552010	112683081	+	0.000	0.000	197
BG3080	chrX	125321763	125452834	+	0.000	0.000	198
BG3096	chrX	150267327	150398398	+	0.000	0.000	199
BG3098	chrX	152643095	152774166	+	0.000	0.000	200
BG2	chr1	3333826	3464897	+	0.000	0.000	1
BG8	chr1	14547601	14678672	+	0.000	0.000	2
