#Name (cmd = mergePeaks /workspace/gene_expression_predictions/results/homer_sae/enformer_late_blood/bg.clean.pos /workspace/gene_expression_predictions/results/homer_sae/enformer_late_blood/target.clean..pos -d 200 -cobound 1 -prefix /workspace/gene_expression_predictions/results/homer_sae/enformer_late_blood/0.928006305665807.2.tmp)	chr	start	end	strand	stat	stat2	/workspace/gene_expression_predictions/results/homer_sae/enformer_late_blood/target.clean..pos
BG10	chr1	17578351	17709422	+	0.000	0.000	4
BG16	chr1	24852151	24983222	+	0.000	0.000	5
BG54	chr1	62130376	62261447	+	0.000	0.000	6
BG285	chr1	228215476	228346547	+	0.000	0.000	7
BG296	chr1	235186201	235317272	+	0.000	0.000	8
BG312	chr1	247006126	247137197	+	0.000	0.000	9
BG314	chr10	303099	434170	+	0.000	0.000	10
BG315	chr10	606197	737268	+	0.000	0.000	11
BG316	chr10	909295	1040366	+	0.000	0.000	12
BG317	chr10	1212393	1343464	+	0.000	0.000	13
BG318	chr10	1515491	1646562	+	0.000	0.000	14
BG365	chr10	37887251	38018322	+	0.000	0.000	15
BG410	chr10	86382931	86514002	+	0.000	0.000	16
BG427	chr10	99719243	99850314	+	0.000	0.000	17
BG448	chr10	122148495	122279566	+	0.000	0.000	18
BG451	chr10	123967083	124098154	+	0.000	0.000	19
BG458	chr10	131241435	131372506	+	0.000	0.000	20
BG459	chr11	2122891	2253962	+	0.000	0.000	21
BG466	chr11	8188291	8319362	+	0.000	0.000	22
BG468	chr11	9401371	9532442	+	0.000	0.000	23
BG500	chr11	68842291	68973362	+	0.000	0.000	24
BG501	chr11	69752101	69883172	+	0.000	0.000	25
BG516	chr11	87948301	88079372	+	0.000	0.000	26
BG561	chr11	134045341	134176412	+	0.000	0.000	27
BG565	chr12	3032891	3163962	+	0.000	0.000	28
BG615	chr12	34271658	34402729	+	0.000	0.000	29
BG685	chr12	111003775	111134846	+	0.000	0.000	30
BG688	chr12	113430087	113561158	+	0.000	0.000	31
BG690	chr12	114339954	114471025	+	0.000	0.000	32
BG707	chr12	130110982	130242053	+	0.000	0.000	33
BG708	chr12	131930716	132061787	+	0.000	0.000	34
BG709	chr13	19695326	19826397	+	0.000	0.000	35
BG810	chr13	113626876	113757947	+	0.000	0.000	36
BG906	chr14	101460781	101591852	+	0.000	0.000	37
BG908	chr14	102672253	102803324	+	0.000	0.000	38
BG909	chr14	103580857	103711928	+	0.000	0.000	39
BG910	chr14	104489461	104620532	+	0.000	0.000	40
BG911	chr14	105700933	105832004	+	0.000	0.000	41
BG931	chr15	40622771	40753842	+	0.000	0.000	42
BG960	chr15	73666666	73797737	+	0.000	0.000	43
BG961	chr15	77910836	78041907	+	0.000	0.000	44
BG986	chr16	908125	1039196	+	0.000	0.000	45
BG992	chr16	14832693	14963764	+	0.000	0.000	46
BG994	chr16	15740817	15871888	+	0.000	0.000	47
BG995	chr16	16043525	16174596	+	0.000	0.000	48
BG998	chr16	18465189	18596260	+	0.000	0.000	49
BG1004	chr16	23611225	23742296	+	0.000	0.000	50
BG1009	chr16	32389757	32520828	+	0.000	0.000	51
BG1010	chr16	32995173	33126244	+	0.000	0.000	52
BG1011	chr16	33297881	33428952	+	0.000	0.000	53
